Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,2;980,1875;30,5;23,7125;21,1;85,833333;,85;
2023-01-02;4,4;978,7875;31,2;23,058333;18,9;86,041667;,904167;
2023-01-03;,4;976,5625;32;23,666667;19,8;84,541667;,879167;
2023-01-04;2,6;975,2125;30,7;24,658333;21,4;88,25;,829167;
2023-01-05;3,4;975,966667;28,3;23,520833;21,7;94,166667;,841667;
2023-01-06;25,2;979,5875;23,8;21,25;20,4;96,25;1,3875;
2023-01-07;17,2;982,329167;22,1;19,379167;17,7;96,208333;1,525;
2023-01-08;9,4;981,695833;25,4;20,966667;18,6;93,916667;,6625;
2023-01-09;16,4;979,954167;27,7;22,516667;19,9;97,166667;,5875;
2023-01-10;34,4;979,9125;29,5;23,395833;20,8;94,166667;,683333;
2023-01-11;8,4;979,3125;29,6;23,704167;21,7;93,875;,6625;
2023-01-12;3;977,258333;32,8;24,7875;21;89,041667;,783333;
2023-01-13;21,4;976,841667;32,4;25,1375;21,5;87,75;,65;
2023-01-14;0;977,4625;34,6;26,9125;21,9;81,5;,570833;
2023-01-15;0;978,420833;35,2;28,225;23,7;78,875;,883333;
2023-01-16;0;978,183333;34,7;28,075;23,1;69,791667;,820833;
2023-01-17;0;979,541667;33,1;26,4125;21,9;74,291667;,7625;
2023-01-18;0;980,704167;33,3;25,5875;20,2;75,083333;,891667;
2023-01-19;0;980,104167;32,7;25,9625;20,6;73,833333;,741667;
2023-01-20;10;978,670833;27;23,629167;21,1;83,541667;,733333;
2023-01-21;13,2;975,029167;26,2;22,2875;20,6;96,583333;,658333;
2023-01-22;18,8;973,8;33,8;25,395833;21;82,958333;,679167;
2023-01-23;0;975,1875;31,8;24,570833;21,6;83,791667;,604167;
2023-01-24;12,8;974,729167;30,3;24,058333;21,9;92,583333;,608333;
2023-01-25;14;975,908333;33,1;25,5375;21,3;81,875;1,0625;
2023-01-26;0;977,7125;32,5;24,716667;18,7;73,791667;,791667;
2023-01-27;0;978,633333;32,4;25,658333;21,4;74,75;,779167;
2023-01-28;0;979,6375;33,5;25,395833;21,9;81,041667;,825;
2023-01-29;4,6;978,35;33,9;24,404167;21,3;88,5;,704167;
2023-01-30;12;977,925;32,5;23,733333;21,6;91,541667;,825;
2023-01-31;35,8;978,395833;33,3;25,1375;20,5;85,125;,791667;
2023-02-01;0;978,379167;33,4;26,054167;20,9;81,458333;,745833;
2023-02-02;0;978,820833;33,8;26,879167;22,2;72,958333;,9625;
2023-02-03;0;977,8125;34,2;26,133333;21,7;78,5;,791667;
2023-02-04;1,8;977,675;36,1;27,725;22,3;79,666667;,75;
2023-02-05;,2;977,583333;35;25,691667;22,5;84,25;,658333;
2023-02-06;4,4;977,75;34,7;24,55;21,9;89,041667;,6;
2023-02-07;13,8;978,420833;32,7;23,716667;20,2;85,375;,733333;
2023-02-08;14,8;978,85;27,9;22,775;20,1;91,125;,670833;
2023-02-09;11,6;979,166667;32,6;24,766667;19,5;85,208333;,691667;
2023-02-10;0;978,925;33,1;25,3625;20,6;78,5;,8875;
2023-02-11;49,6;979,225;32;24,283333;20,4;88,875;,904167;
2023-02-12;3,2;978,525;30,8;24,283333;21,2;90,875;,658333;
2023-02-13;6,4;977,945833;32,1;24,8625;20,9;86,25;,845833;
2023-02-14;29,4;977,4875;32,8;24,295833;20;87,375;,845833;
2023-02-15;6,6;975,741667;33;25,020833;20,3;86,125;,958333;
2023-02-16;19;974,116667;31,6;25,383333;21,1;86,583333;,716667;
2023-02-17;0;974,879167;34,1;26,2875;22,8;83,625;,829167;
2023-02-18;16,4;977,458333;33,6;25,758333;21,5;86,125;,8625;
2023-02-19;0;979,7875;33,2;26,095833;22,6;80,625;,758333;
2023-02-20;10,4;980,258333;32,4;25,5875;20,9;81,666667;,8375;
2023-02-21;,2;979,891667;32,8;26,2625;21,1;76,791667;,866667;
2023-02-22;3,8;981,670833;34,1;25,441667;19,9;77,166667;,9875;
2023-02-23;6,2;981,945833;32,1;25,3875;21,7;84,875;,608333;
2023-02-24;,2;979,620833;32,4;25,995833;21,7;76,666667;,741667;
2023-02-25;0;978,341667;33,4;26,208333;20,4;76,416667;,841667;
2023-02-26;0;979,6875;34,1;27,058333;21,9;80,791667;,75;
2023-02-27;0;981,241667;35,4;26,9125;21,9;74,833333;,933333;
2023-02-28;0;982,545833;33,5;26,733333;22,2;77,125;,754167;
2023-03-01;0;981,320833;33,4;26,345833;20,7;72,708333;,983333;
2023-03-02;0;979,508333;33,6;25,795833;20,7;79,958333;,729167;
2023-03-03;0;978,854167;34,5;26,608333;20,9;76,958333;,6875;
2023-03-04;0;979,204167;33,4;26,670833;21,7;76,791667;,7125;
2023-03-05;0;977,429167;32,3;24,454167;21,4;84,666667;,725;
2023-03-06;9;977,104167;30,2;24,016667;20,9;87;,625;
2023-03-07;0;978,529167;33,8;25,575;20,7;80,625;,970833;
2023-03-08;0;979,7;32,2;25,383333;20,4;78,541667;,541667;
2023-03-09;0;979,925;33,8;26,25;21;74,75;,783333;
2023-03-10;0;979,566667;33,2;26,170833;21,3;79,291667;,675;
2023-03-11;0;979,108333;31,9;25,275;21,6;78,375;,695833;
2023-03-12;24,4;980,0625;31,6;24,5625;21,6;86;,866667;
2023-03-13;4,4;981,145833;31;24,5625;21,3;84,166667;,6375;
2023-03-14;,2;981,116667;32,1;25,341667;20,5;77,375;,704167;
