state;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
rs;0.64;0.67;0.68;0.62;0.65;0.68;0.7;0.7;0.66;0.62;0.6;0.65
sc;0.8;0.79;0.78;0.76;0.74;0.75;0.74;0.72;0.71;0.71;0.73;0.77
pr;0.8;0.75;0.69;0.7;0.7;0.72;0.71;0.64;0.59;0.61;0.67;0.77
sp;0.74;0.76;0.73;0.72;0.68;0.65;0.6;0.55;0.54;0.59;0.64;0.68
rj;0.73;0.73;0.71;0.73;0.74;0.68;0.64;0.63;0.66;0.72;0.7;0.69
ms;0.72;0.73;0.69;0.71;0.7;0.66;0.6;0.54;0.56;0.56;0.61;0.69
mt;0.77;0.75;0.76;0.77;0.75;0.69;0.62;0.59;0.63;0.66;0.69;0.74
df;0.72;0.67;0.59;0.65;0.63;0.56;0.46;0.41;0.45;0.51;0.54;0.63
go;0.75;0.71;0.7;0.72;0.66;0.56;0.47;0.42;0.46;0.52;0.58;0.66
mg;0.74;0.71;0.68;0.69;0.65;0.59;0.52;0.49;0.5;0.56;0.59;0.64
es;0.73;0.71;0.7;0.72;0.74;0.69;0.65;0.66;0.68;0.66;0.63;0.64
ba;0.72;0.68;0.64;0.64;0.62;0.55;0.47;0.43;0.4;0.39;0.45;0.49
to;0.73;0.71;0.71;0.69;0.67;0.6;0.54;0.5;0.52;0.57;0.63;0.68
se;0.58;0.58;0.59;0.59;0.68;0.73;0.75;0.68;0.56;0.47;0.42;0.44
al;0.57;0.49;0.53;0.61;0.69;0.74;0.74;0.71;0.56;0.49;0.4;0.47
pe;0.64;0.57;0.6;0.7;0.68;0.58;0.54;0.45;0.38;0.34;0.36;0.4
pb;0.58;0.61;0.68;0.75;0.73;0.63;0.55;0.45;0.37;0.33;0.34;0.4
rn;0.52;0.56;0.68;0.75;0.71;0.63;0.53;0.41;0.36;0.32;0.32;0.4
ce;0.62;0.7;0.76;0.79;0.78;0.7;0.57;0.45;0.41;0.37;0.39;0.43
pi;0.76;0.75;0.75;0.74;0.73;0.63;0.53;0.46;0.43;0.42;0.51;0.58
ma;0.74;0.72;0.77;0.74;0.75;0.71;0.65;0.58;0.56;0.56;0.59;0.68
pa;0.82;0.81;0.81;0.81;0.82;0.81;0.79;0.78;0.77;0.79;0.8;0.82
ap;0.77;0.79;0.74;0.8;0.78;0.79;0.79;0.81;0.81;0.81;0.78;0.78
rr;0.72;0.71;0.7;0.69;0.75;0.79;0.79;0.77;0.76;0.77;0.73;0.74
am;0.85;0.82;0.83;0.83;0.82;0.84;0.83;0.83;0.83;0.83;0.84;0.85
ac;0.86;0.84;0.84;0.85;0.84;0.84;0.82;0.79;0.81;0.82;0.84;0.85
ro;0.79;0.77;0.81;0.79;0.79;0.77;0.71;0.69;0.73;0.75;0.76;0.78
