"Tabela 6960 - Produção, Venda e Valor da produção e Valor da venda na agroindústria rural nos estabelecimentos agropecuários, por tipologia, produtos da agroindústria rural, condição do produtor em relação às terras e grupos de atividade econômica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Número de estabelecimentos agropecuários com agroindústria rural (Unidades),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condição do produtor em relação às terras - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil e Unidade da Federação,Grupos de atividade econômica,Tipologia x Produtos da agroindústria rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agricultura familiar - não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultura familiar - sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca
Brasil,Total,131995,2364,145,32,4087,440,2958,185,233,9805,39596,1261,807,1483,270,1560,1495,2184,9066,4365,31277,2323,8535,1025,16928,20629,20382,664,4890,1709,9202,895,6512,7919,720644,8664,121,19,30544,1131,8360,595,2084,55701,315611,4083,6512,8153,1347,9951,18803,15825,62970,20812,143921,15838,44296,7056,103633,126914,101313,2456,39980,8646,48570,2091,32443,63387
,Produção de lavouras temporárias,53097,1356,132,29,2505,131,437,31,74,3911,27405,517,681,784,84,387,925,800,4620,994,3300,1238,3498,398,7742,8995,7669,126,2695,436,3250,161,2456,5342,375703,5335,42,7,19005,202,1415,123,863,25734,233671,1444,5222,4179,542,3394,9999,5919,35328,7262,26854,8272,21202,2450,49817,63446,46521,772,18792,2612,19227,563,17759,44673
,Horticultura e floricultura,1449,9,2,-,13,8,22,-,1,213,331,21,11,72,12,6,8,15,157,112,163,19,144,8,93,158,171,-,33,3,47,5,245,57,8089,58,21,-,163,14,106,2,5,889,2827,91,124,272,48,74,122,89,678,493,1191,130,595,91,661,1073,864,11,301,26,332,18,867,614
,Produção de lavouras permanentes,8835,145,-,-,83,204,1724,74,4,734,2450,131,2,58,44,34,43,91,294,1110,742,87,1209,347,265,432,648,4,112,19,212,50,604,629,41414,355,18,1,517,560,4309,235,9,3779,17958,534,25,208,122,258,341,346,1984,4693,4325,463,4115,1857,2053,3195,3065,14,1481,49,1008,100,2331,4176
,Produção de sementes e mudas certificadas,102,-,-,-,-,-,4,1,-,7,25,1,-,-,2,1,2,3,3,14,16,1,22,1,13,12,11,-,5,2,5,-,15,3,292,5,-,-,1,2,18,-,-,18,88,3,-,4,5,3,5,4,25,25,54,5,41,3,59,55,47,-,14,2,4,1,22,8
,Pecuária e criação de outros animais,59549,775,9,3,960,83,661,71,143,4502,7313,555,107,478,111,1093,457,592,3572,1573,26588,902,2915,227,8230,10035,10674,502,1872,1099,2714,415,2654,1408,253736,2713,17,9,7611,308,2236,220,1185,24137,46596,1808,928,3409,297,6104,8136,3343,23514,5657,110320,6625,14210,2546,49933,55992,47432,1518,18989,5315,12493,1011,9204,8879
,Produção florestal - florestas plantadas,1987,40,-,-,6,2,24,1,3,124,73,7,1,13,3,8,7,12,109,19,136,11,93,26,214,224,228,6,62,9,1089,146,88,19,5002,64,-,-,23,17,97,3,13,511,499,76,7,39,29,62,99,18,562,63,683,107,316,90,744,916,680,1,296,16,2279,97,237,176
,Produção florestal - florestas nativas,4498,20,2,-,308,11,83,1,1,155,1010,26,4,59,12,9,13,629,191,349,77,37,518,3,79,478,549,23,17,127,1654,114,298,307,33130,122,23,2,3110,27,171,9,9,555,11572,116,205,34,299,43,79,6039,747,2482,390,218,3486,15,285,2093,2524,127,86,612,12931,290,1817,4023
,Pesca,274,-,-,-,16,-,2,-,-,10,195,-,-,-,1,-,4,5,8,12,-,2,22,-,5,11,10,1,-,2,28,-,24,78,2587,2,-,-,50,1,2,-,-,38,2090,6,1,1,5,1,12,27,93,88,22,3,298,1,28,69,87,7,-,9,214,10,175,793
