Nome: GOIANIA
Codigo Estacao: A002
Latitude: -16.64277777
Longitude: -49.22027777
Altitude: 727.3
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1;931,525;32,2;24,320833;18,9;74,083333;,6625;
2023-01-02;4,6;930,495833;30,9;24,166667;20,7;74,375;,958333;
2023-01-03;16,6;930,320833;28,4;22,208333;19,9;85,958333;,558333;
2023-01-04;12,2;930,5875;27,2;22,058333;19,3;85,25;,7875;
2023-01-05;11;930,172727;28;22,790909;19,8;80,909091;,947619;
2023-01-06;29,2;931,0875;25,7;21,9625;20,1;84,833333;1,35;
2023-01-07;1,4;932,1125;30,2;23,133333;19,9;76,083333;1,0625;
2023-01-08;,8;932,233333;28,3;22,904167;20,4;80,666667;1,104167;
2023-01-09;1,2;932,129167;30,6;22,366667;20;83,166667;,679167;
2023-01-10;3,8;932,725;29,9;22,754167;18,4;78,458333;,633333;
2023-01-11;13;932,795833;31,5;23,775;19,6;74,833333;,695833;
2023-01-12;,2;931,1875;32;24,241667;19,3;71,5;,658333;
2023-01-13;3,2;931,120833;29,4;22,566667;20,3;81,25;,791667;
2023-01-14;2,8;931,991667;30,6;22,858333;19,5;80,583333;,533333;
2023-01-15;3,2;932,3375;32,1;23,541667;19,1;80,291667;,625;
2023-01-16;27,2;931,033333;32,3;24,891667;20,5;73,833333;,829167;
2023-01-17;,2;931,0125;32,7;25,7375;20,2;62;1,116667;
2023-01-18;0;932,65;31,8;23,558333;19,1;72,125;,6875;
2023-01-19;1,4;932,808333;32;24,2;19,5;70,25;,920833;
2023-01-20;,6;931,529167;31;24,408333;20,4;73,083333;,75;
2023-01-21;3,6;930,733333;26,3;22,070833;20,6;83,625;,525;
2023-01-22;22,8;930,175;28,3;22,454167;18,9;83,416667;,895833;
2023-01-23;16,2;930,770833;28,8;22,783333;18,9;79,333333;,9625;
2023-01-24;,2;929,983333;29,7;23,35;19,9;79,458333;,895833;
2023-01-25;6,2;929,1375;29,5;23,775;20,9;79,166667;,433333;
2023-01-26;1,8;928,658333;30,3;23,1375;21,4;83,166667;,520833;
2023-01-27;89,8;930,120833;30,5;22,6875;19,1;80,166667;,704167;
2023-01-28;23,8;932,470833;30,2;23,145833;19,3;76,666667;,629167;
2023-01-29;0;932,033333;32,4;23,479167;19,6;77,208333;,8375;
2023-01-30;59;930,804167;31,5;22,575;19;79,958333;,758333;
2023-01-31;1;930,85;30;23,758333;19;75;,708333;
2023-02-01;,2;931,308333;32,2;25,3625;19,3;68,666667;,8875;
2023-02-02;0;931,741667;32,1;25,058333;19,5;71,041667;,541667;
2023-02-03;15,6;932,2375;31,6;24,6625;20,2;74,083333;,8125;
2023-02-04;,2;933,425;31,6;25,154167;20,7;70,416667;,720833;
2023-02-05;0;933,191667;32,8;24,354167;20;71,708333;,720833;
2023-02-06;0;932,15;31,2;23;20;78,666667;,875;
2023-02-07;7,8;931,795833;32,4;24,158333;19,1;72,416667;,808333;
2023-02-08;0;930,645833;33;25,308333;20,4;69,25;,608333;
2023-02-09;0;931,75;31,7;23,15;20,9;79,5;,6875;
2023-02-10;64,2;931,566667;30,8;22,041667;18,6;85,666667;,558333;
2023-02-11;27,4;931,1875;32,7;24,1;19,1;73,041667;1,0875;
2023-02-12;6,4;930,441667;30,9;24,795833;20,8;74,375;1,070833;
2023-02-13;1,8;930,858333;32,3;24,133333;19,9;74,791667;,504167;
2023-02-14;3,6;930,345833;34,6;26,2625;20,1;67;,633333;
2023-02-15;0;929,05;33,9;26,595833;19,6;62,583333;,683333;
2023-02-16;0;928,004167;32,5;26,4375;20,5;64,5;,983333;
2023-02-17;0;928,345833;33,2;26,525;20,9;64,291667;,7875;
2023-02-18;10,4;930,566667;26,7;22,970833;20,5;79,041667;,941667;
2023-02-19;6,2;930,258333;32,4;25,2625;21;70,791667;1,4625;
2023-02-20;,2;931,345833;32,5;23,85;20,2;73,25;1,05;
2023-02-21;1;932,416667;30,9;23,408333;20,6;75,416667;,975;
2023-02-22;16,2;934,141667;30;22,941667;19,1;77,458333;,941667;
2023-02-23;,2;934,620833;32,2;23,808333;20,6;75,958333;1,0125;
2023-02-24;5;932,695833;32,7;23,9875;19,4;74,791667;,720833;
2023-02-25;4,8;931,695833;32,7;23,829167;19,9;81,041667;,654167;
2023-02-26;1,6;932,75;33,9;25,954167;20,6;69,375;,5875;
2023-02-27;,2;933,370833;33,6;26,675;20,4;63,875;1,033333;
2023-02-28;0;933,3125;33,8;26,475;19,8;57,291667;,9;
2023-03-01;1,8;933,833333;30,1;23,366667;20,6;75,291667;,829167;
2023-03-02;2,8;932,025;31,8;24,1375;19,5;69,708333;1,05;
2023-03-03;0;931,491667;31,8;23,816667;20,7;77,708333;,633333;
2023-03-04;14,8;931,920833;33,9;25,595833;19,7;66,833333;,854167;
2023-03-05;,2;931,083333;33,1;25,8125;19,5;67,208333;,333333;
2023-03-06;0;929,616667;31,5;25,041667;22,3;74,666667;,504167;
2023-03-07;0;930,995833;30,7;23,525;21,4;75,583333;,916667;
2023-03-08;7,4;931,525;31,2;23,925;19,1;72,25;1,041667;
2023-03-09;22,4;932,733333;29,2;23,3875;19,8;78,541667;,566667;
2023-03-10;,2;932,095833;31,1;24,7375;21;71,916667;,9375;
2023-03-11;0;931,6125;28,4;23,145833;21,2;79,5;,945833;
2023-03-12;,4;931,733333;30,5;23,316667;19,4;77,375;,804167;
2023-03-13;1,6;932,154167;27,2;22,583333;21,2;87,541667;,591667;
2023-03-14;6;932,9125;26,1;22,366667;20,4;84,166667;,475;
2023-03-15;10,2;931,6625;30,1;23,175;19,8;77,083333;,645833;
2023-03-16;10,4;930,845833;27,1;22,983333;20,7;79,791667;,616667;
2023-03-17;6,6;931,275;27,4;22,129167;20,8;84,666667;,7;
2023-03-18;6;931,845833;29,3;22,941667;20,3;78,75;,616667;
2023-03-19;1,8;932,004167;29,8;23,125;19,9;77,625;,695833;
2023-03-20;1,2;932,3125;28,5;22,179167;20,1;82,75;,429167;
2023-03-21;2,2;933,004167;27,4;21,316667;20,1;88,25;,716667;
2023-03-22;51,4;933,545833;27,4;21,895833;19,6;86,416667;,383333;
2023-03-23;3,6;933,5625;32,5;23,379167;18,5;76,625;,970833;
2023-03-24;,2;932,970833;33,3;24,9125;18,7;68,541667;,558333;
2023-03-25;0;932,3875;33,8;25,208333;17,4;58,916667;,55;
2023-03-26;0;932,6875;34;24,7375;16,3;60,333333;,595833;
2023-03-27;0;931,75;33,9;25,366667;17,6;61,291667;,704167;
2023-03-28;0;931,683333;31,8;25,6;21,1;66,333333;,55;
2023-03-29;0;932,125;32,4;25,508333;20,6;66,5;,704167;
2023-03-30;0;933,120833;33,5;25,2375;18,6;58,416667;,720833;
2023-03-31;0;932,408333;33,7;24,9;17,2;60,375;,358333;
2023-04-01;0;931,366667;32,8;24,4875;18,3;64,708333;,758333;
2023-04-02;0;931,220833;29,2;23,525;20,3;71,166667;,633333;
2023-04-03;14,4;931,9375;30,2;22,408333;18;73,583333;1,029167;
2023-04-04;,2;930,904167;31;24,075;17,8;65,833333;,908333;
2023-04-05;0;930,416667;30,3;23,795833;18,5;68,708333;,7375;
2023-04-06;0;930,229167;32,1;23,225;18,4;74,541667;1,033333;
