Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.01527777
Longitude: -48.54444444
Altitude: 250.87
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;12,8;982,345833;34,3;26,833333;22,8;74,541667;1,508333;
2023-01-02;0;981,4;33,3;27,283333;23,3;75,375;,9375;
2023-01-03;,2;981,995833;31;25,2125;22,4;83,625;1,420833;
2023-01-04;1,8;983,0375;31,1;24,733333;22,5;84;1,266667;
2023-01-05;,2;982,8;31,7;25,454167;21,9;80,083333;1,1875;
2023-01-06;0;983,95;30,4;25,433333;22,8;80,583333;1,3625;
2023-01-07;,2;984,745833;31,9;25,933333;23,2;79,083333;1,233333;
2023-01-08;0;984,0875;32,9;26,504167;23,4;78,333333;1,416667;
2023-01-09;11,2;984,254167;31,1;24,804167;21,4;80,583333;1,608333;
2023-01-10;0;983,8125;33,2;26,566667;22,5;77,125;1,4375;
2023-01-11;0;984,308333;31,9;26,4875;22,3;77,208333;1,5375;
2023-01-12;0;982,4625;33,2;26,3875;22,7;79,291667;1,1375;
2023-01-13;81,4;982,454167;27,8;23,7625;20,5;88,708333;1,625;
2023-01-14;,6;983,4;29,2;24,254167;21,1;84,958333;1,408333;
2023-01-15;0;983,1375;33,8;25,8875;21,7;80,666667;1,275;
2023-01-16;4,6;981,666667;32,8;26,375;22,8;80,125;1,4875;
2023-01-17;34,6;983,045833;25,3;23,008333;20,5;89,166667;1,195833;
2023-01-18;4,4;983,7375;31,2;24,316667;20,6;82,166667;1,3;
2023-01-19;,8;985,029167;28,7;24,2375;21;81,291667;1,716667;
2023-01-20;0;983,891667;33;26,154167;22,6;76,833333;1;
