Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;929,970833;30,6;23,966667;20,8;80,458333;,1875;
2023-01-02;null;928,958333;29,4;23,729167;21,5;81,75;,1375;
2023-01-03;null;928,4125;28,8;22,883333;19,5;81,625;,241667;
2023-01-04;null;928,704167;26,5;21,670833;19,3;88,166667;,245833;
2023-01-05;null;928,495833;26,1;21,6;19,3;89,791667;,108333;
2023-01-06;null;928,825;22,6;20,875;20,3;92,333333;,725;
2023-01-07;null;929,7125;24,2;21,220833;20,1;91,666667;,1875;
2023-01-08;null;930,329167;26,9;21,754167;20,2;89,083333;,045833;
2023-01-09;null;930,316667;26,2;21,2875;18,7;88,208333;,554167;
2023-01-10;null;931,091667;27,1;21,283333;19,6;88,083333;,058333;
2023-01-11;null;931,2625;27,9;21,916667;19,6;86,375;,45;
2023-01-12;null;929,4875;28,2;22,875;20;82,041667;,308333;
2023-01-13;null;929,283333;28;22,695833;19,6;82,25;,295833;
2023-01-14;null;930,220833;27,7;22,7875;19,4;82,041667;,4375;
2023-01-15;null;930,9;30,9;24,445833;18,9;76,041667;0;
2023-01-16;null;929,65;32,6;24,0625;20,8;78,333333;,158333;
2023-01-17;null;930,058333;31,1;23,870833;19,3;76,708333;,345833;
2023-01-18;null;931,5875;29,4;21,933333;19,3;83,666667;,204167;
2023-01-19;null;931,3375;32;24,433333;18;68,25;0;
2023-01-20;null;930,025;30,4;24,8625;20,6;70,833333;,5375;
2023-01-21;null;929,241667;27,1;22,008333;19,2;84,875;,029167;
2023-01-22;null;928,866667;25,9;21,7375;19,6;88,333333;,225;
2023-01-23;null;929,1875;27,3;21,841667;18,6;87,5;,183333;
2023-01-24;null;928,583333;26,3;21,629167;19,6;88,166667;,1375;
2023-01-25;null;927,629167;27,3;22,816667;20,4;86,291667;,008333;
2023-01-26;null;926,754167;31;24,579167;19,8;77,958333;,016667;
2023-01-27;null;928,241667;28,1;22,933333;20,3;80,5;,95;
2023-01-28;null;930,6125;29,7;23,670833;19,7;77,625;,095833;
2023-01-29;null;930,491667;29,9;23,320833;20,3;79,75;,016667;
2023-01-30;null;929,2875;26,9;22,066667;20,6;87,541667;0;
2023-01-31;null;929,175;30,8;24,308333;20;75,083333;,054167;
2023-02-01;null;929,908333;32;25,179167;20,5;71,333333;,066667;
2023-02-02;null;930,320833;31,5;24,733333;20,5;73,875;,220833;
2023-02-03;null;930,866667;30,1;24,191667;20,9;77,458333;,3875;
2023-02-04;null;932,0375;29,5;23,758333;20,3;79,375;,108333;
2023-02-05;null;931,616667;30,5;24,395833;20,1;73,875;,008333;
2023-02-06;null;930,670833;30,4;23,441667;20,7;79,083333;,170833;
2023-02-07;null;930,4875;32,5;23,833333;19,9;74,583333;,029167;
2023-02-08;null;929,433333;32,4;24,720833;20,7;70,375;,1;
2023-02-09;null;929,983333;32,5;24,9375;20,5;70,958333;,016667;
2023-02-10;null;930,120833;30,8;23,120833;20,6;78,041667;,058333;
2023-02-11;null;929,445833;31,4;24,1875;20,5;71,458333;,0375;
2023-02-12;null;928,9875;31,2;24,608333;21,7;74,541667;,004167;
2023-02-13;null;929,258333;31,9;25,191667;20,6;72,875;,029167;
2023-02-14;null;929,05;33,7;26,141667;20,3;64,041667;,1125;
2023-02-15;null;928,0625;33,7;25,641667;20,6;65,708333;,3875;
2023-02-16;null;926,529167;31,2;24,204167;19,7;74,333333;,633333;
2023-02-17;null;927,308333;29,7;22,5125;21,2;85,041667;,175;
2023-02-18;null;929,0625;29,9;23,466667;19,6;78,291667;0;
2023-02-19;null;929,0375;31,9;24;21,1;78,041667;,208333;
2023-02-20;null;929,966667;29,2;23,345833;19,5;78,25;,016667;
2023-02-21;null;931,0875;28,7;23,229167;18,7;79,166667;,083333;
2023-02-22;null;932,691667;29,7;22,841667;20;81,541667;,079167;
2023-02-23;null;933,1125;29,3;23,370833;20,3;79,875;,033333;
2023-02-24;null;931,166667;31,5;24,283333;20,2;75,041667;,391667;
2023-02-25;null;930,35;31,5;23,525;20,3;79,916667;,0625;
2023-02-26;null;931,670833;31,6;23,458333;20,1;79,708333;,0125;
2023-02-27;null;932,229167;34;26,295833;20,1;64,291667;,004167;
2023-02-28;null;932,020833;33,5;27,225;21,5;60,708333;,004167;
2023-03-01;null;932,125;31;23,5625;21,6;80,083333;,1375;
2023-03-02;null;930,383333;32;24,604167;18,8;72,083333;,033333;
2023-03-03;null;929,791667;31,7;24,9;19,4;70,583333;,095833;
2023-03-04;null;930,716667;32;24,575;19,5;74,208333;,079167;
2023-03-05;null;929,8625;31,3;24,525;22,2;78,5;0;
2023-03-06;null;928,041667;30,7;24,345833;21,4;76,208333;,029167;
2023-03-07;null;928,945833;30,3;24,1875;20,9;80,125;,0625;
2023-03-08;null;930,2625;28,7;22,958333;19,1;77,75;,008333;
2023-03-09;null;930,854167;28,5;22,95;19,9;80,916667;,291667;
2023-03-10;null;930,533333;29,7;24,125;20,7;76,083333;0;
2023-03-11;null;930,395833;26,9;23,029167;19;81,083333;0;
2023-03-12;null;930,779167;26,7;22,4;20;83,708333;0;
2023-03-13;null;930,741667;29,4;23,270833;20,4;80,75;,225;
2023-03-14;null;931,2625;26,3;22,008333;20,4;88,416667;,0875;
2023-03-15;null;930,141667;29,8;23,458333;19,9;81,083333;0;
2023-03-16;null;929,354167;26;21,779167;19,5;88,208333;,008333;
2023-03-17;null;929,420833;27,4;23,008333;20;78,791667;,004167;
2023-03-18;null;930,391667;27,8;21,779167;19,9;85,5;,0375;
2023-03-19;null;930,4;26,5;21,875;20,3;84,541667;,3375;
2023-03-20;null;930,554167;26,6;21,895833;19,6;82,916667;,258333;
2023-03-21;null;931,258333;27;22,258333;19,6;80,041667;,2375;
2023-03-22;null;932;30;22,808333;19;79,75;,179167;
2023-03-23;null;932,070833;31,5;23,904167;19,8;76,25;,1375;
2023-03-24;null;931,658333;32,2;25,495833;20,7;69,5;,020833;
2023-03-25;null;931,029167;32,2;25,679167;20,2;63,916667;,004167;
2023-03-26;null;931,5;33,2;25,641667;18,4;56,458333;,054167;
2023-03-27;null;930,654167;33,4;25,883333;17,7;55,833333;0;
2023-03-28;null;930,4375;32,7;25,241667;19,1;66,958333;,1125;
2023-03-29;null;930,9375;30,8;24,7;20,6;71,916667;,108333;
2023-03-30;null;931,7875;32;25,791667;20,6;63,583333;,025;
2023-03-31;null;931,329167;32,8;26,091667;20,7;60,916667;0;
2023-04-01;null;930,3875;31,7;23,95;20,1;71,666667;,029167;
2023-04-02;null;929,829167;31,2;23,404167;20,7;75,333333;,0875;
2023-04-03;null;930,3;29,7;22,7625;18,4;76,625;,029167;
2023-04-04;null;929,370833;30,8;23,6875;19;74,583333;,0125;
