Nome: RIO VERDE
Codigo Estacao: A025
Latitude: -17.78527777
Longitude: -50.965
Altitude: 780.11
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;926,2125;29,8;23,720833;19;79,791667;1,641667;
2023-01-02;0;924,8875;29,7;22,954167;20,5;84,833333;1,833333;
2023-01-03;4,6;924,3375;29,5;22,458333;19,4;83,166667;1,8625;
2023-01-04;16,4;924,245833;26,8;21,925;19,3;85,958333;2,983333;
2023-01-05;15,6;924,066667;27,6;22,2375;19,8;85,583333;2,441667;
2023-01-06;3,2;924,708333;26,1;21,791667;20;87,5;2,479167;
2023-01-07;11,8;925,754167;24,4;21,354167;19,6;89,791667;2,7375;
2023-01-08;8,6;926,045833;25,9;21,816667;20;89,75;1,916667;
2023-01-09;15,8;925,870833;27;21,566667;18,9;86,083333;2,920833;
2023-01-10;1,4;926,654167;28,9;22,066667;19,2;82,875;2,6;
2023-01-11;1,2;926,7875;30;23,233333;19,3;78,75;2,216667;
2023-01-12;,4;925,379167;29,7;23,233333;19,5;77,458333;1,9125;
2023-01-13;1,2;924,741667;28,7;22,845833;19,5;78,75;2,841667;
2023-01-14;1,6;925,908333;29,4;22,929167;19,1;79,458333;2,679167;
2023-01-15;0;927,1125;31,6;23,083333;18,2;79,75;1,254167;
2023-01-16;3,2;925,870833;30,8;23,966667;19,2;78,916667;2,145833;
2023-01-17;,2;926,1375;30,2;23,770833;19,6;76,375;1,8;
2023-01-18;0;927,458333;29,9;22,091667;18,5;81,125;1,75;
2023-01-19;2;927,245833;32,4;23,945833;17,9;71,791667;1,420833;
2023-01-20;2,2;925,833333;29,7;22,225;18,6;81,5;2,033333;
2023-01-21;32,4;924,7;29,3;22,879167;18,4;78,583333;2,716667;
2023-01-22;,2;924,15;30,1;22,654167;20;82,708333;2,304167;
2023-01-23;30,4;924,620833;30,1;22,3625;18,9;83,583333;2,116667;
2023-01-24;4,2;924,05;27,2;22,15;19,8;87,083333;2,275;
2023-01-25;32;923,541667;30,7;23,2375;19,4;81,458333;1,679167;
2023-01-26;19,8;922,779167;31,1;23,5;19,7;80,25;1,870833;
2023-01-27;28,6;924,0625;28,6;22,795833;18,9;81;2,916667;
2023-01-28;4,4;926,5125;29,3;23,479167;19;77,875;2,679167;
2023-01-29;0;926,633333;29,8;22,925;20,5;78,75;1,683333;
2023-01-30;2,4;925,358333;27,3;22,4875;18,6;83,041667;,929167;
2023-01-31;2,6;925,225;29,4;23,245833;19;80,541667;1,85;
2023-02-01;,4;926,275;31,1;23,158333;19,8;80,291667;1,508333;
2023-02-02;4,6;926,254167;30,9;24,25;19,4;75,458333;1,370833;
2023-02-03;0;926,508333;29,2;23,566667;21,1;78,583333;2,541667;
2023-02-04;30;927,858333;31;22,279167;18,6;84,041667;1,841667;
2023-02-05;17,2;927,804167;29,5;22,2125;19,9;86,333333;1,25;
2023-02-06;,8;926,879167;30,9;21,941667;19,4;86,25;1,095833;
2023-02-07;38;926,666667;30,4;21,775;18,8;84,25;1,525;
2023-02-08;1,8;925,666667;31,5;23,304167;19,2;78,125;1,458333;
2023-02-09;0;926,108333;29,7;23,45;20,2;77,833333;1,570833;
2023-02-10;,6;926,3875;31,1;22,391667;19,5;80,041667;1,945833;
2023-02-11;45,8;926,0625;29,5;21,658333;18,7;87,041667;2,195833;
2023-02-12;16;925,2875;30,4;23,079167;19;80,916667;1,229167;
2023-02-13;0;925,766667;31,9;22,125;19,3;84,375;1,808333;
2023-02-14;26,2;925,441667;32,2;24;18,6;75,5;1,479167;
2023-02-15;0;924,033333;32,6;23,379167;19,8;80,416667;1,783333;
2023-02-16;16,4;922,204167;31,5;24,3125;17,4;72,833333;1,808333;
2023-02-17;0;923,0625;30,1;22,6625;20,4;84,166667;1,383333;
2023-02-18;8,8;925,304167;28,8;22,433333;19,3;81,958333;1,566667;
2023-02-19;39,8;925,325;30,2;23,241667;20;82,291667;2,15;
2023-02-20;41,2;926,2875;27,3;21,791667;18,9;87;1,2;
2023-02-21;10,8;927,129167;26,7;21,641667;18,8;87,75;1,341667;
2023-02-22;20,2;928,6;29,4;22,595833;18,3;81,041667;1,579167;
2023-02-23;4,8;929,275;30,3;21,933333;18,2;85,958333;1,5625;
2023-02-24;10,6;927,395833;30,3;22,458333;18,9;83,375;1,279167;
2023-02-25;48;926,3375;32,2;22,383333;18,6;83,458333;1,620833;
2023-02-26;49,6;927,691667;30,8;23,270833;19,4;80,291667;1,341667;
2023-02-27;0;928,658333;32,5;24,379167;18,7;72,166667;1,854167;
2023-02-28;0;928,4125;32,7;25,891667;19,7;63,791667;1,895833;
2023-03-01;0;928,291667;27,8;22,504167;20,5;79,375;1,441667;
2023-03-02;6;926,620833;31,4;23,445833;17,9;76,625;1,575;
2023-03-03;0;925,875;32,5;23,966667;18,7;73,916667;1,8125;
2023-03-04;,4;926,945833;30,8;23,0125;19,5;81,375;1,741667;
2023-03-05;28,6;925,954167;30,5;23,841667;20,1;81,625;1,916667;
2023-03-06;5,2;924,058333;29,1;22,758333;20,7;87,625;1,475;
2023-03-07;27,8;924,970833;29,6;21,9125;19,1;86,708333;2,270833;
2023-03-08;37,6;926,079167;29,7;22,7875;17,7;76,916667;2,183333;
2023-03-09;0;926,754167;29,8;23,808333;20,2;74,458333;2,829167;
2023-03-10;0;926,7;29,5;23,508333;19,6;75,666667;1,825;
2023-03-11;0;926,5625;25,5;21,5875;20;85,458333;1,925;
2023-03-12;12,8;926,795833;26,2;21,816667;19,1;87,041667;,825;
2023-03-13;20;926,883333;28,6;21,85;18,7;84,916667;1,7375;
2023-03-14;22,8;927,279167;26,5;22,375;19,5;82,791667;2,1625;
2023-03-15;0;926,304167;30;23,375;20,1;80,5;1,166667;
2023-03-16;20;925,5875;26,6;21,2125;19,3;90,666667;1,5625;
2023-03-17;20,6;926,020833;25,7;21,545833;18,2;88,208333;1,883333;
2023-03-18;3,4;926,783333;22,6;20,775;19,5;90,958333;1,2125;
2023-03-19;4,2;926,645833;28,2;22,479167;19,5;81,958333;2,154167;
2023-03-20;1,4;927,004167;27,9;21,616667;18,9;82,5;2,695833;
2023-03-21;1,2;927,5375;28,8;22,05;19,3;82,625;2,508333;
2023-03-22;2,4;928,325;28,9;22,795833;18,7;80,25;2,154167;
2023-03-23;,2;928,245833;30,6;24,466667;19,4;73,5;1,708333;
2023-03-24;1;928,0125;30,7;24,529167;19,1;71,125;1,720833;
2023-03-25;,2;927,2625;31,3;25,208333;19,8;61,875;1,5;
2023-03-26;0;927,720833;32,1;25,033333;18,7;54,083333;1,3625;
2023-03-27;0;926,891667;31,9;24,783333;18,7;59,5;1,354167;
2023-03-28;0;926,508333;31,9;24,558333;18,8;66;1,770833;
2023-03-29;0;926,979167;29,9;24,266667;20,4;76;1,583333;
2023-03-30;0;927,991667;31;24,470833;20;72,458333;1,4375;
2023-03-31;0;927,454167;31,9;24,945833;19,7;66,916667;1,65;
2023-04-01;0;926,745833;30;22,616667;18,4;79,791667;1,479167;
2023-04-02;2,8;925,75;30,4;23,770833;18,7;71,541667;1,833333;
2023-04-03;0;926,254167;30,2;22,883333;18;69,833333;2,441667;
2023-04-04;0;925,6125;29,7;23,333333;17,4;69,583333;1,745833;
2023-04-05;0;925,066667;29,9;22,329167;17,1;75,416667;1,620833;
2023-04-06;1;924,795833;30,6;23,495833;17,9;74,083333;1,466667;
2023-04-07;26,2;925,808333;28,6;21,670833;18,4;85,916667;1,4625;
2023-04-08;16,4;927,154167;27,1;22,0375;18,6;89,166667;,920833;
2023-04-09;15,2;928,116667;26,5;22,366667;19,6;84,875;1,054167;
2023-04-10;0;928,391667;28,1;23,183333;19,6;80,5;1,175;
2023-04-11;,2;927,195833;29,2;22,129167;18,3;86,125;1,754167;
2023-04-12;3,8;926,2125;29,4;21,725;18,9;87,416667;1,2875;
2023-04-13;25;924,854167;30,6;22,758333;19;83,208333;1,454167;
2023-04-14;5,4;925,55;28,1;22,158333;19,4;86,958333;1,358333;
2023-04-15;0;926,954167;29,9;23,079167;18,4;82;,8875;
2023-04-16;0;926,479167;29,3;23,829167;19,3;76,625;1,325;
2023-04-17;,2;923,2125;31;24,3125;18,9;74,5;1,233333;
2023-04-18;0;921,5375;30,3;24,529167;19,6;75,083333;2,404167;
2023-04-19;0;924,283333;25,6;22,516667;20,5;83,875;1,745833;
2023-04-20;5,6;928,045833;25,4;20,641667;16,3;69,5;1,508333;
2023-04-21;0;927,041667;26;19,066667;12,4;70,75;1,833333;
2023-04-22;0;926,775;29,2;21,408333;16,8;79,083333;1,591667;
2023-04-23;29,4;928,008333;27,1;21,929167;18,1;81,916667;2,65;
2023-04-24;,2;928,545833;28,4;23,204167;19,6;76,083333;2,504167;
2023-04-25;0;928,720833;28,9;23,116667;18,6;75,708333;1,729167;
2023-04-26;0;928,316667;29,9;21,829167;18,3;83,875;1,225;
2023-04-27;8,8;927,066667;29,2;22,675;18,4;81,833333;1,25;
2023-04-28;0;927,491667;30;22,845833;19,3;83,041667;1,041667;
2023-04-29;7,6;928,108333;30,3;22,983333;18,2;78,375;1,0375;
2023-04-30;0;927,9625;31,1;23,320833;17,6;69;,995833;
2023-05-01;0;928,166667;29,5;22,7125;16,8;64,625;,9375;
2023-05-02;0;927,095833;29,2;21,341667;14,7;62,5;,791667;
2023-05-03;0;927,333333;28,8;21,454167;15,2;58,583333;,925;
2023-05-04;0;928,15;28,2;21,6125;15;64,5;1,445833;
2023-05-05;0;929,270833;29,8;22,9375;17,7;69,083333;1,316667;
2023-05-06;0;929,125;29,8;23,1625;18,3;67,458333;1,095833;
2023-05-07;0;927,983333;28,7;22,529167;17;69,75;1,441667;
2023-05-08;0;928,966667;28,7;22,1375;16,5;67,666667;1,466667;
2023-05-09;0;929,233333;26,8;21,741667;16,8;69,75;1,175;
2023-05-10;0;928,354167;28,8;21,7375;17;70,333333;1,195833;
2023-05-11;0;927,108333;29,5;21,675;16,6;75,291667;1,129167;
2023-05-12;0;928,2;27,6;20,125;14;68,25;1,404167;
2023-05-13;0;929,108333;28,1;18,683333;11,7;58,333333;1,208333;
2023-05-14;0;930,625;28,3;19,329167;12,1;59,625;1,2125;
2023-05-15;0;931,05;28,5;19,054167;12,4;62,583333;1,279167;
2023-05-16;0;929,645833;27,9;18,5125;11,2;60,166667;1,3125;
2023-05-17;0;928,875;27,8;19,066667;11,3;57,958333;1,2875;
2023-05-18;0;929,825;29;19,979167;11,2;61,458333;1,308333;
2023-05-19;0;929,479167;28,3;20,179167;13,1;60,583333;1,358333;
2023-05-20;0;928,6875;27,8;20,075;13,1;57,25;1;
2023-05-21;0;927,208333;28,2;20,166667;13,1;56,833333;1,575;
2023-05-22;0;928,4125;27,4;19,954167;13,2;59,375;1,241667;
