Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;916,686364;30,7;24,281818;19,5;81,136364;2,054545;
2023-01-02;0;915,634783;30,6;23,921739;20,7;83,086957;1,734783;
2023-01-03;0;915,063636;28,6;22,422727;19,1;87,318182;2,240909;
2023-01-04;null;914,918182;25,2;20,881818;19,4;95,227273;3,072727;
2023-01-05;15,8;914,890476;26,8;null;19,1;90,666667;2,090476;
2023-01-06;8,6;915,004348;26,3;21,286957;19,6;93,521739;2,386957;
2023-01-07;7,8;915,866667;26,9;null;20,1;94,52381;2,109524;
2023-01-08;null;916,828571;27,5;null;19,6;88,52381;1,833333;
2023-01-09;,4;916,472727;27,5;22,15;19,8;89,681818;2,886364;
2023-01-10;null;917,259091;26,5;21,2;19;90,272727;2,904545;
2023-01-11;1,8;917,677273;28,3;21,822727;19,5;90,181818;2,618182;
2023-01-12;null;915,990476;29,2;null;19,1;85,761905;2,461905;
2023-01-13;null;915,668182;26,7;21,230435;18,3;91,086957;2,759091;
2023-01-14;43,6;916,471429;28,2;null;18,7;87,761905;3,057143;
2023-01-15;6,8;917,9;30,6;23,521739;18,1;78,869565;1,36087;
2023-01-16;5,8;916,904348;29,6;22,213043;19,5;88,869565;1,46087;
2023-01-17;null;916,928571;28,8;21,786364;18;87,681818;2,219048;
2023-01-18;4,4;918,422727;28,7;21,040909;16,7;86,818182;1,272727;
2023-01-19;null;918,295455;30,2;23,236364;17,3;78,318182;1,486364;
2023-01-20;0;916,67619;30,4;null;18,4;78,190476;2,32381;
2023-01-21;null;915,572727;26;21,863636;18,9;88,136364;3,113636;
2023-01-22;20,2;915,268182;28,1;21,290909;19,1;92,045455;2,372727;
2023-01-23;null;915,754545;27,9;21,445455;18,7;91,954545;2,145455;
2023-01-24;10,4;915,165217;27,4;21,686957;19,3;90,826087;2,347826;
2023-01-25;null;914,368182;28,2;22,745455;19,7;87,909091;1,386364;
2023-01-26;5,4;913,495833;31,6;23,875;20,1;82,666667;1,573913;
2023-01-27;5,4;914,445455;27,1;22,218182;19,2;89,681818;3,122727;
2023-01-28;3,2;916,909091;27,9;22,55;19,6;84,772727;3,254545;
2023-01-29;null;917,040909;29,6;23,85;19;77,227273;2,072727;
2023-01-30;28,2;915,982609;29,1;21,978261;19;89,217391;1,186957;
2023-01-31;4,6;915,75;29,7;23,536364;19,1;82,863636;2,472727;
