Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;944,013636;31,5;25,381818;21,3;71,166667;1,945455;
2023-01-02;null;943,052174;29;23,530435;21,4;null;2,043478;
2023-01-03;40,6;942,629167;29,3;24,120833;20,6;73,266667;1,941667;
2023-01-04;23,6;943,040909;27,3;23,109091;19,7;82,153846;2,55;
2023-01-05;null;942,838095;27;null;20,3;null;2,519048;
2023-01-06;7,6;943,35;23,2;21,622727;20,8;null;3,654545;
2023-01-07;24,6;944,2;25,2;22,234783;20,1;86,666667;3,986957;
2023-01-08;4,6;944,709091;26,6;22,990909;20,9;null;3,05;
2023-01-09;10,2;944,740909;26,8;21,563636;20,4;null;2,081818;
2023-01-10;null;945,32;28,1;null;19,6;null;2,115;
2023-01-11;null;945,590476;28,9;null;19,6;78,666667;1,804762;
2023-01-12;null;943,638095;29,5;null;20,2;null;1,890476;
2023-01-13;13,2;943,6625;29,1;22,808333;20;null;2,866667;
2023-01-14;3;944,663636;27,3;22,436364;19,9;null;2,104545;
2023-01-15;5,4;944,886957;31,2;25,108696;19,6;65,4;1,365217;
2023-01-16;0;943,504545;31,5;25,945455;21,7;69,3125;2,009091;
2023-01-17;null;943,845455;30,1;24,722727;20,6;71,2;2,813636;
2023-01-18;1;945,563636;29,5;22,55;19;82,764706;1,359091;
2023-01-19;null;945,395;31,4;null;18,5;56,857143;1,335;
2023-01-20;null;944,3;30,2;null;20,9;71,625;2,619048;
2023-01-21;null;943,22;27,5;null;21,8;83,647059;2,155;
2023-01-22;9,6;943,154545;27;22,786364;21,4;null;2,795455;
2023-01-23;null;943,531818;25,2;22,004545;19,3;null;2,136364;
2023-01-24;12,6;942,814286;27,3;null;20,3;79,076923;2,414286;
2023-01-25;,8;941,786957;27,4;23,282609;21,2;84,2;1,752174;
2023-01-26;10,6;940,909091;29,2;23,722727;21,1;80,5;1,831818;
2023-01-27;null;942,568421;25,2;null;20,4;null;2,621053;
2023-01-28;null;944,859091;28;23,286364;20,2;75,769231;2,086364;
2023-01-29;,6;944,634783;28,3;23,943478;20,6;76,529412;1,543478;
2023-01-30;,2;943,190909;28,8;22,931818;20,5;82,642857;1,327273;
2023-01-31;7,6;943,085714;30,3;null;20,3;61,25;1,538095;
2023-02-01;0;943,877273;31;26,077273;22,3;70,388889;1,668182;
2023-02-02;null;944,209524;31,2;null;20,5;67,933333;1,795238;
2023-02-03;null;944,828571;30,7;null;22,7;76,111111;2,338095;
2023-02-04;19,8;946,131818;29,5;24,081818;20,3;72,153846;1,759091;
2023-02-05;0;945,781818;29,9;24,554545;20,8;72,307692;1,404545;
2023-02-06;9,2;944,681818;30,9;24,136364;20,7;76;1,45;
2023-02-07;,6;944,422727;32,1;25,390909;20,7;60,928571;1,768182;
2023-02-08;null;943,181818;32,5;25,681818;20,8;69,5;1,55;
