Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;4,6;930,840909;31,3;24,9;19,8;74,363636;,195455;
2023-01-02;0;929,865217;31,3;25,682609;20,5;61,73913;,165217;
2023-01-03;0;930,495652;26,7;23,234783;21,2;81,173913;,056522;
2023-01-04;0;931,247619;28,8;null;19,7;80,857143;,052381;
2023-01-05;null;931,418182;25;21,672727;20,6;93,363636;,004545;
2023-01-06;null;931,9;26,8;null;19,7;89,285714;0;
2023-01-07;3;932,772727;27,1;22,531818;20,6;89,454545;,013636;
2023-01-08;4,6;932,269565;28,2;23,408696;20,6;83,434783;0;
2023-01-09;,4;932,382609;28,6;22,934783;19,2;84,173913;,073913;
2023-01-10;null;931,925;30,9;null;20,7;75,45;0;
2023-01-11;5,8;932,745455;29,7;23,177273;20,9;84,545455;,036364;
2023-01-12;null;930,795;29,6;null;20,1;79,05;0;
2023-01-13;null;930,218182;27,8;22,731818;20,8;89,227273;,190909;
2023-01-14;14,4;931,166667;26,6;null;20,2;90,47619;,019048;
2023-01-15;null;931,391304;30,1;23,208696;20,3;87,608696;,026087;
2023-01-16;12,6;930,213043;30,9;25,730435;20,6;71,173913;,265217;
2023-01-17;0;930,956522;25,6;23,108696;21,5;85,695652;,017391;
2023-01-18;0;931,627273;28,6;22,845455;20;79,909091;0;
2023-01-19;1,4;932,73913;25,1;21,747826;20,2;87,652174;,065217;
2023-01-20;3,6;932,145833;28,9;22,266667;18,4;85,291667;,029167;
2023-01-21;19,4;930,9125;27,1;22,508333;18,3;87,125;,075;
2023-01-22;100;931,452381;23,4;null;17,9;96;,533333;
2023-01-23;null;931,347826;30,1;23,143478;18,8;79,545455;0;
2023-01-24;0;930,545455;29;24,35;20,6;76,090909;0;
2023-01-25;null;929,078261;30,2;24,204348;19,8;82,304348;,152174;
2023-01-26;8,6;929,290909;24,6;21,695455;20,9;94,045455;0;
2023-01-27;null;930,071429;27,5;null;19,3;86,857143;,171429;
