Nome: AGUAS EMENDADAS
Codigo Estacao: A045
Latitude: -15.596491
Longitude: -47.625801
Altitude: 1030.36
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,4;899,9;29;22,895455;18,1;74,409091;1,781818;
2023-01-02;0;898,779167;29;23,083333;17,8;69,583333;2,020833;
2023-01-03;0;898,577273;27,2;20,913636;17,8;82,5;1,322727;
2023-01-04;null;899,009091;27,3;21,495455;16,4;80,363636;1,759091;
2023-01-05;0;898,8;26;21,626087;18,4;81,391304;1,608696;
2023-01-06;,4;899,704348;23,4;20,243478;19,2;88,434783;2,078261;
2023-01-07;2;900,609524;28,2;null;17,7;80,142857;1,67619;
2023-01-08;1,4;900,686957;26,8;20,334783;16,8;85,913043;1,391304;
2023-01-09;null;900,51;26,7;null;18,3;79;1,905;
2023-01-10;1,2;900,75;30,1;20,718182;13,5;77,181818;1,309091;
2023-01-11;null;901,1;27,8;null;16,2;80,809524;1,133333;
2023-01-12;null;899,538095;30;null;14,1;81,047619;1,295238;
2023-01-13;2,2;899,145455;27,7;19,545455;15,9;87,136364;1,066667;
2023-01-14;null;899,981818;28,6;21,586364;16,2;78,181818;1,318182;
2023-01-15;30,4;900,547826;30;21,682609;16,4;81,565217;1,182609;
2023-01-16;0;899,356522;30,2;22,33913;16;73,695652;1,743478;
2023-01-17;null;899,481818;29,4;22,795455;15,2;63,681818;2,1;
2023-01-18;0;900,55;29,9;21,681818;14,6;70,909091;1,640909;
2023-01-19;0;901,027273;29,2;20,136364;15;81,045455;1,336364;
2023-01-20;18,6;900,063636;28,8;19,940909;15;82,363636;1,55;
2023-01-21;0;898,904545;27,9;20,513636;16,5;82,636364;1,509091;
2023-01-22;10,4;898,442857;28,2;null;17,4;81,142857;2,12381;
2023-01-23;null;898,97619;26,9;null;18,6;84,285714;1,966667;
2023-01-24;,8;898,430435;28,6;21,647826;16,7;80,391304;1,804348;
2023-01-25;2;897,326087;29,4;22,673913;18,9;78,434783;1,595652;
2023-01-26;5;897,436364;24,6;20,55;18,3;88,181818;1,236364;
2023-01-27;null;898,645;27,4;null;17,3;81,85;1,53;
2023-01-28;3,6;900,304545;29;22,413636;17,4;74,5;1,563636;
2023-01-29;7,2;900,027273;28,5;20,836364;15,3;80,272727;1,254545;
2023-01-30;,6;898,873913;27,7;21,147826;15,7;76,652174;1,386957;
2023-01-31;12,6;899,091304;29,9;22,756522;17,7;73,695652;1,413043;
2023-02-01;null;899,590476;30,2;null;14,9;68,619048;1,8;
2023-02-02;null;900,280952;30,3;null;15,6;66,095238;1,495238;
2023-02-03;0;900,6;28,6;21,530435;15,4;76,347826;1,556522;
2023-02-04;0;901,552381;29,9;null;15,7;77,238095;1,419048;
2023-02-05;null;901,154545;28,1;22,290909;18,3;80,590909;1,313636;
2023-02-06;null;900,145;27,5;null;16,1;82,05;1,22;
2023-02-07;null;899,752381;31,2;null;17,6;71,428571;null;
2023-02-08;0;898,881818;30,3;22,731818;15;67,727273;1,640909;
2023-02-09;null;899,640909;30,2;22,75;16;70,954545;1,313636;
2023-02-10;0;899,395455;29,5;23,5;18,4;67,681818;1,709091;
2023-02-11;null;899,133333;30,9;null;17,5;65,142857;1,404762;
2023-02-12;0;898,778261;30,2;23,617391;17,3;65,347826;2,243478;
2023-02-13;0;899,26087;31,2;24,104348;19,3;67,652174;1,7;
2023-02-14;null;898,814286;32,4;null;15,5;63,952381;1,509524;
2023-02-15;0;897,773913;32,6;24,408696;15,8;58,695652;1,626087;
2023-02-16;0;896,508333;31,4;22,879167;16,2;69,333333;1,520833;
2023-02-17;4,6;897,1;28,6;21,927273;17,7;78,409091;1,513636;
2023-02-18;41,2;898,577273;27;21,390909;18,7;81,045455;1,395455;
2023-02-19;1,2;898,834783;28,8;21,952174;17,9;77;2,521739;
2023-02-20;3,6;899,413043;28,4;20,804348;13,5;76,521739;1,673913;
2023-02-21;0;900,36087;29,6;20,856522;14,6;75,782609;1,682609;
2023-02-22;null;902,12381;29,2;null;17;79,904762;1,742857;
2023-02-23;,6;902,295652;28,6;21,817391;18,9;81,478261;1,656522;
2023-02-24;0;900,782609;30;22,078261;16,8;77,608696;1,673913;
2023-02-25;null;899,77619;30,1;null;18,3;72,952381;1,557143;
2023-02-26;null;901,03913;31,4;23,256522;15,2;69,826087;1,7;
2023-02-27;0;901,5375;31,5;23,983333;16,1;62,041667;2,1375;
2023-02-28;0;901,691667;31,7;23,920833;19,2;63,875;2,354167;
2023-03-01;,2;901,713043;29,7;21,004348;15,6;81,521739;1,369565;
2023-03-02;null;900,227273;29,5;21,590909;17;79,636364;1,513636;
2023-03-03;,6;899,843478;30,1;22,052174;16,1;76,478261;1,769565;
2023-03-04;0;900,22381;30,7;null;15,9;65,380952;1,819048;
2023-03-05;0;899,104348;32,2;23,669565;15,1;60,826087;1,208696;
2023-03-06;0;898,013043;31;23,243478;14,5;65,913043;1,634783;
2023-03-07;1,8;899,195652;27,9;21,569565;18,2;78,347826;1,691304;
2023-03-08;null;899,995;26,4;null;16,5;77,4;2,105;
2023-03-09;0;900,46087;28,5;22,526087;18,7;75,478261;1,369565;
2023-03-10;0;900,242857;28,7;null;19,7;79,142857;1,152381;
2023-03-11;0;899,395652;30,2;22,391304;16,8;75,304348;1,669565;
2023-03-12;null;899,8;28,4;null;16,9;78,35;1,785;
2023-03-13;null;900,171429;26,9;null;19,1;81,714286;1,319048;
2023-03-14;0;900,338095;26,3;null;19,7;79,047619;1,314286;
2023-03-15;0;899,579167;29,1;20,691667;16,5;83,208333;1,454167;
2023-03-16;26,4;899,013043;27,5;21,130435;18,1;82,130435;1,526087;
2023-03-17;,4;899,008696;26,2;21,186957;18,6;81;1,495652;
2023-03-18;null;900,057143;26,6;null;17,9;79,666667;1,842857;
2023-03-19;0;900,15;27,6;21,622727;16,8;72,590909;1,968182;
2023-03-20;0;900,313043;25,6;20,526087;17,5;80,913043;1,713043;
2023-03-21;0;900,838095;27,2;null;17,9;84,047619;1,704762;
2023-03-22;null;901,572727;28,2;20,468182;16,5;83,727273;1,563636;
2023-03-23;null;901,475;28,3;null;15,4;76,25;2,01;
2023-03-24;,8;901,13913;29,6;23,03913;18;66,434783;2,130435;
2023-03-25;0;900,778261;30;21,13913;12;64,130435;1,678261;
2023-03-26;null;900,927273;30,7;23,304545;16;60,636364;1,981818;
2023-03-27;0;900,070833;31,4;23,183333;14,5;64,333333;1,8375;
2023-03-28;0;900,033333;29,8;21,970833;15,1;73,166667;1,7125;
2023-03-29;0;900,545833;29,6;22,779167;18,5;65,541667;2,3375;
2023-03-30;0;901,45;30,8;20,629167;10,8;64,75;1,6625;
2023-03-31;0;900,55;31,5;21,991667;13,7;67,708333;1,279167;
2023-04-01;0;899,356522;32,3;22,56087;14,4;67,652174;1,243478;
2023-04-02;null;899,422727;29,9;20,168182;16,5;80,818182;1,318182;
2023-04-03;2;899,9375;27,6;20,041667;16,2;78,833333;2,175;
2023-04-04;4,6;899,470833;26,7;20,383333;16,6;77,208333;1,925;
2023-04-05;0;898,675;29,1;21,35;15,1;76,541667;1,404167;
2023-04-06;0;898,466667;29,9;22,9125;17,2;70,625;1,804167;
2023-04-07;3,2;899,36087;26,8;21,413043;18,8;85;1,06087;
2023-04-08;1,2;899,983333;28,8;22,158333;17,6;79,666667;1,116667;
2023-04-09;,2;900,720833;29,4;22,170833;18,2;80,541667;1,8875;
2023-04-10;1,8;901,266667;27,3;22,075;18,3;78,583333;1,429167;
2023-04-11;18;900,9;27,1;21,4;18,3;82,521739;1,817391;
2023-04-12;0;899,920833;29,5;21,904167;17,7;80,625;1,5625;
2023-04-13;0;898,5375;30,3;22,229167;17,5;79,375;1,704167;
2023-04-14;6;898,979167;28,8;21,541667;18,6;83,666667;1,4375;
2023-04-15;14,4;899,991304;31,3;22,904348;17,4;76,086957;1,643478;
2023-04-16;1,4;899,566667;30,6;21,941667;17,5;78,625;1,420833;
2023-04-17;13,2;897,145833;30,2;22,179167;16,8;77,625;1,4;
2023-04-18;0;896,204167;30,3;22,679167;16,2;76,666667;1,733333;
2023-04-19;0;898,6625;27,1;21,620833;16,4;81,041667;1,9375;
2023-04-20;0;900,183333;28,7;21,283333;15;79,125;1,566667;
2023-04-21;9;899,570833;28,3;21,204167;15,5;76,958333;1,933333;
2023-04-22;2,6;900,504167;22,7;20,095833;18,6;85,666667;2,220833;
2023-04-23;0;901,35;25,7;20,0625;17,3;80,625;2,695833;
2023-04-24;0;902,083333;24,5;20,445833;16,5;77,125;2,7375;
2023-04-25;0;902,3;27,5;21,0625;15,6;74,791667;1,970833;
2023-04-26;0;901,475;28,8;21,633333;17,1;71;1,795833;
2023-04-27;0;900,358333;30,3;21,4;12,8;70,083333;1,375;
2023-04-28;0;900,891667;30,5;21,8375;15,4;74,375;1,433333;
2023-04-29;0;901,308333;30,4;21,2375;14,3;75,5;1,2375;
2023-04-30;,4;901,383333;27;20,7125;15,6;81,833333;1,541667;
2023-05-01;1,2;901,15;29,6;20,958333;14,3;70,625;1,370833;
2023-05-02;0;900,147826;28,6;18,308696;10,7;73,695652;1,208696;
2023-05-03;null;null;29;null;10,2;72,0625;null;
2023-05-04;null;901,241667;28,8;20,9125;14,1;69,875;1,558333;
2023-05-05;0;902,508333;28,9;21,05;15,1;72,625;1,7625;
2023-05-06;0;902,216667;28,1;21,3625;15;67,75;2,1125;
2023-05-07;0;901,4125;28,1;20,7375;14,9;66,583333;2,158333;
2023-05-08;0;902,147826;28,7;20,621739;14;66,652174;1,795652;
2023-05-09;0;901,933333;29,1;20,833333;13,7;68,541667;1,275;
2023-05-10;0;900,995833;30,6;20,941667;13,2;68,833333;1,2125;
2023-05-11;0;899,65;30,6;20,716667;12,7;69,208333;1,454167;
