Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;984,921739;33,4;26,6;22,4;79,869565;1,478261;
2023-01-02;0;983,934783;33,2;27;23,6;81,217391;1,634783;
2023-01-03;0;984,604348;31,3;24,656522;22,7;89,652174;1,352174;
2023-01-04;28,2;985,565217;30,2;24,421739;22,2;91,652174;1,173913;
2023-01-05;null;985,171429;30,6;null;22,1;84,619048;1,566667;
2023-01-06;28,2;986,691667;26,5;23,904167;22,4;92,541667;1,791667;
2023-01-07;null;987,23;30,6;null;22,5;82,85;1,875;
2023-01-08;,4;986,881818;32,3;25,909091;22,4;82,454545;1,577273;
2023-01-09;null;986,835;30;null;21,9;82,714286;1,95;
2023-01-10;null;986,738095;33,2;null;22,3;83,047619;1,704762;
2023-01-11;null;987,361905;30,6;null;20,8;82,047619;1,619048;
2023-01-12;null;985,285714;31,4;null;23,6;83,714286;1,547619;
2023-01-13;null;985,252381;27,7;null;20,6;91,428571;1,62381;
2023-01-14;null;986,015;31,7;null;21,2;82,6;1,365;
2023-01-15;,2;985,66087;34;27,213043;22,2;79,347826;1,5;
2023-01-16;16,6;984,308696;32,3;25,708696;20;85,347826;1,46087;
2023-01-17;39,4;985,621739;24,7;22,947826;20,3;90,608696;1,4;
2023-01-18;5,2;986,482609;33,5;24,730435;19,6;81;1,543478;
2023-01-19;0;987,647826;29,1;24,056522;21;86,956522;1,947826;
2023-01-20;2,6;986,322727;33;26,704545;21,8;77,681818;,963636;
2023-01-21;,2;984,678261;33,4;26,521739;22,7;80,347826;1,86087;
2023-01-22;30,8;985,921739;26,3;23,591304;21,9;88,347826;2,147826;
2023-01-23;null;985,7;31,4;null;22;80,666667;1,266667;
2023-01-24;0;985,1;31,3;25,108696;21,8;86,73913;2,082609;
2023-01-25;,4;983,373913;33,4;26,408696;22,2;84,173913;1,2;
2023-01-26;0;983,175;29,5;24,166667;22,9;93,375;1,345833;
2023-01-27;null;984,565;30,1;null;21,4;86,4;1,565;
2023-01-28;null;986,072727;32;25,540909;22,4;84;1,627273;
2023-01-29;8,6;985,673913;32,3;25,7;21;81,304348;1,286957;
2023-01-30;,2;984,126087;33,8;26,856522;22,4;79,478261;1,66087;
2023-01-31;0;983,719048;34,9;null;22,2;73,47619;1,385714;
2023-02-01;,2;984,526087;33,6;26,513043;22;80,956522;1,904348;
2023-02-02;5,4;985,956522;31,9;25,291304;22,3;88,434783;1,552174;
2023-02-03;21,6;986,804348;31,5;25,773913;21,4;84,565217;1,852174;
2023-02-04;,2;987,368182;34,2;27,3;22,1;77,636364;1,081818;
2023-02-05;,2;986,804348;35,7;27,813043;22,7;77,652174;1,404348;
2023-02-06;null;985,222727;35,5;28,027273;22,6;76,318182;1,054545;
2023-02-07;0;984,690909;35,5;27,368182;23,3;78,818182;1,468182;
2023-02-08;null;984,618182;34,9;27,559091;22,2;76,318182;1,563636;
2023-02-09;null;984,952381;34,3;null;22,7;82,52381;1,561905;
2023-02-10;0;984,12381;37,5;null;22,8;74,047619;1,171429;
2023-02-11;null;983,319048;37,6;null;22,8;69,714286;1,466667;
2023-02-12;null;983,609524;33,5;null;22,9;78,857143;2,404762;
2023-02-13;0;983,591304;36,6;28,652174;22,8;74,086957;1,473913;
2023-02-14;null;982,8;38,1;null;22,8;70,9;1,205;
2023-02-15;0;983;35,9;28,458333;24,4;76,75;1,925;
2023-02-16;0;982,125;35,3;28,808333;24,3;74;1,425;
2023-02-17;0;982,609091;33,3;26,536364;23,6;82,454545;1,909091;
2023-02-18;14,4;983,995238;33;null;22,4;86,333333;1,890476;
2023-02-19;14,2;984,331818;27,2;24,840909;22,2;89,772727;1,736364;
2023-02-20;,8;984,76087;33;26,36087;22,6;82,26087;1,604348;
2023-02-21;1,6;986,021739;33,7;25,517391;22,2;84,565217;1,743478;
2023-02-22;null;988,24;30,1;null;21,1;88,7;1,875;
2023-02-23;11,6;987,429167;34,7;27,75;21,3;75,875;1,679167;
2023-02-24;0;986,204348;33,1;26,378261;22,4;81,173913;1,886957;
2023-02-25;null;985,265;31,8;null;23,6;83,35;1,62;
2023-02-26;8;986,343478;34,2;27,86087;22,2;78,956522;1,265217;
2023-02-27;0;986,8;35,7;26,104167;23,5;86;1,4375;
2023-02-28;4,4;987,725;33,3;24,679167;22;87;1,741667;
2023-03-01;2,2;987,182609;35,7;26,169565;22;80,73913;1,730435;
2023-03-02;null;984,790909;35,3;27,677273;22,2;77,454545;1,409091;
2023-03-03;5,2;985,331818;28,7;25,345455;21,8;85,727273;1,8;
2023-03-04;,2;985,22381;34,3;null;22,4;80,52381;1,642857;
2023-03-05;null;984,480952;35,6;null;22,1;75,714286;1,085714;
