Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;989,9;33,2;26,36087;21,4;83,869565;,982609;
2023-01-02;0;989,221739;32,7;26,126087;22,6;84,521739;1,4;
2023-01-03;44,4;990,021739;27,2;23,565217;21;96,608696;1,06087;
2023-01-04;1,8;990,908696;29,8;24,730435;21,4;90,304348;1,136364;
2023-01-05;,6;990,491304;31,9;26,308696;22,6;85,130435;1,426087;
2023-01-06;1,8;991,7;30;25,240909;22,9;89,909091;1,236364;
2023-01-07;null;992,58;31;null;21,1;85,15;1,155;
2023-01-08;null;991,97619;32;null;22,4;83,333333;1,02381;
2023-01-09;null;991,663636;30,7;25,7;22,3;86,727273;1,25;
2023-01-10;8,8;991,752381;32,1;null;22,4;84,809524;1,47619;
2023-01-11;37,2;992,618182;30,3;25,313636;21,5;88,409091;1,086364;
2023-01-12;13;990,178261;32,5;26,204348;23;89,782609;1;
2023-01-13;2,6;989,863636;29,9;25,554545;22,8;90,045455;1,409091;
2023-01-14;0;991,022727;31,8;25,622727;20,8;84,409091;1,195455;
2023-01-15;0;991,059091;33,3;26,195455;22,1;87,454545;1,086364;
2023-01-16;0;989,808333;30,4;25,783333;23;91,75;1,05;
2023-01-17;,2;990,543478;26,5;23,378261;22,6;97,086957;,952174;
2023-01-18;1,4;991,695652;32,6;24,873913;21,2;83,782609;1,595652;
2023-01-19;3,8;993,204348;28;22,934783;20,3;95,173913;,904348;
2023-01-20;12,2;991,431818;32,5;26,109091;21,2;82,772727;,704545;
2023-01-21;0;989,891304;32,7;25,795652;21,7;87,130435;1,052174;
2023-01-22;13,8;990,995238;25;null;22,2;97,47619;1,295238;
2023-01-23;null;991,045455;31,3;25,059091;21,3;88,409091;,677273;
2023-01-24;0;990,379167;28,7;24,3375;21,7;93,083333;1,033333;
2023-01-25;8;988,527273;32,7;26,595455;21,4;82,636364;,918182;
2023-01-26;0;988,359091;28,5;25,740909;23,1;90,772727;1,022727;
2023-01-27;,6;989,847826;30,4;24,391304;21,8;92,217391;1,2;
2023-01-28;4,8;991,204545;30,7;25,104545;21,5;90,045455;1,095455;
2023-01-29;5,8;990,630435;31,2;25,13913;21,4;86,130435;1,304348;
2023-01-30;0;989,195833;32,9;25,9125;21,8;85,166667;1,229167;
2023-01-31;0;988,936364;34,4;26,104545;22,2;86,636364;,909091;
2023-02-01;null;989,927273;31,4;25,595455;22,9;91,954545;,927273;
2023-02-02;5,2;991,03913;33;26,847826;23;85,695652;1,508696;
2023-02-03;27,6;991,9;32,2;25,613043;22,6;90,913043;1,208696;
2023-02-04;4,2;992,45;33,3;26,081818;21,6;85,318182;1,086364;
2023-02-05;,6;991,822727;33,9;27,331818;23;82,727273;1,186364;
2023-02-06;0;990,6;32,9;27,236364;22;81,318182;1,022727;
2023-02-07;0;990,052174;33;26,347826;22,5;84,73913;1,195652;
2023-02-08;2;989,890909;31,7;25,827273;21,9;87,818182;1,045455;
2023-02-09;1;990,265217;32,3;26,313043;22,6;87,043478;1,373913;
2023-02-10;,4;989,113636;34,4;27,931818;22,8;80,409091;,95;
2023-02-11;0;988,291304;35,2;28,417391;23;80;1,004348;
2023-02-12;0;988,931818;32,6;27,277273;23;81,636364;1,486364;
2023-02-13;4,8;988,717391;34,3;28,065217;22,7;82,869565;1,304348;
2023-02-14;null;987,83;35,8;null;24,2;81,3;1,365;
2023-02-15;16,8;988,781818;29,8;25,340909;22,3;90,181818;1,154545;
2023-02-16;,4;987,5;33,6;26,816667;22,4;84,375;1,013043;
2023-02-17;0;987,859091;31,9;26,127273;22,9;91,090909;,986364;
2023-02-18;36,8;989,090476;31,1;null;22,5;89,285714;1,114286;
2023-02-19;null;989,709524;27,7;null;21,6;92,809524;1,319048;
2023-02-20;1,2;989,708696;31,4;26,278261;21,9;85,913043;1,104348;
2023-02-21;null;990,890476;32,1;null;22,2;85,333333;1,528571;
2023-02-22;null;992,990476;26,6;null;21,6;94,428571;1,585714;
2023-02-23;5,2;992,856522;33,4;26,53913;21,3;85,826087;1,217391;
2023-02-24;16,8;991,020833;32,1;26,5375;21,9;86,625;1,029167;
2023-02-25;0;990,391304;32,1;26,952174;23,5;83,565217;1,269565;
2023-02-26;0;991,595455;32,2;26,536364;21,8;85,5;,854545;
2023-02-27;0;992,0875;33,4;25,258333;21,8;88,166667;1,2625;
2023-02-28;3,6;992,7625;29,6;23,879167;22,7;96,125;1,183333;
2023-03-01;14,4;991,8125;33,1;25,65;21,4;86,916667;,941667;
2023-03-02;1;990,1;33,1;26,159091;22,7;85,818182;1,1;
2023-03-03;50,8;990,45;27,8;23,966667;21,1;94,583333;1,366667;
2023-03-04;1,2;990,304167;32,2;25,5125;22,2;89,25;1,183333;
2023-03-05;0;989,818182;33,6;26,768182;22;84,636364;,890909;
2023-03-06;null;988,42381;33,8;null;23,9;82,714286;1,433333;
2023-03-07;0;989,304348;32,9;26,126087;23,2;86,173913;1,456522;
2023-03-08;0;990,526087;30,6;25,578261;23;88,782609;1,534783;
2023-03-09;5,6;990,73913;30,3;25,782609;22,1;90;1,317391;
2023-03-10;,2;989,990909;33,9;27,563636;23,4;81,363636;1,481818;
2023-03-11;,2;989,8;31,7;27,113636;23,9;85,363636;1,427273;
2023-03-12;0;990,195833;31,9;25,9;22,9;89,333333;1,279167;
2023-03-13;0;991,030435;32;25,821739;22,9;86,347826;1,634783;
2023-03-14;5,2;991,721739;29,1;25,104348;22,4;89;1,13913;
2023-03-15;1,2;990,813043;30,2;24,834783;23,1;91,695652;1,478261;
2023-03-16;12,4;989,895652;30,6;25,108696;22,1;87,913043;,9;
2023-03-17;0;989,804167;28,5;24,341667;23,3;94,25;,970833;
2023-03-18;null;991,045;25,2;null;22,3;97,3;1,595;
2023-03-19;86,4;992,620833;24,3;22,5875;21,7;97,708333;1,1;
2023-03-20;9,2;991,504167;30,4;24,183333;21;91,791667;,758333;
2023-03-21;40,6;992,359091;29,7;24,509091;22,2;91,045455;1,240909;
2023-03-22;,4;991,943478;31,2;25,33913;22;87,478261;1,017391;
2023-03-23;19,2;991,8;28,3;24,973913;22,3;92,826087;1,065217;
2023-03-24;5,2;990,9625;32,8;26,279167;22,1;85,541667;1,229167;
2023-03-25;0;990,613043;33,2;26,904348;21,9;81,652174;,991304;
2023-03-26;null;990,925;31,6;null;20,3;87,15;1,335;
2023-03-27;0;990,891667;33,2;26,020833;23,9;89,375;1,404167;
2023-03-28;27;990,754167;31,4;25,375;21,9;91,875;1,095833;
2023-03-29;10;990,358333;32,5;26,516667;23,4;88,75;1,025;
2023-03-30;1;991,058333;33,5;27,808333;24,1;84,583333;,829167;
2023-03-31;0;991,179167;30,7;26,141667;24,4;90,583333;1;
2023-04-01;2,4;990,9;30,3;25,543478;21,9;89,217391;1,378261;
2023-04-02;,4;990,429167;33,1;26,4125;21,6;83,958333;1,1125;
