Nome: COARI
Codigo Estacao: A117
Latitude: -4.09749999
Longitude: -63.14527777
Altitude: 33.84
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;null;null;null;null;null;
2023-01-02;null;null;null;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;null;null;null;null;null;
2023-01-06;null;null;null;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;null;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;null;null;null;null;null;
2023-01-16;null;null;null;null;null;null;null;
2023-01-17;null;null;null;null;null;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;null;null;null;null;null;null;
2023-03-03;null;null;null;null;null;null;null;
2023-03-04;null;null;null;null;null;null;null;
2023-03-05;null;null;null;null;null;null;null;
2023-03-06;null;null;null;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;null;null;null;null;null;
2023-03-09;null;null;null;null;null;null;null;
2023-03-10;null;null;null;null;null;null;null;
2023-03-11;null;null;null;null;null;null;null;
2023-03-12;null;null;null;null;null;null;null;
2023-03-13;null;null;null;null;null;null;null;
2023-03-14;null;null;null;null;null;null;null;
2023-03-15;null;null;null;null;null;null;null;
2023-03-16;null;null;null;null;null;null;null;
2023-03-17;null;null;null;null;null;null;null;
2023-03-18;null;null;null;null;null;null;null;
2023-03-19;null;null;null;null;null;null;null;
2023-03-20;null;null;null;null;null;null;null;
2023-03-21;null;null;null;null;null;null;null;
2023-03-22;null;null;null;null;null;null;null;
2023-03-23;null;null;null;null;null;null;null;
2023-03-24;null;null;null;null;null;null;null;
2023-03-25;null;null;null;null;null;null;null;
2023-03-26;null;null;null;null;null;null;null;
2023-03-27;null;null;null;null;null;null;null;
2023-03-28;null;null;null;null;null;null;null;
2023-03-29;null;null;null;null;null;null;null;
2023-03-30;null;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;null;
2023-04-01;null;null;null;null;null;null;null;
2023-04-02;null;null;null;null;null;null;null;
2023-04-03;null;null;null;null;null;null;null;
2023-04-04;null;null;null;null;null;null;null;
2023-04-05;null;null;null;null;null;null;null;
2023-04-06;null;null;null;null;null;null;null;
2023-04-07;null;null;null;null;null;null;null;
2023-04-08;null;null;null;null;null;null;null;
2023-04-09;null;null;null;null;null;null;null;
2023-04-10;null;null;null;null;null;null;null;
2023-04-11;null;null;34;null;null;null;null;
2023-04-12;2;1004,579167;34;27,633333;23,9;79,958333;1,382609;
2023-04-13;0;1003,641667;33,9;28,608333;25;78,5;1,229167;
2023-04-14;20,8;1003,775;32,2;27,766667;24,4;80,541667;2,025;
2023-04-15;0;1005,559091;29,1;26,372727;25,8;87,909091;1,177273;
2023-04-16;24,6;1005,578947;31,5;null;23,9;87,684211;,794737;
2023-04-17;null;1004,595;31,5;null;23,6;80,2;1,445;
2023-04-18;0;null;28,2;null;24,9;null;null;
2023-04-19;null;null;null;null;null;null;null;
2023-04-20;null;null;34,6;null;null;63,666667;null;
2023-04-21;0;1004,566667;34,1;27,3125;24,6;79,75;,9625;
2023-04-22;1;1004,777273;32,3;26,909091;24,6;82,272727;1,240909;
2023-04-23;null;null;null;null;null;null;null;
2023-04-24;null;null;32,3;null;null;73,5;null;
2023-04-25;16,4;1007,816667;32,3;26,4875;22,9;79,458333;1,308333;
2023-04-26;null;null;28,8;null;24,7;null;null;
2023-04-27;null;null;33,3;null;null;null;null;
2023-04-28;0;1006,629167;35,3;28,454167;23,9;75,458333;1,079167;
2023-04-29;null;null;null;null;null;null;null;
2023-04-30;null;null;31,8;null;null;72;null;
2023-05-01;11,6;1007,321739;29,6;25,930435;24,5;86,826087;1;
2023-05-02;null;null;null;null;null;null;null;
2023-05-03;null;null;34;null;null;63,75;null;
2023-05-04;,2;1006,183333;33,3;27,779167;24;79,416667;1,85;
2023-05-05;null;null;27,3;null;25,5;null;null;
2023-05-06;null;null;30,8;null;null;null;null;
2023-05-07;null;1006,304167;32,3;27,045833;24,1;82,416667;,916667;
2023-05-08;null;null;27,3;null;25,6;null;null;
2023-05-09;null;null;32,9;null;null;null;null;
2023-05-10;null;null;27,6;null;25,2;null;null;
2023-05-11;null;null;null;null;null;null;null;
2023-05-12;null;null;32,6;null;null;69,75;null;
