Nome: MANACAPURU
Codigo Estacao: A119
Latitude: -3.29472221
Longitude: -60.62833332
Altitude: 36.57
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;2,4;1006,095833;33,1;26,1125;23,2;81,958333;1,704167;
2023-01-02;,2;1006,5875;27,6;24,6625;24,5;89,041667;1,7;
2023-01-03;62,2;1006,554167;28,2;24,391667;22,4;87,708333;1,070833;
2023-01-04;5,2;1005,983333;32,2;26,7;23,7;80,5;1,320833;
2023-01-05;3,4;1006,475;32,2;26,158333;23,7;81,041667;1,7125;
2023-01-06;22;1007,808696;27,2;24,826087;21,8;86,782609;1,6;
2023-01-07;12;1007,7;33,7;27,268182;22,1;78,818182;1,268182;
2023-01-08;0;1007,620833;32,2;27,070833;24;77,416667;1,058333;
2023-01-09;0;1007,030435;32,2;25,452174;24,7;84,73913;1,586957;
2023-01-10;34;1007,754167;29,2;25,170833;22,2;82,916667;1,579167;
2023-01-11;0;1007,004167;32,7;26,975;23,9;78,208333;1,7375;
2023-01-12;0;1005,804545;32,1;26,45;24,3;82,227273;1,331818;
2023-01-13;5,2;1005,95;26,8;24,433333;24,6;90,208333;1,183333;
2023-01-14;37,4;1006,963636;28,7;24,868182;21,4;84,954545;1,618182;
2023-01-15;0;1007,186957;31,7;26,308696;22,6;81,130435;1,543478;
2023-01-16;,4;1005,983333;31,2;26,029167;23,8;81,625;1,508333;
2023-01-17;6,2;1006,3125;27,9;24,8875;23,7;86,625;1,679167;
2023-01-18;21;1007,45;30,6;25,325;22,3;80,458333;1,5125;
2023-01-19;3,8;1007,795833;29,4;24,975;22,7;82,375;1,891667;
2023-01-20;1,6;1007,804167;27,4;23,945833;23,6;88,625;,870833;
2023-01-21;8,2;1006,820833;31,4;25,720833;22,6;80,666667;1,379167;
2023-01-22;,2;1006,191667;29,4;24,483333;22,7;85,333333;,9875;
2023-01-23;18,2;1006,813043;31,2;25,373913;22,2;82,391304;1,369565;
2023-01-24;8,2;1006,278261;32,2;25,843478;23,2;84,521739;1,143478;
2023-01-25;null;1005,813636;29;25,431818;22,9;83,136364;1,131818;
2023-01-26;,2;1005,175;31,5;26,045833;24;81,25;1,158333;
2023-01-27;,2;1005,1875;29,4;25,975;24;82,25;1,858333;
2023-01-28;,6;1005,654167;28,8;25,675;24,1;82,791667;1,716667;
2023-01-29;1,8;1006,017391;29,2;25,313043;23,3;84,826087;1,465217;
2023-01-30;6,2;1005,365217;28,1;24,7;23,6;88,608696;,913043;
2023-01-31;1,4;1005,65;32,1;26,345833;23,3;80,625;2,095833;
2023-02-01;0;1005,804167;32,7;26,620833;23,5;76,916667;2,304167;
2023-02-02;1;1006,516667;32,3;26,933333;24,2;76,791667;2,2875;
2023-02-03;13,8;1006,75;32,1;26,304545;24,6;82,727273;1,981818;
2023-02-04;38,8;1008,325;31,3;25,0875;23,2;86,791667;1,0875;
2023-02-05;8,4;1008,104545;26;24,222727;22,6;90,454545;,85;
2023-02-06;31,4;1006,365217;30,4;25,8;22,4;84,478261;1,186957;
2023-02-07;,2;1005,8625;31;26,033333;23,8;84,875;1,070833;
2023-02-08;6,4;1005,852174;29,9;25,508696;24,1;86,521739;1,33913;
2023-02-09;21,8;1005,945833;30,1;25,145833;22,8;86;,9;
2023-02-10;8,6;1005,7;28,8;25,752174;23,1;84,086957;1,147826;
2023-02-11;27;1005,3875;29,7;25,583333;21,9;84,208333;1,545833;
2023-02-12;15,6;1004,565217;30,4;26,165217;22,8;83,304348;1,391304;
2023-02-13;10,8;1004,275;30,4;26,595833;22,9;81,791667;1,329167;
2023-02-14;3,4;1004,878261;30,9;25,695652;23,7;85,434783;,895652;
2023-02-15;17,8;1005,1375;31,6;26,016667;23,1;84,208333;,875;
2023-02-16;32;1004,3;25,6;24,045833;23,9;91,666667;,783333;
2023-02-17;22,6;1004,527273;30,8;25,754545;23;85,454545;1,559091;
2023-02-18;2,4;1004,95;32,3;26,875;23,9;79,25;1,508333;
2023-02-19;1,4;1005,413636;30,5;25,609091;23,4;82,227273;2,027273;
2023-02-20;46,2;1006,3;26;23,804545;22,6;91,363636;1,404545;
2023-02-21;30,4;1007,017391;28,5;23,76087;22;87,913043;1,265217;
2023-02-22;3,6;1008,056522;31,5;26,269565;23,2;77,043478;1,682609;
2023-02-23;0;1007,882609;33,1;27,752174;24,8;74,695652;1,495652;
2023-02-24;0;1007,37619;28,4;null;24,9;82,428571;1,671429;
2023-02-25;null;1007,266667;30,5;null;24;83,285714;1,271429;
2023-02-26;null;1006,718182;32;26,454545;23,1;79,954545;1,290909;
2023-02-27;7,2;1006,8875;32,8;26,975;24,5;78,416667;2,029167;
2023-02-28;0;1008,066667;31,9;25,891667;23,2;80,041667;1,8625;
2023-03-01;0;1007,234783;31,8;27,386957;24,7;78,652174;1,208696;
2023-03-02;18,6;1005,508333;31,5;26,345833;24,6;83,416667;1,708333;
2023-03-03;6;1004,756522;32,5;26,582609;24,2;82,956522;1,478261;
2023-03-04;7;1004,791667;32,3;26,4;24,6;84,291667;1,7125;
2023-03-05;38,6;1005,521739;31,2;26,304348;23,3;84,782609;1,43913;
2023-03-06;8,4;1005,404167;29,8;25,816667;24,2;85,541667;1,2125;
2023-03-07;7,8;1005,945833;28,2;24,691667;23,9;88,208333;,975;
2023-03-08;43;1006,175;28,1;24,829167;23;89,375;1,104167;
2023-03-09;5;1005,63913;31,5;26,4;23,3;83,043478;1,295652;
2023-03-10;22,2;1005,675;30,6;26,433333;23,7;81,833333;2,091667;
2023-03-11;0;1005,6;28,2;25,508333;24;87,541667;1,025;
2023-03-12;18,8;1007,045833;25,8;24,683333;24;91,375;,995833;
2023-03-13;31,8;1007,616667;31,9;26,445833;23,2;80,708333;1,125;
2023-03-14;0;1007,608333;29,8;26,35;23,9;83,166667;1,245833;
2023-03-15;2,4;1006,795833;31,1;26,258333;24;83,416667;1,691667;
2023-03-16;,4;1006,3875;28,7;25,9625;24,5;85,708333;1,216667;
2023-03-17;,2;1006,056522;29,2;25,982609;24,6;84,956522;1,656522;
2023-03-18;null;1006,636364;28,7;25,1;22,4;81,681818;1,236364;
2023-03-19;,2;1006,0125;33,4;27,2625;23,1;74,583333;1,716667;
2023-03-20;,6;1006,2375;32,3;27,1625;22,7;76,291667;1,720833;
2023-03-21;,4;1005,678261;34,2;28,334783;22,7;74,347826;2,256522;
2023-03-22;,4;1006,0625;30,5;26,65;25,9;82,208333;2,133333;
2023-03-23;0;1005,933333;32,3;26,591667;23,3;76,5;2,166667;
2023-03-24;,8;1006,029167;32,4;26,733333;25,2;81,125;1,708333;
2023-03-25;9,6;1006,554167;27,8;25,229167;24,2;85,916667;1,804167;
2023-03-26;10,2;1007,116667;32,6;26,145833;23,3;81,375;1,3375;
2023-03-27;,6;1006,666667;33;27,208333;23,9;75,458333;1,395833;
2023-03-28;0;1006,233333;32;26,970833;24,4;79,25;1,333333;
2023-03-29;,8;1005,741667;33,3;27,495833;24,3;77,166667;1,454167;
2023-03-30;3,8;1006,6;30,3;26,2125;24;84,625;1,383333;
2023-03-31;,8;1006,7875;32,4;27,220833;23,8;75,958333;1,8;
2023-04-01;14,4;1006,483333;32,5;26,85;22;80,041667;1,525;
2023-04-02;30,6;1007,1875;28,3;24,529167;21,3;85,583333;1,416667;
2023-04-03;0;1005,816667;32,1;26,545833;23,9;81,625;1,595833;
2023-04-04;0;1004,95;28,9;26,0875;24,7;83,625;1,116667;
2023-04-05;,4;1004,4125;30,7;25,9625;23,2;83,5;1,970833;
2023-04-06;2,8;1004,633333;33;27,0375;23,7;78,75;1,945833;
2023-04-07;0;1004,933333;32,4;27,395833;24,5;75,708333;1,458333;
2023-04-08;57,2;1006,4875;31,9;25,858333;22,9;85,5;1,204167;
2023-04-09;9,8;1007,079167;33,1;26,483333;23,9;81,666667;1,2;
2023-04-10;0;1007,783333;32,7;26,641667;25,3;81,958333;1,533333;
2023-04-11;1,2;1006,079167;33,3;27,529167;24,1;77,125;1,3375;
2023-04-12;0;1004,645833;33,8;28,441667;25;75,375;1,0125;
2023-04-13;2;1003,895833;33,5;28,095833;25,4;78,375;1,320833;
2023-04-14;3,8;1003,708333;33,5;28,045833;25,9;78,083333;1,183333;
2023-04-15;19;1005,404167;32,3;26,858333;24,3;82,875;1,175;
2023-04-16;4;1005,7875;30,4;26,483333;23,8;82,833333;1,125;
2023-04-17;11,8;1004,8;30,4;26,145833;24;83,625;1,4;
2023-04-18;7,2;1004,291667;30,8;26,316667;24,9;85,333333;1,316667;
2023-04-19;1,2;1005,691667;33,3;27,483333;24,1;78,041667;1,508333;
2023-04-20;,2;1005,591667;33,7;28,225;25,9;77,416667;2,075;
2023-04-21;1,2;1004,647826;30,7;26,234783;24,6;81,521739;1,552174;
2023-04-22;23,6;1005,125;28,5;25,066667;23,2;88,041667;2,05;
2023-04-23;41,2;1005,729167;31,2;26,216667;22,3;77,458333;1,4375;
2023-04-24;,2;1005,320833;33,2;27,945833;24,5;75,916667;1,495833;
2023-04-25;0;1007,533333;29,9;26,729167;24,4;78,75;2,158333;
2023-04-26;0;1007;32,4;26,820833;24,5;81,958333;1,566667;
2023-04-27;0;1007,0625;32,7;27,804167;24,4;75,416667;1,491667;
2023-04-28;0;1006,833333;33,4;28,675;25,2;72,916667;1,625;
2023-04-29;0;1006,7375;33,6;28,929167;26;73;1,925;
2023-04-30;0;1006,941667;32,8;27,529167;25,3;79,25;1,483333;
2023-05-01;7,6;1007,208333;30,3;25,704167;24,2;84,375;1,120833;
2023-05-02;7,2;1007,408333;30,9;26,266667;23;79;1,383333;
2023-05-03;null;null;30,8;null;24,3;79,0625;null;
2023-05-04;null;1006,7;30,2;26,383333;23,7;83,291667;1,245833;
2023-05-05;1,8;1006,779167;32,4;27,208333;24,2;78,708333;1,795833;
2023-05-06;0;1006,920833;30,1;26,779167;25,4;81,333333;1,104167;
2023-05-07;1,2;1006,066667;32,6;27,933333;25,2;78,833333;1,320833;
2023-05-08;,2;1007,145833;32,1;27,429167;25,1;78,583333;1,179167;
2023-05-09;0;1007,2125;30,6;27,35;25,2;81,708333;,8375;
2023-05-10;6,4;1006,841667;32,8;26,783333;24;83,166667;1,35;
2023-05-11;2;1007,745833;30,2;25,066667;23,9;84,875;2,175;
2023-05-12;4;1007,816667;31;25,791667;22,6;80,291667;,7125;
2023-05-13;0;1007,508333;33,5;27,9625;24,2;74,375;1,308333;
2023-05-14;0;1007,758333;33,7;28,45;25,1;76,458333;1,2375;
2023-05-15;0;1008,395833;31,5;27,366667;25,3;81,583333;1,370833;
2023-05-16;1,6;1007,8125;32;26,879167;25,3;82,333333;1,691667;
2023-05-17;3,2;1007,283333;32,1;27,133333;24,7;81,833333;1,283333;
2023-05-18;54,2;1008,1375;31,2;26,425;23,7;84,208333;1,125;
2023-05-19;0;1006,5625;32,4;28,129167;25,3;75,875;2,5125;
2023-05-20;2,8;1005,2;31,7;27,558333;25,3;80,75;1,429167;
2023-05-21;6,6;1004,3875;32,2;28,445833;26;77,708333;1,195833;
2023-05-22;0;1004,504167;32,5;28,4875;25,3;77,75;1,733333;
2023-05-23;0;1006,083333;28,9;26,3125;26;88;1,054167;
2023-05-24;13;1004,975;30,3;25,875;23,6;86,916667;,770833;
2023-05-25;1,6;1004,808333;33,5;28,2625;24,4;78,666667;1,025;
2023-05-26;0;1005,820833;33,3;28,158333;25,5;78,208333;1,608333;
