Nome: ITACOATIARA
Codigo Estacao: A121
Latitude: -3.13333333
Longitude: -58.48277777
Altitude: 41.54
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;1006,06087;30,5;25,16087;23,3;88,086957;,934783;
2023-01-02;null;1005,508333;31,9;26,6875;22,7;80,791667;1,229167;
2023-01-03;null;1006,254167;28,5;24,7;23,2;88,375;,995833;
2023-01-04;null;1006,0125;31,3;26,375;23,1;81,083333;1,4;
2023-01-05;null;1005,929167;30,8;26,758333;23,9;80,541667;1,595833;
2023-01-06;null;1007,143478;27,7;25,004348;22;85,782609;1,195652;
2023-01-07;null;1007,068182;31,9;26,959091;23,2;80,318182;1,240909;
2023-01-08;null;1007,321739;30,3;26,408696;24,3;82,652174;,713043;
2023-01-09;null;1006,509091;29,3;25,840909;24,8;83,772727;1;
2023-01-10;null;1007,417391;27,4;24,643478;21,9;88,652174;,743478;
2023-01-11;null;1006,954545;32,1;27,068182;22,6;80,863636;,886364;
2023-01-12;null;1005,469565;33;27,595652;24,6;77,043478;1,634783;
2023-01-13;null;1004,991667;30,5;25,825;22,5;83,75;1,129167;
2023-01-14;null;1006,83913;27,6;24,734783;22;86,956522;,830435;
2023-01-15;null;1007,082609;29,5;25,452174;23,1;85,782609;,756522;
2023-01-16;null;1005,5125;30,5;26,1;23,4;84;,879167;
2023-01-17;null;1005,995652;26,6;23,826087;23,8;91,130435;,904348;
2023-01-18;null;1007,4625;30,5;24,4125;22;86,541667;1,05;
2023-01-19;null;1007,391667;30,3;25,479167;22,2;83,166667;1,075;
2023-01-20;null;1007,217391;27,9;24,926087;22,1;86,347826;,656522;
2023-01-21;null;1006,479167;27,5;24,295833;22,6;89,833333;,9375;
2023-01-22;null;1005,981818;27,5;24,359091;22,6;88,727273;,859091;
2023-01-23;null;1006,466667;31,2;25,266667;21,8;84,208333;1,054167;
2023-01-24;null;1005,833333;29,5;25,8125;23,1;83,625;,995833;
2023-01-25;null;1005,373913;29,4;25,43913;23,9;86,565217;1,06087;
2023-01-26;null;1004,820833;30,6;26,325;23,2;82,166667;,966667;
2023-01-27;null;1005,026087;31;26,217391;23,9;83,217391;1,130435;
2023-01-28;null;1005,613043;30,2;25,6;24,1;85;,93913;
2023-01-29;null;1005,75;31,6;25,8;23,1;83;1,204167;
2023-01-30;null;1005,169565;26,9;24,586957;22,2;88,652174;1,043478;
2023-01-31;null;1005,825;29,2;24,691667;22,3;87,166667;,879167;
2023-02-01;null;1006,091304;30,6;25,452174;23,1;84,913043;1,1;
2023-02-02;null;1006,517391;31,1;26,421739;23,1;79,434783;1,534783;
2023-02-03;null;1006,163636;32,4;27,427273;24,4;77;1,481818;
2023-02-04;null;1007,6;30,9;26,313043;23,4;82,869565;1,352174;
2023-02-05;null;1007,420833;29,8;25,395833;22,4;86,708333;1,095833;
2023-02-06;null;1005,534783;32,3;27,108696;23,2;81,913043;,513043;
2023-02-07;null;1005,404348;28,3;25,617391;24,1;87,695652;,547826;
2023-02-08;null;1005,454167;30;25,579167;23,7;85,333333;,75;
