Nome: BARCELOS
Codigo Estacao: A128
Latitude: -0.98722221
Longitude: -62.92416666
Altitude: 29.88
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;1007,070833;30,4;25,5;23,5;85;,9875;
2023-01-02;13;1007,4625;25,3;24,058333;23,7;92,125;,683333;
2023-01-03;28;1007,116667;28,5;24,241667;22,7;90,041667;,583333;
2023-01-04;17,4;1007,06087;29,8;24,573913;22,3;87,304348;,986957;
2023-01-05;2,6;1007,178261;31,9;26,5;23,1;79,956522;1;
2023-01-06;,2;1007,470833;29;25,916667;24,1;84,916667;1,45;
2023-01-07;38,8;1008,186364;31,9;26,090909;22,1;83,090909;,822727;
2023-01-08;1,4;1008,63913;30,7;25,834783;23,1;83,913043;,608696;
2023-01-09;,2;1007,980952;26,7;null;23;88,190476;,952381;
2023-01-10;null;1007,75;30,6;25,377273;22,2;84,818182;1;
2023-01-11;2;1007,672727;31,3;26,090909;22,9;81,863636;1;
2023-01-12;1,8;1006,990909;31,1;25,772727;23,5;85,954545;,663636;
2023-01-13;15,2;1006,436364;30,7;24,645455;22,6;89,181818;,645455;
2023-01-14;null;1007,019048;30,1;null;22,7;85,666667;1,157143;
2023-01-15;1;1007,586957;29,8;25,16087;22,5;86,130435;,778261;
2023-01-16;,4;1006,508333;30,5;25,925;23,8;86,166667;,654167;
2023-01-17;14;1007,075;26,2;24,2125;24;91,541667;,908333;
2023-01-18;22,8;1007,945833;25,9;23,675;22,1;89,583333;,5875;
2023-01-19;,6;1007,582609;29,6;24,834783;22,4;85,782609;,96087;
2023-01-20;,2;1008,254545;29,7;24,6;22,2;86,272727;1,109091;
2023-01-21;null;1007,409091;29,7;24,340909;22,3;87,181818;,813636;
2023-01-22;8;1006,26087;31,3;25,404348;22,2;85,695652;,717391;
2023-01-23;32,8;1007,590909;28,8;25,177273;21,9;84,545455;1,277273;
2023-01-24;,2;1006,995652;31,4;26,508696;22,3;78,217391;,795652;
2023-01-25;null;1005,818182;32;27,218182;23,3;74,863636;,845455;
2023-01-26;0;1005,195833;33,6;27,9625;24,4;65,791667;1,1;
2023-01-27;0;1005,061905;33,6;null;23,7;69,47619;1,171429;
2023-01-28;null;1005,685714;31;null;25,2;66,285714;1,595238;
2023-01-29;0;1005,891667;31,2;26,454167;23,2;77,083333;,975;
2023-01-30;0;1005,308333;33,3;26,704167;22,5;78,041667;,65;
2023-01-31;0;1005,645833;32,4;26,8375;23,3;77,5;,808333;
2023-02-01;0;1005,608333;33,4;27,804167;23,7;75,541667;,75;
2023-02-02;0;1006,770833;32,9;28,391667;26;70,75;1,775;
2023-02-03;0;1007,178261;30,7;26,108696;24,4;85;,856522;
2023-02-04;30,8;1008,8;26,3;24,108696;23,6;91,434783;,965217;
2023-02-05;43,2;1008,927273;26,7;23,6;21,5;88,590909;,668182;
2023-02-06;14,6;1006,933333;31,1;25,495833;22,8;84,833333;,75;
2023-02-07;4,8;1006,241667;31,6;26,4125;23,2;82,583333;,575;
2023-02-08;11,8;1006,443478;29,5;25,313043;23,8;87,565217;1,195652;
2023-02-09;4;1006,116667;30,9;25,841667;23,4;85,708333;,8625;
2023-02-10;8,6;1006,363636;26,7;24,836364;23,6;88,272727;1,059091;
2023-02-11;24,2;1005,468182;32,4;26,481818;22,9;81,090909;,727273;
2023-02-12;null;1004,418182;32,7;27,609091;24,5;79,272727;,822727;
2023-02-13;1,8;1004,982609;31,2;26,373913;23,2;81,826087;1,078261;
2023-02-14;11,2;1005,45;32,1;25,991667;23,7;84,541667;,841667;
2023-02-15;26,4;1005,983333;25,4;23,991667;23,1;91,666667;,470833;
2023-02-16;13,4;1004,5375;32,3;25,904167;22,8;85,541667;,704167;
2023-02-17;20;1004,652174;29,5;26,134783;24;85,913043;,995652;
2023-02-18;,2;1005,145455;33,2;27,695455;24;77,045455;1,027273;
2023-02-19;0;1005,2;31,1;26,981818;24,7;80,409091;,831818;
2023-02-20;46;1006,804348;25,9;24,008696;23,1;92,26087;,86087;
2023-02-21;71,6;1007,021739;29,4;24,834783;22,4;84,913043;,508696;
2023-02-22;,6;1008,490909;30,4;26,218182;23,7;81,227273;1,295455;
2023-02-23;null;1008,559091;31,4;26,627273;23,7;82,590909;,677273;
2023-02-24;,2;1008,068182;28,1;25,454545;24,4;89,636364;,904545;
2023-02-25;34,8;1007,813636;30;25,672727;23,5;85,227273;,809091;
2023-02-26;,8;1007,378261;30,7;26,626087;23,6;77,695652;1,56087;
2023-02-27;2,4;1007,216667;33,1;26,720833;24,3;82,291667;1,045833;
2023-02-28;9;1008,4;31,3;26,291667;24,2;83,958333;,808333;
2023-03-01;,8;1008,1125;25,3;24,1875;23,4;91,333333;,841667;
2023-03-02;37,6;1006,552174;30,7;25,517391;22,4;84;1,156522;
2023-03-03;1,8;1005,278261;30,4;25,954167;23,3;85,166667;,534783;
2023-03-04;3,4;1005,375;29,7;26,108333;24,6;86,25;,4625;
2023-03-05;2,8;1005,920833;31,1;26,720833;23,8;81,5;,7;
2023-03-06;0;1005,7375;31,9;26,370833;23,9;84,916667;1,0125;
2023-03-07;5;1006,1375;28,4;25,033333;23,8;89,166667;1,279167;
2023-03-08;24,2;1006,004348;32,2;27,030435;24,1;79,869565;,895652;
2023-03-09;0;1006,216667;32,5;27,029167;24,6;80,625;1,270833;
2023-03-10;10,8;1005,741667;31,5;26,145833;24,2;86;,816667;
2023-03-11;43,6;1006,2375;26,7;24,4625;23,5;90,541667;,866667;
2023-03-12;2,8;1007,783333;25,5;24,3875;23,4;92,208333;,558333;
2023-03-13;14,2;1008,320833;31,4;25,575;22,9;84,833333;,508333;
2023-03-14;0;1007,5;33,3;26,890909;22,3;74,636364;,627273;
2023-03-15;0;1007,0125;32,7;26,341667;23;81,291667;,758333;
2023-03-16;0;1006,045833;33,2;27,6;24,6;79,666667;,7875;
2023-03-17;0;1006,220833;30,6;25,745833;24,6;86;1,291667;
2023-03-18;null;1006,666667;31,5;null;21,8;79,52381;,97619;
2023-03-19;0;1006,379167;32,8;27,3375;23;75,916667;,904167;
2023-03-20;0;1006,704167;34,1;27,754167;23,6;75,125;,675;
2023-03-21;0;1005,8625;33,9;27,4875;23,1;74,083333;,883333;
2023-03-22;0;1005,683333;33,6;27,9375;24,7;71,083333;1,116667;
2023-03-23;0;1005,695652;34,3;27,673913;23,8;77,478261;1,065217;
2023-03-24;0;1005,879167;30,7;27,1875;24,6;82,458333;1,4875;
2023-03-25;,6;1006,666667;28,7;25,008333;24,2;89,041667;1,458333;
2023-03-26;25,4;1007,508333;32,6;26,220833;23,2;82,375;,983333;
2023-03-27;19,4;1007,3375;28,9;25,7125;23,9;87,25;,795833;
2023-03-28;2,6;1006,9125;28,3;24,916667;23,4;90,166667;,608333;
2023-03-29;66,6;1006,529167;27,7;24,941667;23,7;90,708333;,5625;
2023-03-30;12,8;1006,770833;30,5;26,558333;24;83,791667;1,020833;
2023-03-31;,4;1007,170833;32,1;26,904167;24,4;79,708333;1,0375;
2023-04-01;,2;1006,808333;30,7;27,508333;25,4;79,875;1,095833;
2023-04-02;0;1007,329167;28,2;25,3625;24,4;88,875;,620833;
2023-04-03;25,2;1005,795833;33,1;27,295833;22,5;77;,979167;
2023-04-04;0;1004,958333;32,9;26,983333;24,3;79,666667;1,008333;
2023-04-05;0;1004,291667;34;27,054167;23,8;78,75;,975;
2023-04-06;1,2;1004,4125;31,8;27,016667;24,2;80,833333;1,254167;
2023-04-07;4,8;1005,3125;30,6;27,004167;24;78,541667;1,195833;
2023-04-08;0;1006,291667;32,8;27,420833;23,9;80,083333;1,145833;
2023-04-09;0;1007,583333;31,6;25,9;23,8;86,791667;,925;
2023-04-10;1,8;1008,008333;31,9;26,383333;23,7;82,583333;1,016667;
