Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.125207
Longitude: -67.061246
Altitude: 79.67
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;1001,358333;30,8;24,829167;22,6;82,041667;null;
2023-01-02;6,6;1001,429167;30,7;25,008333;23;81,833333;null;
2023-01-03;15,6;1001,566667;30,1;24,65;22,6;81,291667;null;
2023-01-04;,8;1000,4;31,8;25,777273;21,9;74,363636;null;
2023-01-05;28,8;1001,291304;32,1;26,03913;22,9;77;null;
2023-01-06;0;1001,395455;31,7;25,804545;23,8;79,590909;null;
2023-01-07;10,6;1002,759091;30,6;24,845455;23;80,636364;null;
2023-01-08;5;1003,217391;31,2;25,16087;22,3;78,434783;null;
2023-01-09;null;1002,147619;32,1;null;23,1;71,285714;null;
2023-01-10;0;1001,6;32,6;25,872727;22,2;72,590909;null;
2023-01-11;1,2;1001,504167;33,2;26,483333;22,4;73,625;null;
2023-01-12;18,2;1001,704545;29,5;24,831818;22,8;82,727273;null;
2023-01-13;9,2;1001,308696;31,1;25,413043;23,2;78,434783;null;
2023-01-14;null;1000,557143;31,5;25,522727;22;78,954545;null;
2023-01-15;null;1001,47619;32,6;null;23,2;74,190476;null;
2023-01-16;0;1000,879167;32;24,891667;22,7;81,375;null;
2023-01-17;63,4;1001,556522;24,4;22,778261;21,2;86,913043;null;
2023-01-18;9,8;1001,408333;31,4;24,8125;21;75,041667;null;
2023-01-19;0;1001,413043;30,4;23,908696;22;83,478261;null;
2023-01-20;27,8;1002,666667;28,4;24,379167;22,1;79,541667;null;
2023-01-21;1;1001,704348;31,9;24,965217;21,7;75,565217;null;
2023-01-22;35,2;1000,586957;31,7;24,791304;21,5;77,478261;null;
2023-01-23;,4;1001,791304;27,8;23,221739;22,6;86,782609;null;
2023-01-24;25;1001,713043;31,5;24,791304;21,6;78,652174;null;
