Nome: BOA VISTA
Codigo Estacao: A135
Latitude: 2.81694443
Longitude: -60.69083333
Altitude: 82.35
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,8;1002,004167;32,3;27,395833;24,4;64,291667;1,7375;
2023-01-02;,8;1001,883333;33;27,220833;23,6;64,75;1,6375;
2023-01-03;0;1001,608333;33,7;28,016667;24,1;60,375;1,916667;
2023-01-04;0;1002,420833;32,7;27,1125;23,2;65,833333;1,552174;
2023-01-05;3,2;1002,891667;31,7;26,0375;23,1;70,541667;2,020833;
2023-01-06;0;1002,4625;33,5;27,325;22,9;63,416667;1,891667;
2023-01-07;,2;1003,0375;30,2;26,504167;23,8;71,125;1,5625;
2023-01-08;1;1003,754167;33,8;26,958333;23,2;69,625;1,525;
2023-01-09;,2;1002,733333;32,6;27,175;23,5;65,625;2,004167;
2023-01-10;0;1002,625;31,4;26,758333;24;69,041667;1,791667;
2023-01-11;23;1003,25;29,5;25,229167;23,1;81,666667;1,3125;
2023-01-12;11,2;1002,475;32,7;26,533333;22,6;70,958333;1,991667;
2023-01-13;0;1001,404167;32,4;27,141667;23,5;66,791667;2,445833;
2023-01-14;0;1002,366667;31,4;26,716667;23,2;66,291667;1,854167;
2023-01-15;0;1002,758333;32,4;26,404167;23,9;70,25;1,5875;
2023-01-16;,2;1001,604167;33,6;26,741667;23,2;70,041667;1,733333;
2023-01-17;0;1001,329167;32;26,783333;23,5;66,166667;2,533333;
2023-01-18;45,6;1003,179167;32,1;25,575;21,2;71,125;1,7375;
2023-01-19;0;1002,995833;32,2;26,745833;23;60,083333;2,479167;
2023-01-20;0;1002,8625;31,8;26,4625;22,5;63,958333;1,658333;
2023-01-21;0;1002,65;31,5;26,5625;22,9;65,791667;2,3625;
2023-01-22;,4;1001,9375;31,4;26,391667;23,3;67,125;2,308333;
2023-01-23;0;1002,966667;31,2;26,5875;23,5;63,291667;2,858333;
2023-01-24;0;1002,816667;31,8;26,291667;21,7;62,416667;2,541667;
2023-01-25;0;1002,156522;32;26,329167;21,8;55,666667;2,345833;
2023-01-26;0;1001,2375;32,6;26,420833;21,1;57;2,079167;
2023-01-27;0;1001,330435;32,3;26,554167;22,5;58,333333;2,104167;
2023-01-28;0;1001,583333;33,4;26,966667;22,3;54,791667;2,295833;
2023-01-29;0;1001,640909;33,2;26,7;21,5;58,583333;1,966667;
2023-01-30;0;1001,004167;33,3;27,020833;21,6;58,041667;1,8;
2023-01-31;0;1001,047826;34,7;27,091667;21,9;56,125;1,704167;
2023-02-01;0;1001,891667;30,9;26,875;22,9;61,541667;1,879167;
2023-02-02;0;1002,604167;33,5;27,666667;23,9;57,458333;2,720833;
2023-02-03;0;1002,55;33,5;27,85;23,1;59,416667;2,504348;
2023-02-04;0;1003,816667;30,5;26,716667;23,4;66,708333;2,141667;
2023-02-05;7,6;null;27,4;25,083333;22,3;77,208333;2,45;
2023-02-06;1,6;1002,670833;30,5;25,679167;22,7;71,416667;2,75;
2023-02-07;0;1001,75;32,1;26,829167;23,1;67,041667;2,170833;
2023-02-08;0;1001,2875;33,8;27,920833;23,8;61,541667;2,2375;
2023-02-09;0;1001,291667;33,2;27,479167;23,7;63,416667;2,4625;
2023-02-10;0;1001,458333;32,8;27,275;24,1;62,458333;2,445833;
2023-02-11;0;1000,920833;33,3;27,279167;23,3;61,208333;2,041667;
2023-02-12;0;999,4;32,8;27,829167;24,3;56,583333;2,558333;
2023-02-13;0;1000,425;33;27,004167;24,6;64,25;1,941667;
2023-02-14;11,4;1001,204167;31,5;25,533333;22,7;81,291667;1,604167;
2023-02-15;30,4;1001,4;31,2;25,516667;21,6;78,5;1,808696;
2023-02-16;0;999,954167;32,4;26,958333;23,8;67,458333;1,995833;
2023-02-17;0;1000,204167;30,8;26,6375;23,2;66,083333;2,183333;
2023-02-18;0;1001,041667;32,5;27,145833;23,4;59,666667;2,341667;
2023-02-19;0;1001,245833;32,1;27,058333;23,3;61,125;2,854167;
2023-02-20;0;1001,308333;33;26,6875;22,9;58,416667;2,241667;
2023-02-21;0;1002,133333;31,7;26,983333;23,2;64,875;1,729167;
2023-02-22;0;1003,725;32,6;26,933333;23,1;58;2,404167;
2023-02-23;0;1003,5625;34,1;27,829167;23;54,583333;1,608333;
2023-02-24;0;1002,8625;33,4;27,825;24,3;61,416667;2,183333;
2023-02-25;2,6;1003,25;31,1;26,1375;23,3;68,875;2,066667;
2023-02-26;0;1002,716667;32,5;26,925;22,4;60,125;1,5875;
2023-02-27;0;1002,691667;34,2;27,9375;23,8;56,25;1,870833;
2023-02-28;0;1002,804167;35,1;28,675;24,1;58,166667;1,741667;
2023-03-01;5,6;1002,779167;32,1;27,433333;24,2;67,625;1,895833;
2023-03-02;2,8;1002,0125;33,1;27,491667;24,1;62,625;2,4125;
2023-03-03;0;1001,1875;32;27;23,7;65,083333;2,879167;
2023-03-04;0;1001,466667;32,3;27,079167;23,6;61,125;2,970833;
2023-03-05;0;1001,591667;32,4;27,129167;23,3;60,125;2,3625;
2023-03-06;0;1001,270833;32,8;27,366667;23,4;59,625;2,220833;
