Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;4,4;1008,091304;33;26,5;23,8;87,565217;,656522;
2023-01-02;7,2;1008,3375;33,7;27,208333;23,9;84,916667;,679167;
2023-01-03;5,4;1007,845833;34,4;27,054167;23,5;85,625;,658333;
2023-01-04;5,8;1008,225;33,9;27,4625;23,7;82,833333;1,0125;
2023-01-05;5,8;1008,670833;34,1;28,025;24;78,25;1,075;
2023-01-06;,4;1009,03913;34,3;27,9;23,5;78,782609;,917391;
2023-01-07;1,6;1009,925;34;27,8125;23,6;79;,875;
2023-01-08;0;1009,879167;34,3;26,4375;24,2;86,791667;,895833;
2023-01-09;47,4;1009,4125;34,4;27,545833;23,1;82;,933333;
2023-01-10;,2;1009,270833;33,6;27,7;24;81,166667;1,295833;
2023-01-11;3,6;1010,026087;34,4;27,256522;23,5;81,521739;1,108696;
2023-01-12;,4;1008,813043;33,8;27,356522;24;83,565217;,908696;
2023-01-13;4,4;1007,218182;33,1;26,845455;24;86,5;,809091;
2023-01-14;10;1007,866667;33;27,208333;23,6;83;1,075;
2023-01-15;22;1009,7375;26,9;24,320833;22,3;91,875;,4625;
2023-01-16;,8;1008,604167;33,7;26,441667;22,7;81,625;,941667;
2023-01-17;,2;1007,956522;33,1;26,326087;23,6;83,73913;,882609;
2023-01-18;6,4;1009,583333;31,6;24,854167;23,4;87,083333;,770833;
2023-01-19;2;1011,104167;28,4;24,075;21,8;92,708333;,241667;
2023-01-20;5;1009,754167;33,7;26,775;22,8;82,458333;,895833;
2023-01-21;19,8;1008,947826;33,4;26,691304;23,7;86,521739;,604348;
2023-01-22;3,6;1008,416667;33,7;25,979167;23,4;89,958333;,570833;
2023-01-23;16;1009,245833;32,9;26,1375;23,5;88,625;,7375;
2023-01-24;12,6;1008,195833;31,9;26,054167;23,3;86,541667;,641667;
2023-01-25;19,8;1008,016667;30,9;26,008333;23,4;87,416667;,708333;
2023-01-26;44,4;1007,825;30,8;25,358333;22,8;88,791667;,566667;
2023-01-27;4,8;1008,443478;31,4;25,643478;23,8;88,217391;,565217;
2023-01-28;2,8;1008,9625;32,1;24,8125;22,7;89,291667;,570833;
2023-01-29;34,8;1008,15;33,8;25,033333;20,7;91,208333;,5;
2023-01-30;64,8;1007,634783;31,1;24,713043;22,2;91,347826;,747826;
2023-01-31;3,2;1007,495833;31,7;25,845833;23;87,375;,595833;
2023-02-01;3;1009,13913;29,3;25,195652;22,9;88,304348;,513043;
