Nome: SALINOPOLIS
Codigo Estacao: A215
Latitude: -0.61888888
Longitude: -47.35666666
Altitude: 23.18
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;29,8;null;null;71,833333;null;
2023-01-02;null;null;29,4;null;null;74,538462;null;
2023-01-03;null;null;30;null;null;73,083333;null;
2023-01-04;null;null;30;null;null;75,166667;null;
2023-01-05;null;null;29,8;null;null;71,615385;null;
2023-01-06;null;null;30,1;null;null;null;null;
2023-01-07;null;null;30,1;null;null;73,833333;null;
2023-01-08;null;null;30,4;null;null;72,583333;null;
2023-01-09;null;null;29,9;null;null;72,538462;null;
2023-01-10;null;null;29,5;null;null;75,266667;null;
2023-01-11;null;null;30,4;null;null;71,923077;null;
2023-01-12;null;null;29,5;null;null;76,071429;null;
2023-01-13;null;null;30;null;null;74,5;null;
2023-01-14;null;null;29,9;null;null;72,857143;null;
2023-01-15;null;null;26,8;null;null;null;null;
2023-01-16;null;null;29;null;null;72,583333;null;
2023-01-17;null;null;29,1;null;null;80;null;
2023-01-18;null;null;23,5;null;null;null;null;
2023-01-19;null;null;24,2;null;null;null;null;
2023-01-20;null;null;28,9;null;null;77,769231;null;
2023-01-21;null;null;29,2;null;null;79,692308;null;
2023-01-22;null;null;29,4;null;null;78,733333;null;
2023-01-23;null;null;27,6;null;null;79;null;
2023-01-24;null;null;28,6;null;null;79,8125;null;
2023-01-25;null;1009,55;29,1;24,4625;22,2;87,208333;,845833;
2023-01-26;44,6;1009,291667;26,9;23,795833;22;89,875;,504167;
2023-01-27;21;1010,129167;26,5;23,154167;22,4;92,166667;,041667;
2023-01-28;6,6;1010,570833;28,6;25,1;21,9;85,125;,15;
2023-01-29;,4;1009,575;29,2;26,083333;24,3;81;,8125;
2023-01-30;11,4;1008,833333;28,5;24,429167;22,4;87,791667;,858333;
2023-01-31;10,8;1008,9375;29,3;23,958333;21,2;90,458333;,2;
2023-02-01;204,8;1010,516667;25,7;22,695833;20;93,666667;,033333;
2023-02-02;83,6;1012,233333;27;23,3625;20,3;90,458333;,570833;
2023-02-03;2;1011,054167;29,4;25,7;21,9;82,041667;1,85;
2023-02-04;6,6;1012,145833;28,9;25,025;22,2;86,208333;1,2125;
2023-02-05;8,4;1011,979167;28,9;26,095833;22,5;83,458333;2,041667;
2023-02-06;3,8;1010,604167;28,4;26,054167;24,1;82,416667;1,9;
2023-02-07;3,8;1010,204167;27,7;25,141667;22,8;85,916667;,833333;
2023-02-08;1,2;1010,016667;28,5;25,658333;22,5;83,666667;,558333;
2023-02-09;15,2;1010,104167;29,5;26,229167;22,8;81,208333;1,445833;
2023-02-10;0;1009,7625;29,2;26,258333;24,9;81,5;1,7375;
2023-02-11;28,6;1009,358333;28,4;25,0375;22,7;88,708333;,433333;
2023-02-12;11;1009,125;29,9;26,691667;23,2;80,25;1,375;
2023-02-13;,2;1008,641667;29,9;27,0125;25,1;78,208333;2,066667;
