Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1009,929167;30,7;27,158333;23,7;75,041667;null;
2023-01-02;,2;1010,233333;30;27,325;26;74,791667;null;
2023-01-03;0;1010,029167;29,6;26,745833;25,7;78,375;null;
2023-01-04;9,2;1010,05;30,2;27,2;23,3;74,041667;null;
2023-01-05;0;1010,6625;29,9;27,416667;26,1;72,75;null;
2023-01-06;0;1011,179167;29,3;27,070833;25,8;74,916667;null;
2023-01-07;0;1011,825;30,2;27,316667;26,2;74,666667;null;
2023-01-08;,2;1011,775;30,2;27,35;25,8;74,208333;null;
2023-01-09;,2;1011,895833;30,5;27,404167;26;72,125;null;
2023-01-10;21,8;1011,6;28,7;26,541667;23;77,541667;null;
2023-01-11;1,6;1011,883333;30,1;27,041667;24,4;75;null;
2023-01-12;,4;1010,716667;29,8;27,058333;25,2;77,041667;null;
2023-01-13;1,6;1009,395833;29,8;27,375;25,8;72,916667;null;
2023-01-14;8;1009,425;30;27,15;24,5;77,625;null;
2023-01-15;7,6;1010,65;27,6;25,795833;24,2;81,916667;null;
2023-01-16;30,6;1010,9625;26,5;24,120833;21,8;86,583333;null;
2023-01-17;2,8;1009,991667;29,4;25,4625;21;79,625;null;
2023-01-18;,2;1010,35;29,8;26,425;23,8;77,166667;null;
2023-01-19;1,8;1011,975;29,7;25,895833;23,2;78,75;null;
2023-01-20;19,4;1012,183333;28,8;24,391667;22,1;86,291667;null;
2023-01-21;,2;1011;29,6;26,829167;23,9;75,958333;null;
2023-01-22;1,4;1010,095833;30,1;27,05;25,3;77,125;null;
2023-01-23;0;1010,945833;30;26,570833;25,4;78,791667;null;
2023-01-24;4,6;1009,795833;26,8;25,445833;24,5;83,125;null;
2023-01-25;19,8;1009,445833;28,8;25,1875;20,9;83;null;
2023-01-26;19,6;1009,241667;29,8;24,675;20,5;82,125;null;
2023-01-27;0;1009,870833;29,8;26,991667;24,4;74,083333;null;
2023-01-28;0;1010,654167;30,3;27,204167;25,9;75,125;null;
2023-01-29;0;1009,583333;30,2;27,475;26,3;72,208333;null;
2023-01-30;0;1008,904167;30,4;27,154167;26,1;73,916667;null;
2023-01-31;17,4;1009,266667;28,2;25,775;22,8;84;null;
2023-02-01;7,4;1010,079167;29,5;26,020833;23,2;82,625;null;
2023-02-02;21,2;1011,666667;28;25,525;21,9;82,333333;null;
2023-02-03;1,4;1011,870833;29,3;25,7625;23;83,333333;null;
2023-02-04;0;1012,020833;29,2;26,645833;24,7;79,083333;null;
2023-02-05;,2;1011,679167;30,3;27,283333;25,4;76,583333;null;
2023-02-06;0;1010,683333;30;27,216667;26;75,958333;null;
2023-02-07;1,2;1010,058333;29,2;26,3;23,2;80,208333;null;
2023-02-08;13,4;1009,883333;29,5;26,470833;23,3;81,125;null;
2023-02-09;,2;1010,0125;30;27,479167;25,7;75;null;
2023-02-10;14,8;1009,575;29,7;26,758333;23,2;81,083333;null;
2023-02-11;10,6;1009,079167;29,3;26,770833;24,2;79,291667;null;
2023-02-12;,2;1009,1375;30,2;27,516667;24,6;74,583333;null;
2023-02-13;,2;1008,741667;30,5;27,491667;26,4;76,833333;null;
2023-02-14;2,8;1008,883333;28,5;26,833333;24,9;82;null;
2023-02-15;2;1008,791667;30,5;27,358333;25,4;76,458333;null;
2023-02-16;0;1008,266667;28;25,754167;23,7;82,375;null;
2023-02-17;13,8;1007,866667;30;25,608333;22,5;84,375;null;
2023-02-18;20,8;1009,125;29,7;26,320833;23;80,708333;null;
2023-02-19;,2;1010,066667;28,5;24,745833;25;85,75;null;
2023-02-20;62;1009,120833;29,5;24,791667;20,9;87,708333;null;
2023-02-21;6,4;1009,208333;30,5;25,808333;22,3;83,125;null;
2023-02-22;2,6;1011,154167;28,6;26,366667;24,1;81,958333;null;
2023-02-23;2,8;1012,291667;27,2;24,7;23,2;90,375;null;
2023-02-24;4,4;1011,520833;29,2;25,2;22,4;86,458333;null;
2023-02-25;0;1011,029167;30,2;26,633333;23,4;76,25;null;
2023-02-26;4,6;1011,495833;29,7;26,995833;24,4;77,916667;null;
2023-02-27;,8;1011,541667;30,3;27,45;26,4;78,208333;null;
2023-02-28;0;1012,016667;30,3;27,741667;26,1;75,5;null;
2023-03-01;0;1011,45;30,3;27,583333;26,4;76,75;null;
2023-03-02;0;1010,3375;29,7;27,004167;25,8;79,25;null;
2023-03-03;20,8;1010,345833;27,7;25,733333;22,7;84,208333;null;
2023-03-04;3,8;1010,0625;29,3;26,504167;23,5;81,041667;null;
