Nome: ALTO PARNAIBA
Codigo Estacao: A223
Latitude: -9.10833333
Longitude: -45.93194443
Altitude: 283.69
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;33,4;null;null;null;null;
2023-01-02;null;null;34,2;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;null;null;null;null;null;
2023-01-06;null;null;32,4;null;null;null;null;
2023-01-07;null;null;34,2;null;null;null;null;
2023-01-08;null;null;33,6;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;33,3;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;33,5;null;null;null;null;
2023-01-14;null;null;32,5;null;null;null;null;
2023-01-15;null;null;33,5;null;null;null;null;
2023-01-16;null;null;null;null;null;null;null;
2023-01-17;null;null;31,7;null;null;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;32,7;null;null;null;null;
2023-01-24;null;null;33,9;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;33,2;null;null;null;null;
2023-01-30;null;null;34,2;null;null;null;null;
2023-01-31;null;null;34;null;null;null;null;
2023-02-01;null;null;33,1;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;29,7;null;null;null;null;
