Nome: BRAGANCA
Codigo Estacao: A226
Latitude: -1.05583333
Longitude: -46.78277777
Altitude: 5.6
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;1006,395833;32,9;27,720833;24,5;75,208333;,3625;
2023-01-02;null;1006,720833;34;27,895833;23,8;75,291667;,15;
2023-01-03;null;1006,279167;32,3;27,479167;24,4;77,875;,075;
2023-01-04;null;1006,575;33;26,158333;23,3;82,208333;,420833;
2023-01-05;null;1007,258333;33;27,8;23,9;73,708333;,3375;
2023-01-06;null;1007,575;34;27,695833;23;73,083333;,191667;
2023-01-07;null;1008,241667;33,5;27,691667;23,4;74,666667;,15;
2023-01-08;null;1008,179167;33,5;27,758333;24,9;74,166667;,141667;
2023-01-09;null;1007,879167;33,6;27,85;24,8;73,166667;,258333;
2023-01-10;null;1007,754167;33,9;28,579167;25,1;68,375;,920833;
2023-01-11;null;1008,204167;34,6;28,4875;24,2;67,291667;,75;
2023-01-12;null;1007,208333;33,6;27,716667;24,8;76,416667;,183333;
2023-01-13;null;1005,495833;34,1;28,241667;24,9;74,833333;,375;
2023-01-14;null;1006,095833;33,8;27,679167;23,9;74,166667;,2;
2023-01-15;null;1007,979167;27,5;24,391667;21,6;86,166667;,029167;
2023-01-16;null;1007,225;31,6;25,233333;20,8;78,458333;,270833;
2023-01-17;null;1006,270833;33,3;26,2375;22,7;79,291667;,05;
2023-01-18;null;1007,866667;24,5;23,541667;22,3;91,875;,004167;
2023-01-19;null;1009,3375;29;24,508333;22,5;87,416667;0;
2023-01-20;null;1008,095833;31,4;25,5375;22,2;83,041667;0;
2023-01-21;null;1007,441667;31,3;25,875;23,3;85,25;,004167;
2023-01-22;null;1006,579167;32,6;26,679167;23,3;82,083333;,095833;
2023-01-23;null;1007,604167;30,4;25,829167;23,8;87,083333;,058333;
2023-01-24;null;1006,429167;30,2;25,479167;23,2;87,333333;,129167;
2023-01-25;null;1006,2625;29,4;24,675;23;90,625;,291667;
2023-01-26;null;1005,954167;28,5;24,358333;22,6;91,125;,104167;
2023-01-27;null;1006,695833;28,2;24,729167;23,1;90,708333;,058333;
2023-01-28;null;1007,183333;32,2;26,508333;22,9;83,708333;,041667;
2023-01-29;null;1006,208333;32,6;26,9875;24,3;82,75;,0625;
2023-01-30;null;1005,6625;31,6;25,15;24;88,833333;,583333;
