Nome: BURITICUPU
Codigo Estacao: A238
Latitude: -4.32055554
Longitude: -46.44944444
Altitude: 174.91
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,6;989,520833;33;25,65;22;81,916667;null;
2023-01-02;,4;989,770833;31,8;25,591667;23,3;83,291667;null;
2023-01-03;6,4;989,691667;32,7;25,925;21,8;80,25;null;
2023-01-04;0;990,016667;32,3;25,4125;21,2;82,25;null;
2023-01-05;null;null;24,6;null;22,6;null;null;
2023-01-06;null;null;null;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;31,1;null;null;null;null;
2023-01-11;1,2;991,825;30,5;25,608333;22,8;83,791667;null;
2023-01-12;,4;990,108333;33,6;26,6125;22,7;79,333333;null;
2023-01-13;0;988,8875;33;26,820833;23,2;77,541667;null;
2023-01-14;0;989,416667;30,8;26,220833;23,1;78,625;null;
2023-01-15;4,6;990,9375;29,6;23,983333;22,8;92,333333;null;
2023-01-16;21;990,266667;30;24,404167;20,3;83,625;null;
2023-01-17;3,6;989,6625;33;25,416667;21,5;79,833333;null;
2023-01-18;,4;990,6625;28,4;24,545833;21,8;84,125;null;
2023-01-19;43,2;992,745833;28,4;22,579167;21,2;93,75;null;
2023-01-20;10,6;991,5125;31,3;24,545833;20,4;84,25;null;
2023-01-21;,2;990,333333;32,6;25,554167;21,5;81,833333;null;
2023-01-22;null;null;24,3;null;21,3;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;28,8;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;33,4;null;null;null;null;
2023-03-02;null;989,958333;32,9;26,129167;22,4;85,5;null;
2023-03-03;0;989,9125;31,9;25,1375;22,6;90,125;null;
2023-03-04;2,8;989,958333;31,9;25,595833;22,3;88,583333;null;
2023-03-05;1,8;989,220833;34,3;26,825;22,7;84,541667;null;
2023-03-06;11,2;988,933333;31,5;26,0125;22;86,333333;null;
2023-03-07;0;988,658333;33;26,4875;22,9;83,875;null;
2023-03-08;0;989,058333;33,4;26,920833;23,4;81,416667;null;
2023-03-09;0;989,775;32,5;26,225;22,8;85,208333;null;
2023-03-10;23,4;991;30;24,429167;21,4;91,458333;null;
