Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;5,4;981,591667;31,1;24,925;21,5;86,086957;1,479167;
2023-01-02;0;981,7625;31,2;24,975;22,8;83,958333;1,745833;
2023-01-03;12,8;981,6625;31,4;26,1375;22,5;80,583333;1,9625;
2023-01-04;0;981,916667;32,3;26,3875;21,5;76,521739;1,8875;
2023-01-05;0;982,225;31,6;25,566667;23;82,416667;1,916667;
2023-01-06;1;982,808333;30,6;25,55;21,9;82,333333;1,508333;
2023-01-07;0;983,5875;29,8;25,254167;21,6;82,681818;,991667;
2023-01-08;2,6;983,320833;31,3;26,329167;23,1;81,291667;1,333333;
2023-01-09;0;983,116667;31;25,895833;22,7;80,695652;1,495833;
2023-01-10;0;983,141667;30,5;25,1625;23,3;85,095238;1,741667;
2023-01-11;19,4;983,783333;30,4;25,229167;21,1;85,217391;1,625;
2023-01-12;0;982,141667;31,4;25,9125;21,9;81,434783;1,508333;
2023-01-13;0;981,045833;30,7;24,595833;22,3;85,73913;1,933333;
2023-01-14;7,8;981,533333;30,3;25,683333;22,2;84,166667;1,316667;
2023-01-15;0;982,945833;28,8;24,645833;22,8;86,416667;1,825;
2023-01-16;8,4;982,1625;29,1;23,75;20,7;88,208333;1,354167;
2023-01-17;1,8;981,608333;30,5;24,7125;21;83,125;2,154167;
2023-01-18;0;982,783333;28,2;24,170833;21;83,291667;1,420833;
2023-01-19;40,6;984,708333;26,4;22,345833;20;90,875;1,675;
2023-01-20;1,6;983,2875;30,9;24,35;20,3;86;1,845833;
