Nome: ALTAMIRA
Codigo Estacao: A253
Latitude: -3.26999999
Longitude: -52.39472221
Altitude: 191
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;5;989,504167;28,6;24,325;21,4;95,458333;,4875;
2023-01-02;2;989,283333;31,7;24,791667;22,3;92,708333;,695833;
2023-01-03;7,2;989,045833;29,9;25,275;23;91,875;,575;
2023-01-04;3,2;989,6;28,7;24,029167;21,8;97,652174;,525;
2023-01-05;12,8;990,0375;26,4;23,7;22,2;98,625;,583333;
2023-01-06;7,8;990,233333;28,9;24,420833;22,3;96,125;,691667;
2023-01-07;12,4;990,740909;30,6;25,822727;22,2;88,5;,663636;
2023-01-08;7,4;990,833333;30;25,404167;21,5;92,173913;,545833;
2023-01-09;25,6;990,443478;30,5;24,917391;21,3;91,5;,556522;
2023-01-10;0;990,491304;29,9;25,282609;22,2;93,434783;,526087;
2023-01-11;2,8;990,945833;29,5;24,9625;22,4;93,304348;,7375;
2023-01-12;1;989,408333;30;25,008333;22,7;95,782609;,595833;
2023-01-13;9;988,295833;31,5;25,804167;23,2;92,25;,858333;
2023-01-14;31;989,652174;27,6;23,96087;22,6;98,478261;,491304;
2023-01-15;9,2;990,683333;30,9;23,620833;21,6;96,291667;,516667;
2023-01-16;16,8;989,2625;31,6;25,104167;21,1;86,958333;,591667;
2023-01-17;0;988,665217;29,8;25,043478;22,8;92,521739;,643478;
2023-01-18;39,4;991,2;27,1;23,166667;21,3;96,833333;,479167;
2023-01-19;5,4;991,8375;28,8;23,908333;21,2;90,416667;,5375;
2023-01-20;3,4;990,604348;31,1;25,082609;21,3;87,782609;,530435;
2023-01-21;0;989,6375;29,5;24,0375;21,4;96,583333;,608333;
2023-01-22;13,4;989,366667;31,4;25,508333;22,1;89,304348;,754167;
2023-01-23;1,6;989,945833;29,2;24,670833;22,2;94,25;,554167;
2023-01-24;5,4;989,386957;29;24,382609;22,6;97,565217;,656522;
2023-01-25;13,6;989,204167;28,5;24,4375;22,7;94,521739;,916667;
2023-01-26;,8;988,266667;29,5;24,908333;22,5;92,541667;,720833;
2023-01-27;1,8;989,295833;27,1;23,891667;21,4;96,041667;,645833;
2023-01-28;6,2;989,995833;29,7;24,4;21,4;91,375;,708333;
2023-01-29;1,4;989,2;30;24,3375;20,8;91,208333;,679167;
2023-01-30;2,6;988,595833;30,7;24,958333;21,7;90,695652;,670833;
2023-01-31;0;988,583333;31,7;25,5625;22,2;88,545455;,533333;
2023-02-01;1,8;990,091667;26,7;23,958333;22;94,916667;,6375;
2023-02-02;,4;990,7125;30,8;24,570833;22,3;93,826087;,645833;
2023-02-03;,2;990,3625;31,1;25,191667;21,9;88,708333;,691667;
2023-02-04;3;991,047826;30,7;25,13913;22;91,73913;,63913;
2023-02-05;12,8;991,245833;30,4;25,220833;22,5;92,666667;,566667;
2023-02-06;2,4;989,595652;31,6;25,865217;22,1;89,913043;,652174;
2023-02-07;39,4;989,666667;25,9;23,2875;21,2;99,208333;,591667;
2023-02-08;15,4;989,154167;28;24,195833;21,4;97,208333;,633333;
2023-02-09;15;989,145833;31,9;25,033333;22;92,75;,6375;
2023-02-10;,4;988,716667;30,3;24,958333;22,2;96,583333;,520833;
2023-02-11;7,2;988,4625;31,6;25,6875;22,8;92,666667;,6625;
2023-02-12;,2;988,1375;30;25,629167;23,2;92,869565;,558333;
2023-02-13;1;987,429167;32,8;26,804167;23,4;87,434783;,745833;
2023-02-14;2,4;988,320833;31,4;24,7625;22;95,208333;,545833;
2023-02-15;19,2;988,225;31,2;25,058333;21,9;93,375;,620833;
2023-02-16;4,8;987,620833;30,5;25,191667;22,6;92,541667;,670833;
2023-02-17;,6;987,513636;32,3;25,572727;22,4;91,428571;,695455;
2023-02-18;5,4;988,752174;28,4;24,934783;23;95,217391;,526087;
