Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,6;1005,1625;32,2;26,8875;22,8;82,958333;null;
2023-01-02;4,6;1005,4;33;26,3125;23,7;84,333333;null;
2023-01-03;9,6;1005,329167;32,1;25,8;22,8;86,75;null;
2023-01-04;8,8;1005,4875;32,3;26,929167;22,6;82,541667;null;
2023-01-05;0;1005,721739;33,3;28,013043;24,1;77;null;
2023-01-06;0;1006,370833;33,4;27,4875;22,9;75,125;null;
2023-01-07;0;1007,041667;33,8;27,920833;23,6;75,75;null;
2023-01-08;0;1006,93913;33;27,4;23,8;78,391304;null;
2023-01-09;4,2;1006,886364;32,8;27,672727;23,8;77,863636;null;
2023-01-10;3,6;1006,6625;31,2;26,4375;24,2;85,666667;null;
2023-01-11;4,6;1007,2875;32,2;26,483333;23,7;84,166667;null;
2023-01-12;10,6;1005,882609;32,6;26,6;23,2;85,956522;null;
2023-01-13;19,2;1004,443478;32,9;27,434783;23,6;79,304348;null;
2023-01-14;0;1004,895833;32,4;26,795833;23,2;79,625;null;
2023-01-15;30;1006,891667;29,8;23,854167;21,6;90,5;null;
2023-01-16;11,8;1006,054167;30,6;24,8125;21,2;85,875;null;
2023-01-17;7,8;1005,23913;32,4;25,83913;22,3;82,565217;null;
2023-01-18;1,6;1006,33913;30;25,03913;21,5;86,782609;null;
2023-01-19;,6;1008,175;28;24,166667;22,9;92,833333;null;
2023-01-20;,8;1007,258333;31,2;25,191667;22,2;86,25;null;
2023-01-21;0;1006,158333;31,1;25,920833;22,9;86,75;null;
2023-01-22;14,4;1005,33913;33,4;27,091304;23,2;82,782609;null;
2023-01-23;1,6;1006,2625;32,2;26,179167;23,6;86,75;null;
2023-01-24;18,4;1005,229167;30;25,679167;23,7;90,75;null;
2023-01-25;13,2;1004,631818;30,1;25,177273;23,2;89,909091;null;
2023-01-26;4;1004,441667;31,4;25,720833;23,4;88,125;null;
2023-01-27;3,6;1005,3625;29,5;24,904167;23,1;90;null;
2023-01-28;12,8;1005,919048;30,1;null;21,5;85,809524;null;
2023-01-29;0;1004,954167;32,6;26,816667;23,7;82,875;null;
2023-01-30;16;1004,570833;30,3;25,470833;21,8;87,458333;null;
2023-01-31;15;1004,2;33,2;26,678261;21,5;83,913043;null;
2023-02-01;23;1005,726087;31,6;24,921739;21,3;89,304348;null;
2023-02-02;51,6;1007,629167;28,1;23,766667;21,4;94,166667;null;
2023-02-03;17,2;1006,942857;32,3;null;22,3;84,571429;null;
2023-02-04;0;1007,141667;32,9;26,816667;23,3;82,083333;null;
2023-02-05;0;1007,1;31,9;26,652174;23,4;82,652174;null;
2023-02-06;1;1005,878261;31,6;26,095652;22,7;85,434783;null;
2023-02-07;3,4;1005,386957;31,6;26,556522;23,6;85,173913;null;
2023-02-08;2,8;1005,416667;31,8;25,75;21,8;85,458333;null;
2023-02-09;,6;1005,1;33,4;27,554167;23,3;80,083333;null;
2023-02-10;0;1004,7875;33,1;27,429167;24,6;83,916667;null;
2023-02-11;41;1004,533333;32,7;26,166667;22,6;87,458333;null;
2023-02-12;0;1004,317391;33,2;27,913043;23,9;79,434783;null;
2023-02-13;null;1003,713636;33,5;27,3;24,1;84,181818;null;
2023-02-14;2,6;1004,040909;32;27,068182;24,8;87,454545;null;
