Nome: MACEIO
Codigo Estacao: A303
Latitude: -9.55111111
Longitude: -35.77027777
Altitude: 84.12
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;12,8;1004,091667;30,5;24,879167;22,6;89,583333;2,1;
2023-01-02;6,6;1003,795833;31;25,65;22,4;84,333333;2,620833;
2023-01-03;,4;1003,8;31,2;26,304167;22,8;83;3,116667;
2023-01-04;0;1004,183333;31,9;26,491667;22,5;80,958333;2,995833;
2023-01-05;0;1003,991667;32,3;26,620833;22,5;79,625;3,175;
2023-01-06;0;1004,4375;32,4;26,691667;22,7;80,75;3,483333;
2023-01-07;0;1005,475;32;26,4625;21,8;78,333333;3,283333;
2023-01-08;0;1005,316667;32,3;26,116667;21,7;77,708333;2,829167;
2023-01-09;0;1005,0875;32,5;26,4125;22;80,041667;3,075;
2023-01-10;0;1005,466667;32,5;26,804167;22,3;78,791667;3,441667;
2023-01-11;1,8;1005,4625;30,7;26,075;23,4;81,583333;3,091667;
2023-01-12;,4;1004,345833;32,2;26,441667;22;77,208333;2,625;
2023-01-13;0;1003,270833;32,3;26,920833;23;80,583333;3,1375;
2023-01-14;3,4;1003,495833;31;26,15;23,1;84,958333;2,383333;
2023-01-15;1,2;1004,033333;31,6;26,35;23,5;78,458333;2,233333;
2023-01-16;0;1003,366667;31,7;26,1375;23,1;80,416667;2,216667;
2023-01-17;2,2;1004,070833;31,2;25,945833;22,1;84,166667;2,554167;
2023-01-18;,2;1004,233333;31,6;26,658333;23,4;80,375;2,6125;
2023-01-19;20,8;1004,441667;30,1;25,854167;23,4;86,666667;2,358333;
2023-01-20;,2;1004,604167;31,5;26,345833;22,9;83,333333;2,466667;
2023-01-21;0;1003,670833;32,3;26,425;22,3;78,75;2,816667;
2023-01-22;0;1002,8625;32,3;26,745833;22,5;79,875;2,9;
2023-01-23;0;1003,108333;32,2;27,166667;23,4;81,166667;2,629167;
2023-01-24;0;1002,154167;31,8;26,808333;22,8;77,791667;2,745833;
2023-01-25;,2;1001,716667;32,3;26,45;21,8;74,041667;2,7375;
2023-01-26;0;1001,683333;32,3;26,658333;21,8;78,166667;3,391667;
2023-01-27;0;1003,116667;32,6;27,579167;23,8;78,166667;2,758333;
2023-01-28;0;1004,4625;31,3;27,304167;24,4;75,625;2,85;
2023-01-29;,6;1003,579167;31,5;26,541667;21,9;76,583333;2,4625;
2023-01-30;3,6;1002,529167;31,7;26,816667;23,1;78,75;2,85;
2023-01-31;9,6;1003,15;28,9;24,879167;23,3;91,166667;2,866667;
2023-02-01;18;1003,920833;27,4;24,3;22,2;90,666667;1,808333;
2023-02-02;13,8;1004,795833;31,5;26,4875;22,8;83,166667;2,254167;
2023-02-03;0;1005,504167;32,3;26,8875;23,6;79,375;2,975;
2023-02-04;0;1006,079167;31,7;26,629167;22,6;81,791667;2,454167;
2023-02-05;,6;1004,7375;31,8;26,920833;23,5;82,5;2,279167;
2023-02-06;1,6;1003,858333;28,5;25,616667;23,8;89,416667;2,016667;
2023-02-07;4;1004,045833;31,3;25,825;21,4;79,666667;2,179167;
2023-02-08;0;1003,645833;31,2;25,720833;21,2;79,583333;1,991667;
2023-02-09;0;1003,916667;32,1;26,395833;22,4;81,75;1,9625;
2023-02-10;,4;1003,55;31,6;26,9375;23,2;82,208333;2,554167;
2023-02-11;5,4;1003,2375;31,6;26,4125;22,9;79,875;1,854167;
2023-02-12;,2;1003,175;29,9;26,0625;22,5;82,958333;2,029167;
2023-02-13;0;1003,5;31,7;26,8625;22,8;77,541667;2,191667;
2023-02-14;,4;1002,9375;31,9;26,954167;23,2;78,833333;2,320833;
2023-02-15;,2;1002,179167;31,7;27,3125;24,2;82,291667;2,775;
2023-02-16;0;1000,679167;33,3;27,766667;24,1;79,625;3,0625;
2023-02-17;0;1000,833333;32,3;27,316667;23,2;76,583333;2,854167;
2023-02-18;0;1001,908333;32,4;26,579167;22,6;77,958333;2,804167;
2023-02-19;0;1002,983333;32,2;27,120833;23,5;79,625;2,854167;
2023-02-20;,2;1003,370833;30,8;27,366667;25,6;78,041667;2,645833;
2023-02-21;,2;1003,6875;30,5;26,55;24,2;84,75;2,004167;
2023-02-22;5,6;1004,529167;30,9;26,945833;24,4;82,625;2,241667;
2023-02-23;1,2;1004,633333;30,5;26,041667;23,6;86,041667;2,004167;
2023-02-24;17;1004,095833;29,7;25,6625;23,4;87,541667;1,483333;
2023-02-25;,2;1004,045833;32;26,791667;22,9;81,541667;2,475;
2023-02-26;0;1004,929167;32,9;27,358333;23,6;80,458333;2,816667;
2023-02-27;,8;1005,729167;32,1;27,204167;23;79,833333;2,954167;
2023-02-28;0;1006,166667;32,5;27,295833;23,2;78,25;2,741667;
2023-03-01;0;1005,679167;32,3;27,379167;23,8;78,458333;2,3125;
2023-03-02;1,4;1004,1625;32,2;27,408333;24,6;79,375;2,454167;
2023-03-03;1,2;1003,9625;32,5;27,154167;23,6;80,666667;2,366667;
2023-03-04;5,2;1003,641667;31,9;27,220833;23,5;79,5;2,541667;
2023-03-05;1,4;1003,408333;31,6;27,1625;23,9;80,583333;2,804167;
2023-03-06;0;1003,475;32,2;26,970833;23,2;80,416667;2,979167;
2023-03-07;,6;1003,675;32,5;27,066667;23,1;79,583333;2,970833;
2023-03-08;,2;1003,641667;32,4;27,466667;23,4;74,666667;2,783333;
2023-03-09;2,6;1004,25;31,4;26,920833;23,7;78,625;2,495833;
2023-03-10;0;1004,079167;32;27,108333;23,4;77,125;2,304167;
2023-03-11;,4;1003,283333;30,9;26,85;23,2;79,375;2,020833;
2023-03-12;0;1002,941667;32,6;27,4875;23,4;78,875;2,629167;
2023-03-13;1;1002,85;31,9;27,229167;24;81,958333;2,683333;
2023-03-14;1;1003,070833;31,8;27,1125;23,5;77,958333;2,258333;
2023-03-15;5,6;1002,6375;29,2;25,616667;24,1;87,541667;2,195833;
2023-03-16;10,6;1002,033333;31;26,033333;22,5;78,791667;1,675;
2023-03-17;0;1002,520833;31,2;26,245833;22,8;79,625;1,670833;
2023-03-18;,2;1003,104167;31,7;26,595833;23;82,041667;2,116667;
2023-03-19;0;1003,683333;33;26,720833;22,8;80,125;3,195833;
2023-03-20;2;1003,9125;31,1;26,091667;23,6;85,208333;1,929167;
2023-03-21;15,2;1004,4125;26,3;24,154167;23,4;97,916667;1,483333;
2023-03-22;27,8;1005,179167;30,5;25,5875;22,2;86,541667;1,65;
2023-03-23;2,8;1004,145833;31,2;26,620833;23,1;81,916667;2,191667;
2023-03-24;10,6;1002,858333;31,1;26,608333;23,6;84,375;2,058333;
2023-03-25;0;1003,345833;31,6;27,075;23,6;82,875;2,558333;
2023-03-26;10,4;1004,108333;29,4;25,883333;24,2;91,666667;2,120833;
2023-03-27;10,8;1003,716667;30,9;25,954167;22,5;84,125;1,929167;
2023-03-28;,8;1003,845833;31,2;26,4125;22,7;82,666667;2,025;
2023-03-29;4;1004,179167;29,3;25,829167;24,1;88,666667;2,725;
2023-03-30;16,2;1004,845833;31,2;27,125;23,3;75,125;2,858333;
2023-03-31;1,4;1004,175;31,1;26,1875;22,3;81,666667;1,783333;
2023-04-01;1,2;1003,066667;31,2;26,375;22,6;82,25;1,729167;
2023-04-02;0;1002,729167;31,5;26,466667;23,1;83,25;1,670833;
