Nome: SOBRAL
Codigo Estacao: A306
Latitude: -3.74805555
Longitude: -40.34583333
Altitude: 92.07
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;999,591667;35,1;28,1875;21,4;56,041667;,554167;
2023-01-02;0;999,766667;36,1;28,4625;21,7;58,791667;,629167;
2023-01-03;0;999,966667;34,8;27,379167;22,7;65,208333;,791667;
2023-01-04;,2;999,979167;35,9;28,05;21,3;59,25;1,025;
2023-01-05;0;1000,466667;36,8;28,545833;21,4;55,541667;1,741667;
2023-01-06;0;1001,108333;35,6;28,1;21,1;58,875;1,358333;
2023-01-07;0;1001,541667;37,1;28,779167;21,8;54,958333;1,745833;
2023-01-08;0;1001,45;36,7;28,216667;21,6;59,833333;1,829167;
2023-01-09;2,8;1001,475;35,9;28,45;24,3;61,791667;1,391667;
2023-01-10;,2;1001,691667;35,1;27,0125;22,5;67,625;1,075;
2023-01-11;9,2;1001,554167;35,2;27,608333;22,2;64,166667;1,4375;
2023-01-12;2,8;1000,3375;36,7;28,4625;23,5;60,875;,733333;
2023-01-13;0;999,208333;36,8;28,608333;23,3;57,666667;1,233333;
2023-01-14;0;999,179167;34,9;28,0625;22,7;61,375;1,291667;
2023-01-15;,6;1000,295833;31,5;26,891667;24,4;69,416667;,541667;
2023-01-16;,4;1000,975;28,9;24,141667;23,2;84,916667;,116667;
2023-01-17;4,4;1000,054167;34,3;25,595833;20,6;72,565217;,741667;
2023-01-18;2,6;1000,2875;34,2;25,254167;22,2;76,916667;,516667;
2023-01-19;5,2;1001,9375;29,4;24,2375;21,9;86,041667;,033333;
2023-01-20;13,4;1002,058333;32;25,220833;21,3;65,846154;,5125;
2023-01-21;0;1000,895833;33,4;25,7;21,5;78,291667;,158333;
2023-01-22;5,4;1000,15;33,5;25,841667;22,3;77,714286;,720833;
2023-01-23;5;1000,6125;35;26,5375;22,4;77,291667;,275;
2023-01-24;0;999,5875;31,9;25,5375;22,5;81,478261;,358333;
2023-01-25;37,8;999,458333;29;24,058333;23,1;null;,004167;
2023-01-26;31,4;999,166667;30,8;25,3375;22,3;82,375;,2125;
2023-01-27;6,2;999,758333;33,4;26,6375;20,3;69,695652;,55;
2023-01-28;0;1000,5375;34,4;27,566667;22,2;68,708333;,7375;
2023-01-29;0;999,570833;34;27,641667;22,7;66,208333;,291667;
2023-01-30;0;998,920833;31,8;25,891667;22,1;78,958333;,041667;
2023-01-31;1,2;998,995833;33,1;26,841667;22,9;71,761905;,666667;
2023-02-01;0;1000,095833;30,1;24,954167;22,4;88,347826;,291667;
2023-02-02;28;1001,15;33,2;26,2125;21,8;78,590909;,345833;
2023-02-03;14,4;1001,8125;32,6;27,366667;22,5;71,375;,408333;
2023-02-04;0;1001,941667;33,9;27,1625;22,1;71,583333;,195833;
2023-02-05;0;1001,575;33,2;26,629167;22,8;76,875;,304167;
2023-02-06;,2;1000,679167;32,1;26,545833;22,6;79,5;,2125;
2023-02-07;1;1000,095455;31,2;25,468182;22,5;84,727273;,036364;
2023-02-08;,8;999,8;33,2;26,754167;21,8;74,041667;,016667;
2023-02-09;0;999,991667;35;26,8875;21,4;76,083333;,283333;
2023-02-10;,2;999,479167;33,4;26,8375;23;77,666667;,0875;
2023-02-11;,2;998,908333;34,3;27,2875;21,5;70;,375;
2023-02-12;,4;999,166667;34,8;27,166667;20,9;69,583333;,016667;
2023-02-13;0;998,929167;31,8;25,4;22;83,458333;,016667;
2023-02-14;3;998,95;33,6;26,404167;21,7;78,375;,304167;
2023-02-15;,4;998,9875;31,1;25,158333;22,7;84,625;,4125;
2023-02-16;13,2;998,266667;30,9;24,733333;22,6;85,333333;,133333;
