Nome: ARCO VERDE
Codigo Estacao: A309
Latitude: -8.4336111
Longitude: -37.05555555
Altitude: 683.95
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;936,65;30,9;24,25;19,4;69,291667;3,020833;
2023-01-02;,2;936,629167;30,4;24,016667;21,1;74;3,354167;
2023-01-03;0;936,570833;32,2;24,4625;18,3;68,958333;2,541667;
2023-01-04;0;936,866667;33,2;25,0625;19,3;63,25;3,2125;
2023-01-05;0;936,775;32,8;25,054167;19,2;62,583333;3,479167;
2023-01-06;0;937,195833;34,3;25,479167;17;61,583333;2,0625;
2023-01-07;0;937,970833;33,1;25,354167;19,7;61,333333;3,054167;
2023-01-08;0;937,7375;33,4;24,65;18,2;60,916667;3,2;
2023-01-09;0;937,708333;34,1;25,191667;17,2;61,5;2,679167;
2023-01-10;0;937,925;33,7;25,495833;19,2;61,208333;2,941667;
2023-01-11;0;937,920833;33;25,183333;19,2;63,875;2,866667;
2023-01-12;0;936,875;34;25,0375;19,5;66,541667;2,8125;
2023-01-13;0;935,908333;33,7;25,816667;19,6;62,375;3,433333;
2023-01-14;0;936,075;33,5;25,229167;20,5;66,041667;3,466667;
2023-01-15;0;936,454167;33,4;25,254167;20,6;62;3,891667;
2023-01-16;0;936,345833;30,1;23,604167;18,6;67,583333;2,479167;
2023-01-17;0;936,795833;33,1;24,058333;19,5;66,625;3,3875;
2023-01-18;0;937;31;23,075;20,1;74,125;3,708333;
2023-01-19;1,4;937,4375;31;22,7375;19,7;77,5;2,85;
2023-01-20;15,2;937,508333;30,2;24,1625;19,8;71,5;2,058333;
2023-01-21;0;936,425;33,8;25,429167;18,5;61,958333;2,304167;
2023-01-22;0;935,8375;33,8;26,254167;19,1;61,958333;2,0875;
2023-01-23;0;936,120833;33;25,95;19,4;64,125;2,3375;
2023-01-24;0;935,116667;32,9;25,508333;20,1;62,708333;2,358333;
2023-01-25;0;934,525;33,9;25,658333;19,1;59,416667;2,5875;
2023-01-26;0;934,475;33,6;25,354167;18,2;60,708333;2,8375;
2023-01-27;0;936,029167;33,8;25,354167;18,9;62,958333;3,133333;
2023-01-28;0;937,008333;32,7;25,229167;18,8;59,541667;3,75;
2023-01-29;0;936,095833;32,5;24,625;19,1;58,958333;4,045833;
2023-01-30;0;935,204167;33,9;25,058333;19,2;63,25;3,633333;
2023-01-31;0;935,733333;33,5;24,1625;20,2;71,791667;2,820833;
2023-02-01;1,2;936,641667;30;23,4625;20,1;77;2,941667;
2023-02-02;2,2;937,558333;32,5;24,1;18,4;71,875;2,695833;
2023-02-03;12,6;938,120833;31,9;25,245833;19,8;65,833333;2,920833;
2023-02-04;0;938,675;32,5;24,8375;18,5;65;3,075;
2023-02-05;0;937,858333;30,2;23,55;19,8;77,416667;2,933333;
2023-02-06;,2;936,970833;32,5;23,3;19,8;78,375;2,45;
2023-02-07;3,8;936,833333;30,5;23,4875;18,3;65,375;2,808333;
2023-02-08;0;936,479167;30,5;23,0875;15,6;65,75;2,770833;
2023-02-09;0;936,65;33,2;24,566667;17,1;65,833333;2,6125;
2023-02-10;0;936,220833;33,1;25,4;20,7;65,708333;4,108333;
2023-02-11;0;935,758333;32,7;25,2875;19,7;59,333333;4,258333;
2023-02-12;0;935,75;34,6;25,1;17,6;61,958333;3,1125;
2023-02-13;0;936,1125;33;25,704167;20,6;65,833333;3,016667;
2023-02-14;0;935,595833;33,7;25,75;19,9;60,75;3,879167;
2023-02-15;0;935,2125;32,2;25,75;21,7;64,25;3,108333;
2023-02-16;0;933,716667;34,2;26,241667;21,3;62,916667;3,3125;
2023-02-17;6,2;933,729167;34;25,741667;20,6;65,666667;3,233333;
2023-02-18;2;934,754167;33,9;25,183333;17,7;61,958333;2,979167;
2023-02-19;0;935,758333;33,9;25,3;18,3;64,458333;3,25;
2023-02-20;,6;936,4875;30,1;24,383333;20,7;69,291667;2,729167;
2023-02-21;0;936,258333;32,7;25,395833;21,1;62,958333;4,008333;
2023-02-22;0;937,454167;32,5;24,808333;21,2;67,791667;3,704167;
2023-02-23;,2;937,541667;33,1;25,220833;19,2;63,708333;3,025;
2023-02-24;0;937,304167;30,2;23,683333;19,6;74,041667;2,6375;
2023-02-25;23,8;936,904167;32,6;24,820833;20,4;72,458333;2,595833;
2023-02-26;0;937,879167;33;25,679167;21,2;66,791667;3,05;
2023-02-27;0;938,229167;33,2;25,816667;20,6;63,5;3,7375;
2023-02-28;0;938,7875;32,1;24,3;20,5;69,791667;4,141667;
2023-03-01;3,6;938,308333;32,5;25,170833;20,1;65,125;3,683333;
2023-03-02;0;936,908333;32,5;25,120833;19,5;63,791667;3,4875;
2023-03-03;0;936,75;32,7;25,379167;19,4;63,333333;3,4375;
2023-03-04;0;936,375;34;25,708333;18,6;63,25;2,883333;
2023-03-05;0;936,225;34,3;25,9625;20,3;63,666667;3,204167;
2023-03-06;0;936,058333;34,4;26,429167;20,4;59,75;3,716667;
2023-03-07;0;936,0375;33,6;25,858333;20,4;58,958333;4,541667;
2023-03-08;0;936,091667;33,9;25,408333;20,3;59,75;4,575;
2023-03-09;0;936,829167;32,2;25,325;21,6;62,333333;4,066667;
2023-03-10;0;936,904167;32,8;25,279167;20,1;62,625;3,320833;
2023-03-11;0;936,091667;32,3;25,8;19,6;63;2,795833;
2023-03-12;0;935,754167;34,6;26,133333;18,7;62,625;2,858333;
2023-03-13;0;935,716667;34,1;26,275;20,6;63,333333;2,758333;
2023-03-14;0;935,9625;33,3;26,058333;21,1;62,916667;2,8125;
2023-03-15;0;935,983333;28,5;22,970833;19,4;78,166667;1,741667;
2023-03-16;30,2;935,458333;30,5;24,091667;19,5;70,125;1,916667;
