Nome: AREIA
Codigo Estacao: A310
Latitude: -6.975451
Longitude: -35.718128
Altitude: 573.45
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,8;947,833333;29,5;22,975;19,5;84,458333;1,6;
2023-01-02;6,8;947,975;25,7;21,933333;20,3;92,541667;1,275;
2023-01-03;18,6;948,1875;26,5;22,3875;20,3;88,875;2,0125;
2023-01-04;1;948,4;29,6;23,304167;20,7;81,416667;3,1;
2023-01-05;0;948,475;30,2;23,495833;20,6;80,5;2,291667;
2023-01-06;0;948,958333;30,1;23,666667;20,3;78,25;2,375;
2023-01-07;0;949,654167;30,1;23,4875;20,3;78,333333;2,625;
2023-01-08;0;949,4;28,6;23,158333;20,5;81,625;2,645833;
2023-01-09;,2;949,383333;29,7;23,5625;20,7;82,458333;2,354167;
2023-01-10;,2;949,825;29,1;23,545833;20,9;79,541667;2,1625;
2023-01-11;0;949,441667;29,1;23,275;20,8;82,666667;2,7625;
2023-01-12;,2;948,3875;30,3;23,729167;20,8;78,958333;3,0125;
2023-01-13;0;947,5;30,2;24,058333;21,1;78,208333;2,995833;
2023-01-14;0;947,379167;30,7;23,983333;21;77,75;3,920833;
2023-01-15;12;948,083333;25,3;21,704167;19,4;89,25;1,933333;
2023-01-16;1,4;947,583333;27,8;22,108333;20,3;86,875;1,15;
2023-01-17;20;948,3375;26,2;21,704167;19,3;91,25;2,083333;
2023-01-18;3,4;948,070833;25,2;20,8;19,1;94,125;2,275;
2023-01-19;30;948,479167;27,3;21,991667;20,2;92,708333;2,279167;
2023-01-20;17,4;948,925;28,9;23,470833;20,4;80,041667;1,4375;
2023-01-21;0;948,066667;30,1;23,545833;20,5;82,041667;1,220833;
2023-01-22;0;947,475;29,6;23,933333;20,7;81,833333;,908333;
2023-01-23;0;947,45;30,3;24,570833;21,3;79,875;1,608333;
2023-01-24;1;946,504167;29,3;23,495833;21;85,291667;1,983333;
2023-01-25;,2;946,208333;29,4;23,279167;20,4;79,416667;1,15;
2023-01-26;0;946,345833;29,7;23,75;20;79,083333;,716667;
2023-01-27;0;947,4625;29,2;23,833333;20,9;80,541667;2,1375;
2023-01-28;0;948,1375;29,6;23,833333;21,2;74,708333;4,320833;
2023-01-29;0;947,3125;29,4;23,225;19,4;78;2,795833;
2023-01-30;,8;946,479167;29,2;22,875;20,8;85,291667;2,916667;
2023-01-31;0;946,895833;28,9;23,283333;20,6;79,916667;2,841667;
2023-02-01;0;947,675;30,1;23,945833;21;78,375;2,666667;
2023-02-02;0;948,758333;30,1;24,391667;21,3;78,125;2,379167;
2023-02-03;0;949,5625;30,2;24,120833;21;76,583333;2,9625;
2023-02-04;0;949,820833;30,2;24,329167;20,9;79,25;2,933333;
2023-02-05;2,2;948,804167;29,8;24,079167;21,2;83,333333;1,5;
2023-02-06;,8;948,166667;27,4;22,95;21;86,583333;1,829167;
2023-02-07;0;947,579167;29,6;23,433333;19,4;73,625;3,258333;
