Nome: TERESINA
Codigo Estacao: A312
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.23
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1002,129167;33;26,120833;21,8;78,583333;,566667;
2023-01-02;0;1002,1;33;27,2625;23,8;76,375;,85;
2023-01-03;16;1002,570833;31;25,716667;23;82,666667;1,208333;
2023-01-04;,2;1002,5625;32,1;26,883333;22,7;76,041667;1,025;
2023-01-05;0;1002,316667;34,4;27,654167;22,8;73,208333;,995833;
2023-01-06;0;1003,441667;32,1;26,358333;22,6;76,291667;,895833;
2023-01-07;0;1003,933333;31,2;26,2375;22,6;81,208333;,758333;
2023-01-08;,2;1003,833333;31,3;25,845833;21,8;81;,9;
2023-01-09;30,4;1004,116667;29,5;24,491667;21,6;87,25;,604167;
2023-01-10;5;1003,65;33,3;26,425;22,1;78;1,175;
2023-01-11;6,4;1004,033333;33,6;26,945833;22,7;77,375;,875;
2023-01-12;0;1002,683333;32;25,845833;22,5;84,875;,666667;
2023-01-13;5,4;1001,4625;33,6;27,266667;23,5;74,875;,970833;
2023-01-14;7,4;1001,95;32,2;26,525;23,1;77,958333;1,183333;
2023-01-15;0;1003,079167;26;24,083333;22,7;89,416667;,625;
2023-01-16;15;1003,379167;28,4;23,808333;21,7;86,666667;,945833;
2023-01-17;1;1002,420833;33,1;25,508333;21,5;77,208333;1,295833;
2023-01-18;8;1002,8;31;24,670833;21,6;84,541667;,970833;
2023-01-19;17,4;1004,966667;27,6;24,029167;21,5;85,208333;,820833;
2023-01-20;27,4;1004,558333;30,8;24,283333;21,4;83,958333;,733333;
2023-01-21;9,8;1002,995833;33;25,85;22;81,75;,7375;
2023-01-22;7,6;1002,283333;33,8;27,166667;22,8;77,708333;,9125;
2023-01-23;,2;1003,304167;30,7;25,9125;23,5;83,75;,491667;
2023-01-24;3,8;1001,845833;32,1;26,325;22,5;81,791667;,725;
2023-01-25;7,6;1001,475;30;24,3875;21,7;88,208333;1,145833;
2023-01-26;10,6;1001,4;32,1;25,341667;21,5;80,625;,875;
2023-01-27;11,4;1001,9875;32,9;26,0625;22,1;79,416667;,845833;
2023-01-28;4;1002,695833;33,3;26,304167;21,9;77,791667;,895833;
2023-01-29;0;1001,75;33,7;26,641667;23,5;79,375;,570833;
2023-01-30;12;1001,179167;30,9;25,358333;23,2;85,166667;1,045833;
2023-01-31;3;1001,4375;32,3;25,725;23;85,416667;,675;
2023-02-01;2,6;1002,433333;31;25,083333;22,7;86,583333;,933333;
2023-02-02;14,4;1003,7;33,1;26,095833;22,7;80,708333;,854167;
2023-02-03;45,8;1004,391667;32,2;25,408333;21,2;80,666667;1,0875;
2023-02-04;,2;1003,941667;34,3;27,108333;22,5;77,541667;,670833;
2023-02-05;0;1003,754167;34,1;26,620833;23,4;77,708333;1,070833;
2023-02-06;,8;1002,7875;33,3;25,841667;22,6;80,75;1,220833;
2023-02-07;21,4;1002,495833;32,7;25,6625;22,9;82;1,029167;
2023-02-08;5,8;1002,333333;32,9;25,6625;22,1;81,25;,633333;
2023-02-09;,4;1002,208333;32,9;26,908333;23,7;78,083333;,925;
2023-02-10;0;1001,691667;34,7;26,2625;22,9;82,125;,754167;
2023-02-11;17;1001,433333;32,1;25,929167;23;82,75;,820833;
2023-02-12;,2;1001,4375;32,2;26,291667;22,3;80,75;,645833;
2023-02-13;0;1000,7625;34,9;27,316667;22,9;77,833333;,958333;
2023-02-14;11,6;1000,8875;33,6;26,9;23;81,125;1,208333;
2023-02-15;0;1000,895833;32,4;26,725;23,6;79,75;1,1875;
2023-02-16;,4;1000,3625;31,4;25,945833;23,6;81,75;1,004167;
2023-02-17;53,2;1000,170833;32,1;25,425;21,5;81,708333;,820833;
2023-02-18;9,2;1001,7;26,5;23,804167;21,8;89,583333;,895833;
2023-02-19;6,6;1002,329167;32,5;25,5375;23,6;84,291667;1,045833;
2023-02-20;37,6;1002,1375;29,1;24,516667;21,6;85,625;1,3125;
2023-02-21;,2;1001,3625;33,6;26,75;21,5;77,083333;,775;
2023-02-22;0;1003,075;33,3;27,029167;24,4;80,666667;1;
2023-02-23;37,8;1004,8625;31,3;25,5375;22,7;83,791667;,7375;
2023-02-24;0;1003,616667;31,6;26,070833;23,1;81,916667;1,291667;
2023-02-25;0;1003,316667;31,8;26,295833;22,7;78,916667;,891667;
2023-02-26;,8;1003,783333;33,2;26,945833;22,5;76,25;1,05;
2023-02-27;0;1003,725;33,7;27,108333;22,7;78,583333;,841667;
2023-02-28;0;1003,908333;34;27,570833;22,8;76,541667;1,0625;
2023-03-01;0;1003,4375;33,5;27,633333;23,5;76,916667;,779167;
2023-03-02;0;1002,208333;33,1;27,0375;22,6;77,791667;,816667;
2023-03-03;19,8;1002,516667;32,4;26,5375;23,5;79,5;1,479167;
2023-03-04;8,8;1002,291667;33,2;26,895833;22,9;78,708333;,654167;
2023-03-05;0;1002,041667;32,3;25,708333;22,6;84,541667;,825;
2023-03-06;8,2;1001,495833;33,4;27,020833;22,8;78,083333;,966667;
2023-03-07;0;1001,1625;33,5;27,258333;23,1;74,875;1,133333;
2023-03-08;,2;1001,2;33,9;27,6;22,5;74,125;,958333;
2023-03-09;0;1002,141667;31,7;26,375;24,5;84,958333;,883333;
2023-03-10;3,8;1003,266667;32,3;26,091667;22,6;81,833333;,845833;
2023-03-11;0;1001,633333;34;27,2625;23,5;80,083333;,7625;
2023-03-12;75,8;1002,054167;32,7;25,5625;21,9;85,5;1,120833;
2023-03-13;14,2;1002,895833;29,2;25,166667;23,9;89,083333;1,183333;
2023-03-14;2,8;1003,3125;31,5;25,220833;22,3;83,708333;,991667;
2023-03-15;0;1003,2875;28,5;24,841667;22,8;84,541667;,645833;
2023-03-16;,2;1002,375;31;25,666667;23,5;83,5;,6625;
