Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.225574
Longitude: -35.904831
Altitude: 546.17
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;951,283333;31,4;24,3875;20,5;80,458333;3,366667;
2023-01-02;3,8;951,5;28,9;23,075;20,8;91,916667;3,366667;
2023-01-03;15,2;951,729167;25,7;22,795833;20,4;94,208333;3,204167;
2023-01-04;9,4;951,920833;29,9;24,341667;21,1;79,666667;4,091667;
2023-01-05;0;951,966667;30,5;24,504167;21,3;80,25;3,9;
2023-01-06;0;952,379167;30,8;24,629167;20,8;78,166667;4,016667;
2023-01-07;0;953,079167;31,5;24,6125;21;77,875;4,245833;
2023-01-08;0;952,920833;30,1;24,395833;21,1;78,541667;4,125;
2023-01-09;0;952,8;31,4;24,65;21,2;81;4,183333;
2023-01-10;0;953,270833;30,1;24,4125;21,3;78,875;3,9875;
2023-01-11;0;952,929167;30,7;24,5125;21,5;80,625;4,0625;
2023-01-12;0;951,866667;32,1;24,9625;21,5;77,583333;4,020833;
2023-01-13;0;950,9375;32,1;25,329167;21,7;77,25;4,183333;
2023-01-14;,4;950,9875;30,8;25,0625;21,7;77,416667;4,379167;
2023-01-15;1,8;951,579167;26,9;22,895833;20,2;88,208333;3,7875;
2023-01-16;0;951,104167;29,6;23,754167;20,8;82,25;3,25;
2023-01-17;0;951,908333;27,8;22,995833;21,2;88,083333;3,820833;
2023-01-18;2;951,691667;27,1;22,654167;20,3;90;3,179167;
2023-01-19;1,2;952,125;28;23;21,3;91,041667;3,225;
2023-01-20;3,2;952,454167;30,5;24,5875;21,2;79,333333;3,333333;
2023-01-21;0;951,508333;30,9;24,745833;21,1;80,333333;3,654167;
2023-01-22;0;950,9125;31,4;25,183333;21,6;79,166667;3,2125;
2023-01-23;0;950,8875;32,2;25,566667;22;80,166667;3,579167;
2023-01-24;,4;949,929167;31,3;24,8875;21,6;81,416667;3,991667;
2023-01-25;0;949,608333;31;24,783333;21,2;76,625;3,766667;
2023-01-26;0;949,745833;31,4;24,8625;20,8;78,583333;3,6875;
2023-01-27;0;950,929167;31,6;25,120833;21,6;77,416667;4,295833;
2023-01-28;0;951,670833;31,6;25,3125;21,9;70,458333;4,745833;
2023-01-29;0;950,845833;31,4;24,645833;20,7;73,875;3,875;
2023-01-30;0;949,995833;31,3;24,8875;21,5;77,958333;3,945833;
2023-01-31;0;950,454167;29,7;24,491667;21,4;77,458333;4,025;
2023-02-01;0;951,125;32,4;25,3625;21,6;75,625;4,295833;
2023-02-02;0;952,2125;32;25,65;21,9;76,041667;4,308333;
2023-02-03;0;953,083333;32;25,404167;21,5;73,958333;4,270833;
