Nome: PALMEIRA DOS INDIOS
Codigo Estacao: A327
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 278.01
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;981,75;31,5;24,408333;21,5;85,133333;,05;
2023-01-02;2,6;981,133333;31,8;25,641667;22,2;82,608696;,4875;
2023-01-03;0;981,091667;32,6;26,058333;22;78,25;,583333;
2023-01-04;,2;981,4375;32,9;26,5;21,1;75,913043;,270833;
2023-01-05;0;981,216667;33,7;27,075;21,6;74,291667;,3125;
2023-01-06;0;981,570833;34,4;27,295833;21,9;72,666667;,283333;
2023-01-07;0;982,570833;33,9;26,966667;22,3;73,666667;,5875;
2023-01-08;0;982,5625;33,6;26,166667;20;73,75;,308333;
2023-01-09;0;982,3;34,5;26,820833;20,3;74,041667;,320833;
2023-01-10;0;982,475;34,5;27,358333;22;69,375;,5125;
2023-01-11;0;982,670833;33,5;26,2875;21,1;79,291667;,604167;
2023-01-12;0;981,65;33,9;26,629167;21,2;76,041667;,333333;
2023-01-13;0;980,554167;34,6;27,004167;21,9;76,791667;,641667;
2023-01-14;0;981,054167;32,1;26,183333;22,1;79,095238;,329167;
2023-01-15;0;981,545833;33,2;26,4625;22,8;77,375;,166667;
2023-01-16;0;980,941667;31,6;25,420833;21,2;77,315789;,2;
2023-01-17;0;981,5125;32,5;25,666667;20,8;74,555556;,5;
2023-01-18;0;981,754167;32,3;25,825;22,1;80,913043;,720833;
2023-01-19;8,4;982,229167;30,5;24,675;22;87,352941;,279167;
2023-01-20;4,4;982,0375;32,7;26;22,1;78,647059;,179167;
2023-01-21;1,6;980,920833;34,2;26,825;21,5;74,625;,229167;
2023-01-22;0;980,170833;34,6;27,083333;21,3;75,208333;,145833;
2023-01-23;0;980,525;35,3;27,333333;21,9;76,043478;,1875;
2023-01-24;0;979,6375;34,1;26,791667;21,7;71,45;,2125;
2023-01-25;0;979,083333;34,4;27,0125;21;69,826087;,1875;
2023-01-26;0;978,8125;35;27,1125;21,4;71,166667;,6625;
2023-01-27;0;980,483333;34,8;27,525;22,6;75,458333;,429167;
2023-01-28;0;981,8875;34,4;27,1375;23,1;73,25;1,204167;
2023-01-29;0;981,095833;33,8;25,833333;20,1;70,473684;,204167;
2023-01-30;0;980,054167;33,8;26,325;21,3;76,809524;,316667;
2023-01-31;,6;980,854167;30,3;24,079167;22,5;88,785714;,025;
2023-02-01;25,2;981,616667;29,3;23,995833;20,3;86,8125;,079167;
2023-02-02;1,6;982,2375;33,3;26,316667;22;78,35;,3125;
2023-02-03;0;982,8;32,9;27,004167;23,2;79,083333;,316667;
2023-02-04;0;983,5;33,8;26,5625;21,8;77,142857;,3875;
2023-02-05;0;982,425;32,4;26,408333;21,4;80,85;,170833;
2023-02-06;,2;981,525;31,4;25,516667;22,1;82,888889;,4;
2023-02-07;0;981,583333;32,6;25,55;20,5;65,4375;,5125;
2023-02-08;0;981,283333;32,7;25,183333;18,8;70,764706;,045833;
2023-02-09;0;981,504167;34,1;25,854167;20,5;77,210526;,320833;
2023-02-10;0;981,058333;34,3;26,85;22,7;76,3;,2875;
2023-02-11;0;980,820833;33,7;26,283333;21,7;72,263158;,1;
2023-02-12;0;980,683333;33,5;26,020833;20,9;72,823529;,229167;
2023-02-13;0;980,991667;34,2;26,866667;22,3;73,25;,129167;
2023-02-14;0;980,45;33,4;26,429167;22,2;78,863636;,208333;
