Nome: SURUBIM
Codigo Estacao: A328
Latitude: -7.83972221
Longitude: -35.80111111
Altitude: 421.44
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,2;965,2125;31,3;24,725;21;75,625;3,241667;
2023-01-02;5;965,270833;30,2;24,270833;21,5;79,833333;3,070833;
2023-01-03;1,2;965,416667;30,7;24,995833;22,2;75,75;3,9375;
2023-01-04;0;965,8;32,3;25,345833;21,1;69,25;3,704167;
2023-01-05;0;965,75;32,9;25,341667;20,8;69,875;3,420833;
2023-01-06;0;966,195833;33,1;25,458333;21,1;69,25;3,145833;
2023-01-07;0;966,966667;32,8;25,570833;21,6;67,291667;3,6375;
2023-01-08;0;966,829167;32,2;25,070833;20,2;69,25;3,65;
2023-01-09;0;966,645833;33,4;25,570833;21,1;69,666667;3,2875;
2023-01-10;0;967,075;33,2;25,820833;21,8;66,916667;3,645833;
2023-01-11;0;966,816667;31,4;25,379167;21,4;71,291667;3,766667;
2023-01-12;0;965,7125;32,4;25,766667;21,1;67,916667;3,841667;
2023-01-13;0;964,7625;33,1;26,179167;22,3;68,083333;3,945833;
2023-01-14;0;964,741667;33,3;26,0625;22,1;68,375;4,108333;
2023-01-15;2,8;965,3;31,9;24,516667;21,1;75,416667;3,7375;
2023-01-16;,8;964,895833;30,8;24,604167;21,1;71,666667;3,079167;
2023-01-17;0;965,733333;31,2;23,933333;21;77,791667;3,141667;
2023-01-18;1;965,616667;29,4;23,420833;21,9;84,166667;3,133333;
2023-01-19;6,8;965,983333;27,4;23,2625;21,4;84,833333;2,766667;
2023-01-20;6,2;966,220833;31,7;25,233333;20,9;71,833333;2,775;
2023-01-21;0;965,370833;32,3;25,345833;20,8;71,416667;2,7125;
2023-01-22;0;964,6375;33;26,066667;21,5;69,875;3,195833;
2023-01-23;0;964,675;33,3;26,179167;22,4;71,416667;3,254167;
2023-01-24;0;963,708333;31,4;25,679167;22,2;70,083333;3,708333;
2023-01-25;0;963,3875;32,6;25,491667;20,7;66,125;3,083333;
2023-01-26;0;963,454167;33,2;25,625;20,5;67,875;3;
2023-01-27;0;964,778261;33,7;26,056522;22,2;68,652174;3,613043;
2023-01-28;0;965,736364;32,8;25,990909;22,6;64,5;4,545455;
2023-01-29;0;964,766667;32,6;25,229167;19,9;64,291667;3,816667;
2023-01-30;0;963,833333;33,5;25,745833;21,1;67,458333;4,1875;
2023-01-31;0;964,229167;31,3;25,4;21,2;68,916667;3,604167;
2023-02-01;0;964,933333;33,2;26,341667;22,5;65,708333;3,908333;
2023-02-02;0;966,041667;34,3;26,2875;22,2;67,333333;3,545833;
2023-02-03;0;966,954167;33,5;26,3875;22,1;63,708333;3,95;
2023-02-04;0;967,2125;34,1;26,391667;21,9;66,5;3,9875;
2023-02-05;3;966,175;32,8;25,779167;22,7;74,625;3,391667;
2023-02-06;,6;965,629167;29,9;24,7625;22,6;77,5;3,141667;
2023-02-07;0;965,2125;32,4;25,091667;20,6;65,5;3,970833;
2023-02-08;0;964,9375;31,3;24,170833;18,1;66,416667;3,45;
2023-02-09;0;965,283333;33,3;24,654167;20,9;75,083333;3,291667;
2023-02-10;0;964,9125;32,8;25,720833;22,6;71,208333;4,095833;
2023-02-11;0;964,458333;33,2;25,629167;20,9;67,875;4,075;
2023-02-12;0;964,421739;34,2;25,104348;19,6;71,521739;2,969565;
2023-02-13;0;964,529167;33,9;26,633333;22,9;68,333333;4,1875;
2023-02-14;0;964,245833;33,2;26,266667;21;66,958333;3,679167;
2023-02-15;0;963,725;33,7;26,1625;22,8;70,416667;3,954167;
2023-02-16;0;962,458333;34,6;26,516667;23,3;69,333333;4,1625;
2023-02-17;0;962,383333;34,2;26,491667;23,2;67,625;3,920833;
2023-02-18;0;963,670833;30,4;25,533333;22;68,125;3,216667;
2023-02-19;0;964,35;34,1;26,154167;21,8;69,333333;3,079167;
2023-02-20;0;964,795652;32,3;26,043478;23;67,565217;3,826087;
2023-02-21;0;964,754167;33,6;26,229167;21,9;65;4,320833;
2023-02-22;8,8;965,854167;26,8;23,295833;21,7;87,458333;2,816667;
2023-02-23;13,4;966,075;29,2;23,6125;22,1;85,125;2,291667;
2023-02-24;18,4;965,441667;31,7;25,229167;20,9;76,791667;2,670833;
2023-02-25;3,6;965,745833;28,8;24,666667;22,6;82,916667;2,3;
2023-02-26;4,2;966,583333;30,5;25,5875;22,5;76,75;3,4375;
2023-02-27;,2;967,170833;31,3;25,4375;22,2;75,708333;3,741667;
2023-02-28;,2;967,495833;30,8;25,329167;22,2;73,625;3,733333;
2023-03-01;0;966,921739;31,7;25,321739;21,6;73,565217;3,547826;
2023-03-02;null;965,24;31,3;null;21,9;73;3,385;
2023-03-03;0;965,5;31,3;25,5375;21,8;71,958333;3,416667;
2023-03-04;0;965,004167;32,4;25,954167;21,7;71,375;3,508333;
2023-03-05;0;965,075;32,4;25,9125;22,5;72,375;3,166667;
2023-03-06;0;965,166667;32,9;25,825;22,5;71,375;3,508333;
2023-03-07;0;965,108333;31,4;25,470833;21,9;71,875;3,579167;
2023-03-08;0;964,879167;32,1;25,266667;20,7;71;3,920833;
2023-03-09;0;965,454167;31,9;26,016667;22,8;67,666667;4,091667;
2023-03-10;0;965,5125;31,8;25,4375;21,1;69,208333;3,291667;
2023-03-11;0;964,675;33;25,8125;21,3;70,541667;3,329167;
2023-03-12;0;964,466667;32,8;26,095833;22,2;71;3,304167;
2023-03-13;0;964,316667;33,3;26,1;22;71,166667;3,533333;
2023-03-14;1,6;964,525;31,9;25,925;22;71,625;3,329167;
2023-03-15;0;963,975;32;25,266667;21,1;69,791667;2,1625;
2023-03-16;0;963,7625;29,2;24,895833;21,8;67,791667;2,391667;
2023-03-17;0;964,241667;31,9;25,245833;20,5;69,416667;2,05;
2023-03-18;0;965,020833;32,3;24,6;20,4;75,083333;1,983333;
2023-03-19;17,4;965,875;29,4;24,4125;21,7;78,291667;2,0625;
2023-03-20;0;965,4875;32;24,633333;22,1;77,458333;2,425;
2023-03-21;0;965,841667;28,7;23,929167;22,4;81,166667;1,858333;
2023-03-22;4;966,516667;28,8;23,754167;21,5;80,375;2,495833;
2023-03-23;1,4;965,4625;31,6;24,808333;21,2;72,916667;2,85;
2023-03-24;,6;964,491667;30,2;24,529167;20,7;76,583333;2,508333;
2023-03-25;0;965,0625;32,6;25,545833;22,2;75,708333;2,304167;
