Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.74
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;973,791667;31,3;26,7125;22,7;73,916667;,3;
2023-01-02;,6;973,820833;28,3;25,191667;22,1;86,125;,008333;
2023-01-03;,2;973,483333;32,7;26,816667;22,9;79,208333;0;
2023-01-04;0;973,85;32;27,279167;23,7;73,791667;,125;
2023-01-05;0;973,525;33,8;27,7125;22,2;68,541667;,091667;
2023-01-06;0;973,883333;35,1;28,266667;22,9;65,75;,008333;
2023-01-07;0;974,808333;33,8;28,154167;24,6;68,333333;,029167;
2023-01-08;0;974,691667;34,1;27,875;22,5;63,958333;,020833;
2023-01-09;0;974,45;35,2;28,0625;21,9;60,708333;,016667;
2023-01-10;0;974,508333;35,3;28,920833;25,1;61,208333;,0125;
2023-01-11;0;974,65;34,6;29,183333;24,6;61,375;0;
2023-01-12;0;973,520833;34,9;28,608333;23,8;65,541667;,075;
2023-01-13;,2;972,679167;34,2;28,579167;23,6;64,5;,016667;
2023-01-14;0;972,895833;34,5;29,095833;24,9;63,666667;,395833;
2023-01-15;0;973,875;32,6;27,279167;23,1;70,5;,85;
2023-01-16;0;973,770833;31,6;26,075;20,7;71,083333;,170833;
2023-01-17;0;973,416667;34,3;27,729167;23,8;67,458333;,175;
2023-01-18;0;973,6375;34,4;28,054167;23,4;65,125;1,204167;
2023-01-19;0;974,716667;31,8;26,595833;22,2;73,666667;,066667;
2023-01-20;0;974,895833;31,5;26,225;23,4;76,541667;,079167;
2023-01-21;2,4;973,225;35,4;27,633333;22;72,083333;,0125;
2023-01-22;,2;972,420833;35,3;27,945833;23,9;73,541667;,125;
2023-01-23;,8;973,441667;32,9;26,875;23,4;80;,216667;
2023-01-24;0;972,0125;35,3;28,320833;23,3;70,416667;,008333;
2023-01-25;0;971,141667;35,6;29,008333;22,2;61,333333;,029167;
2023-01-26;0;971,1125;36,2;28,758333;21,6;59,208333;,0375;
2023-01-27;,6;972,458333;34,6;28,441667;22,6;67,041667;,0125;
2023-01-28;5;973,9625;34,8;28,033333;22,1;66,583333;,645833;
2023-01-29;0;973,279167;33,9;27,7125;20,6;62,333333;,725;
2023-01-30;0;972,033333;34,6;28,758333;23,7;61,958333;,508333;
2023-01-31;0;972,620833;35,2;28,429167;24,3;66,791667;1,145833;
2023-02-01;0;973,795833;32,3;27,108333;23,1;70,958333;1,104167;
2023-02-02;0;974,066667;36,1;29,15;24;63,333333;,1125;
2023-02-03;2;974,879167;34,5;28,591667;24,2;69,541667;,370833;
2023-02-04;0;975,145833;36,1;29,695833;23,3;58,291667;,741667;
2023-02-05;0;974,3625;36,2;29,783333;23,4;60,458333;,579167;
2023-02-06;0;973,55;35,1;28,6875;24,2;66,583333;,091667;
2023-02-07;0;973,704167;32,6;27;23,1;66,458333;,304167;
2023-02-08;0;973,25;34;27,35;20;56,708333;,445833;
2023-02-09;0;973,295833;35,8;28,920833;22,4;58,458333;,4;
2023-02-10;0;972,825;36,2;29,791667;24,6;60,375;1,133333;
2023-02-11;0;972,5625;35,9;29,229167;24,3;59,375;1,483333;
2023-02-12;0;972,491667;36,3;29,145833;22,5;60,708333;,645833;
2023-02-13;0;972,6375;35,5;29,558333;23,8;60,291667;,754167;
2023-02-14;0;972,2375;36,1;29,583333;23,3;57,75;1,0875;
2023-02-15;0;971,7125;35,6;29,704167;24,8;60,541667;,295833;
2023-02-16;0;970,116667;37,4;30,116667;23,5;55,666667;,116667;
2023-02-17;0;970,179167;36,8;30,254167;25,4;59,333333;,029167;
2023-02-18;0;971,325;36,2;30,266667;25,5;53,375;,395833;
2023-02-19;0;972,416667;35,4;29,5875;25,1;57,541667;,3875;
2023-02-20;15,6;973,5125;32,2;26,829167;21,9;76,583333;,354167;
2023-02-21;0;973,216667;32,6;28,008333;24,5;68;1,970833;
2023-02-22;0;974,225;35,1;28,883333;23,4;65,5;1,283333;
2023-02-23;0;974,708333;35;29,070833;23,6;62,125;,6;
2023-02-24;0;974,095833;34,5;28,716667;24,3;65,25;,891667;
2023-02-25;0;973,675;35,7;28,308333;24;67,75;,3375;
2023-02-26;1;974,65;34,9;27,616667;22,5;75,666667;,133333;
2023-02-27;0;974,85;35,9;29,4;24;62,625;,329167;
2023-02-28;0;975,5125;35,1;29,583333;23,4;58,875;1,3375;
2023-03-01;0;975,058333;35;29,666667;24;59,5;2,225;
2023-03-02;0;973,6875;34,9;29,075;23,1;62,25;1,791667;
2023-03-03;0;973,404167;35,5;29,454167;23,8;63,333333;1,041667;
2023-03-04;0;973,1875;35,8;29,958333;24,3;59,458333;1;
2023-03-05;0;972,779167;36,2;29,975;24,1;60,041667;,583333;
2023-03-06;0;972,166667;37,4;30,983333;25,2;53,75;,4125;
2023-03-07;0;972,3625;36,5;30,1875;24,2;57,125;1,9375;
2023-03-08;0;972,8125;36,3;29,7875;23,3;54,708333;,9125;
2023-03-09;0;973,445833;35,5;29,679167;24,1;60,625;1,979167;
2023-03-10;0;973,904167;34,3;29,066667;23,9;59,333333;,808333;
2023-03-11;0;973,0125;34,3;28,8875;23,9;64,125;,75;
2023-03-12;0;972,5125;35,8;29,845833;23,9;60;,65;
2023-03-13;0;972,775;34,3;29,3875;24,5;62,791667;,945833;
2023-03-14;0;973,145833;34,7;28,958333;25,3;67,875;,6625;
2023-03-15;46,2;973,629167;29,3;24,779167;21,4;89,708333;,104167;
2023-03-16;60,8;972,816667;31,3;25,304167;20,6;81,619048;,120833;
2023-03-17;0;972,7875;33,2;27,3875;23,7;73,083333;,004167;
2023-03-18;0;974,075;29;25,679167;22,7;80,083333;,033333;
2023-03-19;19,2;974,170833;32,8;26,170833;21,5;82,583333;0;
2023-03-20;25;974,6;28,8;24,091667;20,2;93,166667;,2125;
2023-03-21;41,8;975,329167;29,5;23,891667;21;93,181818;,1125;
2023-03-22;28,6;975,983333;30,8;24,441667;21,9;89,388889;0;
2023-03-23;1,4;974,65;32,1;26,429167;22,7;81,458333;,825;
2023-03-24;0;973,875;31,7;26,2;21,5;78,875;,166667;
2023-03-25;1,2;973,620833;32,8;27,0625;23,2;81,375;,0125;
2023-03-26;0;974,004167;32,7;27,166667;24,4;81,375;,2375;
2023-03-27;17,2;974,075;32,1;26,483333;22,6;83,25;,016667;
2023-03-28;0;974,075;31,9;26,370833;21,8;76,083333;,058333;
2023-03-29;0;974,420833;32,3;27,108333;22,5;74,333333;,320833;
2023-03-30;2,8;975,225;30,6;25,525;20,9;86,333333;,570833;
2023-03-31;,2;974,875;31,5;25,825;21;75,458333;,270833;
2023-04-01;0;973,554167;32,2;25,891667;21,3;79,333333;0;
2023-04-02;0;973,083333;33,1;27,220833;22,7;73,625;0;
2023-04-03;0;972,729167;31,6;27,033333;24;76,375;,008333;
2023-04-04;0;972,420833;32,4;26,9625;23,2;76,416667;,0125;
2023-04-05;0;972,183333;31,6;26,2125;23,7;83,083333;,145833;
2023-04-06;,6;972,329167;31,9;26,795833;22,8;74,708333;,1875;
2023-04-07;0;972,658333;32,9;27,725;23,5;74,208333;,0625;
2023-04-08;0;973,1;33,6;28,070833;23,7;71,791667;,325;
2023-04-09;0;974,1875;31,4;26,670833;23,7;82,041667;,008333;
2023-04-10;0;974,441667;33,7;27,554167;23,1;74,833333;0;
2023-04-11;0;974,05;33;27,420833;22,5;71,958333;0;
2023-04-12;0;973,254167;33,1;27,091667;22,2;71,916667;,020833;
2023-04-13;0;972,391667;32,6;27,125;22,1;70,583333;,083333;
2023-04-14;9,6;972,966667;32,2;26,254167;22,4;81,619048;,025;
2023-04-15;0;973,470833;32,8;26,866667;21,9;76,125;,066667;
2023-04-16;0;972,379167;32,8;27,608333;23,5;77,5;0;
2023-04-17;0;970,725;32,5;27,308333;23,7;75,375;0;
2023-04-18;0;970,291667;33,8;27,0625;23,4;80,416667;,004167;
2023-04-19;3,2;972,833333;34,8;27,9;23,2;78,25;0;
2023-04-20;0;973,425;35;28,025;22,9;76,125;,004167;
2023-04-21;5,8;972,791667;33,4;26,541667;22,1;75,65;,004167;
2023-04-22;0;972,175;33,8;27,816667;23,2;71,583333;,958333;
2023-04-23;0;972,925;32,1;26,308333;20,5;72,125;,629167;
2023-04-24;0;974,345833;32,6;26,945833;22,1;69,041667;,395833;
2023-04-25;0;975,454167;30,6;26,425;22,8;76,708333;,1625;
2023-04-26;0;974,658333;32,6;26,570833;22,9;77,625;,158333;
