Nome: APODI
Codigo Estacao: A340
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.41
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;996,433333;36,1;28,766667;23,7;58,583333;3,395833;
2023-01-02;0;996,604167;36,3;28,645833;23,7;63,75;3,5375;
2023-01-03;0;996,720833;36,9;27,8;23,4;66,083333;3,229167;
2023-01-04;0;996,85;36,8;28,891667;22,6;58,25;3,6625;
2023-01-05;0;997,020833;36,7;28,545833;21,9;56,291667;3,579167;
2023-01-06;0;997,6875;37,4;28,5125;21,6;58,25;3,2;
2023-01-07;0;998,241667;36,9;28,583333;22,1;56,791667;3,6875;
2023-01-08;0;998,254167;36,6;28,2625;22,6;61,291667;3,020833;
2023-01-09;0;998,008333;37,1;29,379167;24,5;56,25;3,820833;
2023-01-10;0;998,370833;36,8;28,775;24,2;59,083333;4,008333;
2023-01-11;0;998,191667;36,7;28,054167;23,2;59,916667;3,029167;
2023-01-12;0;996,970833;37,4;29,095833;23,4;58,541667;2,945833;
2023-01-13;0;995,983333;37,4;29,008333;23,3;58,083333;3,5375;
2023-01-14;0;995,783333;37,8;29,483333;23,5;55,458333;3,508333;
2023-01-15;0;996,583333;34,5;28,5625;23,8;56,125;2,945833;
2023-01-16;0;996,470833;34,4;27,783333;24;59,875;2,879167;
2023-01-17;0;996,766667;36,6;28,233333;24;61,833333;3,483333;
2023-01-18;0;996,583333;36,7;27,895833;21,6;60;3,320833;
2023-01-19;0;997,45;34,7;26,8375;24,5;69,333333;2,195833;
2023-01-20;4,6;998,025;35,9;28,058333;23,2;66,458333;2,320833;
2023-01-21;0;996,941667;37,2;29,120833;23,4;58,958333;3,4;
2023-01-22;0;996,433333;37;29,145833;24,1;60,583333;3,195833;
2023-01-23;0;996,570833;37,5;29,445833;24,5;59,708333;2,895833;
2023-01-24;1;995,475;36,2;27,908333;23,5;69,958333;2,345833;
2023-01-25;3,6;995,329167;35;27,258333;23,7;70,708333;2,804167;
2023-01-26;0;995,454167;35,6;28,191667;23,9;60,708333;3,220833;
2023-01-27;0;996,304167;37,2;28,304167;21,8;61,708333;2,995833;
