Nome: IBIMIRIM
Codigo Estacao: A349
Latitude: -8.50944444
Longitude: -37.71166666
Altitude: 434.23
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;963,266667;33,3;25,6625;19,8;64,041667;2,516667;
2023-01-02;0;963,291667;31,2;24,554167;22,4;76,833333;1,654167;
2023-01-03;8,2;963,270833;32,5;24,7125;20,3;75,541667;1,4125;
2023-01-04;9,2;963,320833;33,4;26,383333;21,5;65;1,808333;
2023-01-05;0;963,283333;34,6;26,916667;20,8;55,583333;1,6625;
2023-01-06;0;963,745833;34;27,45;22,3;56,458333;2,191667;
2023-01-07;0;964,466667;34,2;27,3625;22;55,291667;2,241667;
2023-01-08;0;964,345833;34,2;27,1625;20,3;50,958333;2,25;
2023-01-09;0;964,275;34,8;27,6;20,1;53,25;2,05;
2023-01-10;0;964,3625;35,1;28,429167;21,4;51;2,4;
2023-01-11;0;964,45;35,5;27,65;21,2;54,291667;2,341667;
2023-01-12;0;963,354167;35,8;27,320833;21,6;58,416667;2,1;
2023-01-13;0;962,4625;34,9;26,379167;20,6;63,833333;2,3625;
2023-01-14;1;962,666667;35,3;27,25;21,2;59,25;2,741667;
2023-01-15;0;963,195833;34,9;26,833333;21,3;58,125;3,170833;
2023-01-16;0;963,295833;29,3;24,225;19,1;67,041667;2,0625;
2023-01-17;,2;963,316667;34,4;26,0875;20,1;61,833333;2,15;
2023-01-18;,2;963,6625;34,1;25,3875;20,4;64;2,716667;
2023-01-19;0;964,183333;33,2;24,1875;19,2;73,041667;2,104167;
2023-01-20;5;964,2875;33;25,570833;20,7;67,916667;1,766667;
2023-01-21;0;962,9125;35,3;27,791667;21,8;54,583333;1,995833;
2023-01-22;0;962,316667;35,4;28,116667;23;54,916667;2,441667;
2023-01-23;0;962,629167;35,4;28,133333;22,8;57,416667;2,345833;
2023-01-24;0;961,5875;35,3;27,829167;21,7;55,958333;2,458333;
2023-01-25;0;960,9875;35,2;27,595833;19,9;51,833333;2,258333;
2023-01-26;0;960,958333;35,5;27,920833;21,7;50,541667;2,0125;
2023-01-27;,4;962,3875;36,1;27,933333;22,9;54,125;2,170833;
2023-01-28;0;963,625;36;27,479167;19,1;50,791667;3,258333;
2023-01-29;0;962,8125;35,1;26,7875;18,1;49,666667;2,779167;
2023-01-30;0;961,8125;35,4;27,1875;19,3;54,25;2,466667;
2023-01-31;0;962,466667;34,7;26,004167;21;63,583333;3,2375;
2023-02-01;,2;963,4;31,9;25,395833;21;67,625;3,020833;
2023-02-02;0;964,008333;35,4;26,933333;20,3;60,083333;2,066667;
2023-02-03;2,4;964,620833;35,6;27,45;21,9;59,916667;2,070833;
2023-02-04;0;965,1125;35,4;28,0625;21,3;50,916667;2,916667;
2023-02-05;0;964,5625;32,2;25,166667;20,1;70,833333;2,125;
2023-02-06;1,2;963,6;35,1;25,420833;22,1;72,208333;2,204167;
2023-02-07;,4;963,375;34,4;25,816667;19,2;58,416667;2,470833;
