Nome: SERRA TALHADA
Codigo Estacao: A350
Latitude: -7.95416666
Longitude: -38.29499999
Altitude: 499.02
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;null;null;null;null;null;
2023-01-02;null;null;null;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;null;null;null;null;null;
2023-01-06;null;null;null;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;null;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;null;null;null;null;null;
2023-01-16;null;null;null;null;null;null;null;
2023-01-17;null;null;null;null;null;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;955,825;34,6;27,8625;null;48,625;2,529167;
2023-03-03;0;955,791667;35,1;27,633333;20,6;47,375;1,875;
2023-03-04;0;955,408333;35,1;28,7;22,2;44,291667;2,091667;
2023-03-05;0;955,291667;35,7;28,629167;23,4;49,125;1,675;
2023-03-06;0;954,9375;36,3;28,6;23,1;48,208333;1,858333;
2023-03-07;0;954,754167;36,3;28,804167;21,5;42,333333;2,2625;
2023-03-08;0;954,966667;36;28,579167;21,2;40,75;2,408333;
2023-03-09;0;955,6625;34,4;28,270833;22,7;43,916667;2,479167;
2023-03-10;0;955,983333;34,2;28,0375;21,7;43,791667;2,525;
2023-03-11;0;955,091667;34,4;28,633333;22,9;45,541667;2,4875;
2023-03-12;0;954,7;36,2;29,316667;23;44,666667;2,008333;
2023-03-13;,4;954,970833;33,8;27,891667;22,6;54,375;1,804167;
2023-03-14;10;955,404167;32,2;26,291667;22,1;67,541667;1,845833;
2023-03-15;3;955,595833;30,5;23,7875;21,8;78,916667;1,958333;
2023-03-16;68,4;955,116667;28,4;23,516667;20,7;76,916667;1,208333;
2023-03-17;0;955,2;31,9;25,254167;20,4;68,125;1,3375;
2023-03-18;0;956,345833;27,7;24,045833;21,7;75,208333;1,658333;
2023-03-19;62,4;956,6875;31,1;24,208333;20;74,875;1,520833;
2023-03-20;,2;956,45;30,8;24,608333;21,2;72,625;1,595833;
2023-03-21;31,8;957,333333;28,3;23,0375;20,5;80,791667;1,695833;
2023-03-22;22,2;957,933333;30,9;23,179167;20,5;81,333333;1,3875;
2023-03-23;1;956,620833;32;25,3125;20,1;66,791667;2,008333;
2023-03-24;0;955,95;30,7;24,779167;20,9;67,333333;1,816667;
2023-03-25;1,2;956,0125;32,3;25,5625;22;70,833333;1,308333;
2023-03-26;0;956,3625;32;25,2625;23;72,958333;1,470833;
2023-03-27;13;956,35;30,7;24,670833;21,3;70,458333;1,45;
2023-03-28;0;956,1875;31,8;24,975;20,9;64,291667;1,4;
2023-03-29;0;956,6375;32;25,504167;21,6;65,791667;1,729167;
2023-03-30;44,8;957,370833;27,4;23,275;21,7;84,25;1,533333;
2023-03-31;,4;956,941667;30,7;23,6;19,4;70,416667;1,358333;
2023-04-01;0;955,820833;31;23,854167;18,3;68,541667;1,283333;
2023-04-02;0;955,475;32,2;25,2875;20,6;69,833333;1,15;
2023-04-03;0;954,904167;31,8;25,85;22;65,291667;1,770833;
2023-04-04;0;954,508333;32;25,7;21,7;64,541667;1,795833;
2023-04-05;3,4;954,595833;29,4;24,266667;22,2;78,583333;1,383333;
2023-04-06;2,2;954,558333;31;24,695833;20,8;70,708333;1,408333;
2023-04-07;,4;955,025;31,5;25,725;22;69,041667;1,5875;
2023-04-08;0;955,470833;32,1;25,783333;22,2;72,375;1,520833;
2023-04-09;11,2;956,754167;25,8;23,05;21,8;86,458333;1,091667;
2023-04-10;1,6;956,966667;31,4;24,670833;20,6;73,583333;1,066667;
2023-04-11;0;956,491667;31;25,091667;21;69,208333;1,3375;
2023-04-12;0;955,533333;32,6;25,225;19,9;62,041667;1,445833;
2023-04-13;0;954,654167;31,5;25,4625;19,7;61,125;1,891667;
2023-04-14;,2;955,241667;31,6;25,316667;21;68,416667;1,329167;
2023-04-15;0;955,725;33;25,804167;21,1;65,958333;1,595833;
2023-04-16;22,4;954,95;31,9;25,379167;21,8;75,25;1,1;
2023-04-17;2,8;953,275;29,5;24,916667;21,1;76,583333;1,2875;
2023-04-18;0;952,995833;31,2;25,633333;22,1;72,583333;1,6;
2023-04-19;0;955,429167;31,1;25,7875;22,2;72,375;2,291667;
