Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;974,945833;33,1;26,995833;21,8;59,666667;2,866667;
2023-01-02;8,4;974,9625;31,2;25,4125;22,2;73,791667;1,8125;
2023-01-03;0;974,870833;32,3;25,704167;23;70,666667;1,8875;
2023-01-04;23,4;975,016667;32,3;26,429167;21,8;70,083333;1,858333;
2023-01-05;0;974,8;33,6;27,420833;21,7;58,666667;1,954167;
2023-01-06;0;975,195833;34,9;28,4375;23,3;54,208333;1,870833;
2023-01-07;0;976,079167;34,2;28,329167;24,1;56,333333;2,2375;
2023-01-08;0;976;34,3;27,691667;21,9;52,083333;2,379167;
2023-01-09;0;975,720833;35,1;28,083333;22,2;50,583333;1,9875;
2023-01-10;0;975,775;35,1;28,870833;24,1;51,958333;2,441667;
2023-01-11;,2;975,9125;35,5;29,129167;23,9;50;2,2375;
2023-01-12;0;974,875;35,3;28,420833;23,5;54,708333;2,116667;
2023-01-13;0;974;35,1;28,729167;23,6;52,916667;2,441667;
2023-01-14;0;974,2;34,5;28,6875;24,2;53,666667;3,2875;
2023-01-15;0;975,095833;32,5;27,441667;23,6;57,583333;3,195833;
2023-01-16;0;974,991667;31,1;26,204167;21,7;59,291667;2,216667;
2023-01-17;0;974,845833;33,5;27,504167;23,2;56;2,45;
2023-01-18;0;975,016667;34,2;27,0625;22,8;60,166667;2,616667;
2023-01-19;8,2;975,891667;31,4;25,4875;22;72,833333;1,545833;
2023-01-20;1;975,820833;33,8;26,620833;22,8;65,708333;1,679167;
2023-01-21;,6;974,425;35,5;28,466667;22,1;55,5;1,6125;
2023-01-22;1,4;973,533333;36,6;29,433333;23,2;52;1,716667;
2023-01-23;4,4;974,208333;35,8;28,804167;23,3;56,125;1,766667;
2023-01-24;0;973,125;34,9;28,8125;23,5;53,25;2,170833;
2023-01-25;0;972,470833;35,6;28,908333;22,6;48,291667;2,5;
2023-01-26;0;972,283333;36;29,070833;22,3;42,75;2,233333;
2023-01-27;0;973,641667;35,9;29,704167;23,9;46,916667;2,533333;
2023-01-28;0;975,116667;36;29,004167;22,6;46,208333;3,0625;
2023-01-29;0;974,4625;34,9;28,108333;21,1;48,833333;2,829167;
2023-01-30;0;973,35;35,1;28,729167;22,8;48,958333;3,270833;
2023-01-31;0;973,945833;35;27,925;22,8;55,875;3,345833;
2023-02-01;,2;975,054167;31,6;26,779167;22,8;60,666667;3,275;
2023-02-02;0;975,45;35,6;28,970833;23,6;52,291667;2,554167;
2023-02-03;0;976,125;35,2;28,995833;24,4;53,5;2,15;
2023-02-04;0;976,454167;36,7;29,829167;23,2;44,208333;3,204167;
2023-02-05;0;975,816667;36,3;28,491667;22,8;54,083333;2,629167;
2023-02-06;0;974,983333;35,2;27,416667;24,5;62,416667;2,283333;
2023-02-07;,4;974,916667;34;26,841667;22,2;57,5;2,8125;
2023-02-08;0;974,541667;35,1;27,3875;20,1;43,166667;2,620833;
2023-02-09;0;974,666667;36,1;28,783333;22;49,458333;2,766667;
2023-02-10;0;974,083333;36,2;29,608333;23,3;50,416667;3,35;
2023-02-11;0;973,816667;35,3;28,979167;23,3;47,666667;3,558333;
2023-02-12;0;973,7875;37,3;28,991667;22,1;48,833333;2,8875;
2023-02-13;0;973,904167;35,8;29,491667;23,1;49;3,845833;
2023-02-14;0;973,470833;35,6;29,258333;22,1;46,625;3,1625;
2023-02-15;0;973,045833;36,2;29,2875;23,4;49,041667;2,375;
2023-02-16;0;971,3375;37,6;30,441667;23,6;43,666667;2,104167;
2023-02-17;0;971,429167;36,2;30,4125;24,6;45,541667;2,879167;
2023-02-18;0;972,591667;36,6;29,8125;23,7;43,208333;3,05;
2023-02-19;0;973,645833;36,7;29,854167;25,5;44,541667;2,9875;
2023-02-20;,2;974,675;33,5;27,795833;24,4;56,583333;2,6625;
2023-02-21;0;974,3875;34,1;28,229167;24,5;53,791667;4,1125;
2023-02-22;,2;975,608333;34,3;28,520833;23,2;55,291667;3,183333;
2023-02-23;0;975,941667;34,1;28,625;23;51,25;2,745833;
2023-02-24;0;975,4375;36,4;28,3;24,2;56,208333;3,175;
2023-02-25;,4;974,941667;36,6;28,020833;24,3;59,666667;2,5875;
2023-02-26;12,2;975,791667;35,6;28,091667;22,4;64,958333;2,0375;
2023-02-27;1,6;976,154167;36,8;29,366667;23,5;53,208333;2,654167;
2023-02-28;0;976,820833;35,5;29,091667;22,9;49,166667;3,120833;
2023-03-01;0;976,408333;35,5;29,316667;22,8;49,666667;3,570833;
2023-03-02;0;974,966667;34,9;28,658333;22,6;52,75;3,741667;
2023-03-03;0;974,679167;36,1;29,145833;22,6;51,041667;3,191667;
2023-03-04;,4;974,466667;35,7;29,545833;23,6;48,208333;3,445833;
2023-03-05;0;974,0625;36,9;30,129167;23,7;48,291667;2,9375;
2023-03-06;0;973,620833;37,5;30,579167;25,9;44,166667;3,008333;
2023-03-07;0;973,645833;37,4;30,191667;23,5;42,083333;3,529167;
2023-03-08;0;974,05;37;29,404167;22;44,791667;3,3125;
2023-03-09;0;974,783333;36,4;29,175;23,3;49,291667;3,5125;
2023-03-10;0;975,170833;34,9;28,9;22,8;46,583333;3,354167;
2023-03-11;0;974,283333;34,5;28,854167;23,2;50,791667;2,920833;
2023-03-12;0;973,7375;36;29,625;23,6;47,916667;3,4375;
2023-03-13;0;973,970833;35;29,329167;24,2;51,833333;3,245833;
2023-03-14;0;974,325;34;28,691667;24,9;56;3,245833;
2023-03-15;3,4;974,404167;31,4;25,908333;23,5;73,166667;2,329167;
2023-03-16;17;973,791667;33,2;26,925;21,9;63,333333;2,083333;
2023-03-17;0;973,908333;34,6;28,441667;22,7;49,541667;2,120833;
2023-03-18;0;975,066667;31,2;26,391667;22,6;63,541667;1,658333;
2023-03-19;11;975,220833;33,6;27,058333;22,2;64,583333;1,545833;
2023-03-20;9,2;975,5;30,3;25,320833;21,5;77,416667;1,8;
2023-03-21;4,6;976,175;31,3;25,254167;22,3;75,708333;1,858333;
2023-03-22;0;977,045833;32;24,683333;21,9;79,5;1,525;
2023-03-23;3,8;975,766667;32,6;26,675;21,7;65,916667;2,933333;
2023-03-24;0;974,954167;31,8;26,120833;21,2;67,375;1,658333;
2023-03-25;3,2;974,65;34,8;28,133333;23,8;63,375;2,233333;
2023-03-26;0;975,1125;34,6;27,9625;24,6;65,166667;2,679167;
2023-03-27;6;975,170833;32,2;27,041667;23,4;64,708333;1,6625;
2023-03-28;0;975,091667;33,7;27,2875;21,2;56,5;2,3375;
2023-03-29;0;975,5375;34;27,545833;22,3;59,541667;3,070833;
2023-03-30;6,8;976,4125;31;25,825;21,9;71,125;2,783333;
2023-03-31;0;975,8125;32,7;26,420833;21,2;59,75;2,583333;
2023-04-01;0;974,5875;33,9;27,175;21,5;55,458333;1,645833;
2023-04-02;0;974,2125;34;27,6375;22,4;58,166667;1,541667;
2023-04-03;0;973,8875;32,2;27,620833;24,1;56,5;2,258333;
2023-04-04;0;973,425;33,6;27,541667;22,8;60,833333;2,591667;
2023-04-05;0;973,35;32;26,804167;23,9;65,458333;2,4875;
