Nome: CAMARATUBA
Codigo Estacao: A352
Latitude: -6.56194444
Longitude: -35.13527777
Altitude: 135.51
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;997,020833;29,3;24,583333;21,9;null;,508333;
2023-01-02;0;996,9375;29,3;25,541667;22,9;null;1,070833;
2023-01-03;0;997,2625;30,2;25,579167;22,9;null;1,075;
2023-01-04;0;997,483333;31;25,883333;21,9;null;1,179167;
2023-01-05;0;997,604167;31,4;25,729167;21,9;null;1,191667;
2023-01-06;0;998,220833;30,9;25,75;21,3;null;,995833;
2023-01-07;0;998,883333;31,6;26,0125;21,6;null;1,129167;
2023-01-08;0;998,620833;30,7;25,575;22,2;null;1,266667;
2023-01-09;0;998,654167;31,2;25,641667;21,8;null;1,429167;
2023-01-10;0;999,0375;31,3;26,433333;23,6;null;,9375;
2023-01-11;2,4;998,6125;31,1;25,833333;22,7;null;1,258333;
2023-01-12;,4;997,5;31,2;26,104167;22,4;null;1,458333;
2023-01-13;0;996,608333;32,1;26,308333;22,3;null;,958333;
2023-01-14;0;996,508333;31,6;25,854167;22,1;null;1,283333;
2023-01-15;0;997,0375;29,6;25,004167;21,9;null;,3375;
2023-01-16;0;996,65;31,4;25,495833;22;null;,920833;
2023-01-17;0;997,395833;30,9;24,9125;22,2;null;1,404167;
2023-01-18;0;997,091667;25,9;23,4;22;null;,2375;
2023-01-19;0;997,479167;30,2;25,454167;22,4;null;,95;
2023-01-20;0;998;31,8;25,825;22,2;null;,729167;
2023-01-21;0;997,158333;31,8;26,033333;22;null;,6125;
2023-01-22;0;996,466667;31,7;26,2125;22,3;null;,8;
2023-01-23;0;996,391667;31,6;26,691667;23,5;null;1,2;
2023-01-24;0;995,629167;29,1;25,420833;22,8;null;,683333;
2023-01-25;0;995,308333;30,5;25,779167;21,7;null;,625;
2023-01-26;0;995,3625;31,2;25,708333;22;null;,458333;
2023-01-27;0;996,4875;31,6;26,458333;22,7;null;,908333;
2023-01-28;0;997,204167;32,2;26,383333;22,9;null;2,029167;
2023-01-29;0;996,404167;31,9;25,833333;21,5;null;1,625;
2023-01-30;0;995,358333;31,8;26,3875;22,5;null;1,641667;
2023-01-31;0;995,841667;31,4;26,133333;21,6;null;1,075;
2023-02-01;0;996,770833;31,9;26,279167;21,7;null;,741667;
2023-02-02;0;997,879167;31,9;26,45;22,4;null;1,541667;
2023-02-03;2,8;998,704167;31,1;26,1625;22,1;null;1,533333;
2023-02-04;0;998,879167;32,2;26,554167;22,5;null;1,354167;
2023-02-05;0;997,804167;32,4;26,708333;23;null;,775;
2023-02-06;0;997,1875;30,2;25,0625;22,7;null;,675;
2023-02-07;,2;996,775;30,3;25,083333;21,1;null;1,941667;
2023-02-08;0;996,4125;31,7;25,604167;21,3;null;1,683333;
2023-02-09;0;996,641667;31,6;26,170833;22,4;null;1,491667;
2023-02-10;4,4;996,404167;30,5;25,870833;23,4;null;1,654167;
2023-02-11;0;996,0875;30,6;25,8;21,4;null;1,904167;
2023-02-12;0;995,945833;32,1;26,425;22,4;null;1,5125;
2023-02-13;0;996,020833;32,4;27,095833;23,9;null;2,158333;
2023-02-14;,6;995,741667;31,9;26,916667;23,8;null;1,525;
2023-02-15;0;995,175;32,1;26,958333;23,7;null;1,575;
2023-02-16;0;994,091667;31,3;27,116667;25;null;1,483333;
2023-02-17;0;994,129167;29,7;26,520833;23,3;null;1,2875;
2023-02-18;0;995,375;31,7;26,591667;22,5;null;1,566667;
2023-02-19;2,2;995,983333;32,5;26,854167;22,7;null;1,45;
2023-02-20;3,8;996,254167;29,1;25,908333;23,5;null;,770833;
2023-02-21;1,4;996,108333;31,8;26,545833;23,1;null;2,0375;
2023-02-22;23;997,0875;29,6;25,720833;23,6;null;1,383333;
2023-02-23;10;997,35;30;25,7125;23,7;null;,654167;
2023-02-24;3,2;997,191667;30,3;26,066667;23,7;null;,841667;
2023-02-25;0;997,3625;30,4;26,083333;22,8;null;1,041667;
2023-02-26;0;998,225;31,8;26,991667;23,9;null;1,3625;
2023-02-27;,2;998,708333;31,1;26,254167;23;null;1,866667;
2023-02-28;3;999,0125;31,4;26,541667;23,2;null;1,866667;
2023-03-01;0;998,208333;31,8;26,591667;23,4;null;2,220833;
2023-03-02;3;996,845833;29,1;25,216667;23,4;null;,745833;
2023-03-03;8,4;997,008333;30,5;26,1875;23,5;null;1,091667;
2023-03-04;0;996,495833;31;26,183333;23,6;null;1,4375;
2023-03-05;0;996,825;31,4;26,391667;22,5;null;1,145833;
2023-03-06;0;996,8;30,6;26,4375;23,7;null;1,733333;
