Nome: ARAPIRACA
Codigo Estacao: A353
Latitude: -9.80444444
Longitude: -36.61916666
Altitude: 236.84
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;982,854167;null;null;null;null;null;
2023-01-02;null;988,091667;null;null;null;null;null;
2023-01-03;null;985,325;null;null;null;null;null;
2023-01-04;null;985,675;null;null;null;null;null;
2023-01-05;null;985,3375;null;null;null;null;null;
2023-01-06;null;984,866667;null;null;null;null;null;
2023-01-07;null;985,616667;null;null;null;null;null;
2023-01-08;null;985,795833;null;null;null;null;null;
2023-01-09;null;986,079167;null;null;null;null;null;
2023-01-10;null;985,908333;null;null;null;null;null;
2023-01-11;null;986,004167;null;null;null;null;null;
2023-01-12;null;986,108333;null;null;null;null;null;
2023-01-13;null;984,4125;null;null;null;null;null;
2023-01-14;null;982,845833;null;null;null;null;null;
2023-01-15;null;986,525;null;null;null;null;null;
2023-01-16;null;983,466667;null;null;null;null;null;
2023-01-17;null;986,1875;null;null;null;null;null;
2023-01-18;null;985,2125;null;null;null;null;null;
2023-01-19;null;985,466667;null;null;null;null;null;
2023-01-20;null;987,520833;null;null;null;null;null;
2023-01-21;null;985,283333;null;null;null;null;null;
2023-01-22;null;983,920833;null;null;null;null;null;
2023-01-23;null;983,945833;null;null;null;null;null;
2023-01-24;null;982,483333;null;null;null;null;null;
2023-01-25;null;983,045833;null;null;null;null;null;
2023-01-26;null;982,133333;null;null;null;null;null;
2023-01-27;null;984,404167;null;null;null;null;null;
2023-01-28;null;984,170833;null;null;null;null;null;
2023-01-29;null;984,416667;null;null;null;null;null;
2023-01-30;null;983,620833;null;null;null;null;null;
2023-01-31;null;980,704167;null;null;null;null;null;
2023-02-01;null;988,629167;null;null;null;null;null;
2023-02-02;null;986,708333;null;null;null;null;null;
2023-02-03;null;986,483333;null;null;null;null;null;
2023-02-04;null;986,916667;null;null;null;null;null;
2023-02-05;null;985,6625;null;null;null;null;null;
2023-02-06;null;982,883333;null;null;null;null;null;
2023-02-07;null;986,804167;null;null;null;null;null;
2023-02-08;null;985,241667;null;null;null;null;null;
2023-02-09;null;985,441667;null;null;null;null;null;
2023-02-10;null;984,883333;null;null;null;null;null;
2023-02-11;null;983,3875;null;null;null;null;null;
2023-02-12;null;984,675;null;null;null;null;null;
2023-02-13;null;984,275;null;null;null;null;null;
2023-02-14;null;983,729167;null;null;null;null;null;
2023-02-15;null;983,975;null;null;null;null;null;
2023-02-16;null;982,166667;null;null;null;null;null;
2023-02-17;null;981,125;null;null;null;null;null;
2023-02-18;null;982,108333;null;null;null;null;null;
2023-02-19;null;984,033333;null;null;null;null;null;
2023-02-20;null;983,395833;null;null;null;null;null;
2023-02-21;null;985,058333;null;null;null;null;null;
2023-02-22;null;986,9375;null;null;null;null;null;
2023-02-23;null;986,595833;null;null;null;null;null;
2023-02-24;null;983,7125;null;null;null;null;null;
2023-02-25;null;987,333333;null;null;null;null;null;
2023-02-26;null;986,204167;null;null;null;null;null;
2023-02-27;null;986,029167;null;null;null;null;null;
2023-02-28;null;987,029167;null;null;null;null;null;
2023-03-01;null;986,983333;null;null;null;null;null;
2023-03-02;null;985,179167;null;null;null;null;null;
2023-03-03;null;984,895833;null;null;null;null;null;
2023-03-04;null;985,020833;null;null;null;null;null;
2023-03-05;null;984,279167;null;null;null;null;null;
2023-03-06;null;984,045833;null;null;null;null;null;
2023-03-07;null;984,170833;null;null;null;null;null;
2023-03-08;null;984,795833;null;null;null;null;null;
2023-03-09;null;984,554167;null;null;null;null;null;
2023-03-10;null;985,1875;null;null;null;null;null;
2023-03-11;null;984,329167;null;null;null;null;null;
2023-03-12;null;984,345833;null;null;null;null;null;
2023-03-13;null;983,458333;null;null;null;null;null;
2023-03-14;null;983,7375;null;null;null;null;null;
2023-03-15;null;982,383333;null;null;null;null;null;
2023-03-16;null;985,808333;null;null;null;null;null;
2023-03-17;null;983,320833;null;null;null;null;null;
2023-03-18;null;983,770833;null;null;null;null;null;
2023-03-19;null;985,3375;null;null;null;null;null;
2023-03-20;null;983,55;null;null;null;null;null;
2023-03-21;null;984,2875;null;null;null;null;null;
2023-03-22;null;988,941667;null;null;null;null;null;
2023-03-23;null;986,629167;null;null;null;null;null;
2023-03-24;null;984,845833;null;null;null;null;null;
2023-03-25;null;985,008333;null;null;null;null;null;
2023-03-26;null;982,125;null;null;null;null;null;
2023-03-27;null;987,904167;null;null;null;null;null;
2023-03-28;null;985,2375;null;null;null;null;null;
2023-03-29;null;981,958333;null;null;null;null;null;
2023-03-30;null;989,633333;null;null;null;null;null;
2023-03-31;null;986,029167;null;null;null;null;null;
2023-04-01;null;984,745833;null;null;null;null;null;
2023-04-02;null;984,058333;null;null;null;null;null;
2023-04-03;null;983,1125;null;null;null;null;null;
2023-04-04;null;982,283333;null;null;null;null;null;
2023-04-05;null;984,041667;null;null;null;null;null;
2023-04-06;null;982,833333;null;null;null;null;null;
2023-04-07;null;985,720833;null;null;null;null;null;
2023-04-08;null;981,554167;null;null;null;null;null;
2023-04-09;null;987,508333;null;null;null;null;null;
2023-04-10;null;986,7625;null;null;null;null;null;
2023-04-11;null;984,854167;null;null;null;null;null;
2023-04-12;null;984,225;null;null;null;null;null;
2023-04-13;null;981,579167;null;null;null;null;null;
