Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;927,920833;28,4;23,104167;19,5;75,708333;null;
2023-01-02;0;927,995833;29,6;23,083333;19,8;80;null;
2023-01-03;3,4;928,0625;28,5;22,854167;20,7;83,583333;null;
2023-01-04;1,8;928,145833;28,4;23,366667;20,4;76,291667;null;
2023-01-05;0;928,695833;30;23,4125;19,7;73,958333;null;
2023-01-06;0;929,108333;28,7;23,120833;18,5;72,791667;null;
2023-01-07;0;929,75;30,2;23,604167;18,9;72,666667;null;
2023-01-08;0;929,475;30,5;23,670833;19,4;74,25;null;
2023-01-09;0;929,479167;30,1;24,066667;20,9;75,208333;null;
2023-01-10;0;929,558333;28,5;22,745833;20,6;82,333333;null;
2023-01-11;2,8;929,616667;29,6;23,533333;20,3;77,916667;null;
2023-01-12;0;928,529167;30,3;23,795833;19,8;76,666667;null;
2023-01-13;0;927,475;30,5;23,9625;20,2;71,416667;null;
2023-01-14;0;927,316667;28,6;23,625;19,9;75,833333;null;
2023-01-15;0;928,4375;26,6;22,370833;20,6;84,125;null;
2023-01-16;0;928,5125;23,7;20,5125;19,5;89,291667;null;
2023-01-17;24,6;927,829167;27,9;21,820833;18,4;82,333333;null;
2023-01-18;1,2;927,979167;27,3;21,725;20,3;85,416667;null;
2023-01-19;17,6;929,454167;27,8;21,545833;18,7;86,875;null;
2023-01-20;7;929,720833;26,3;21,495833;18;88,333333;null;
2023-01-21;,2;928,741667;28,7;22,025;18,1;85,875;null;
2023-01-22;16;928,1625;27,6;22,704167;20;85,291667;null;
2023-01-23;4,6;928,6375;28,4;23,095833;19,7;81,958333;null;
2023-01-24;6,4;927,570833;27,4;22,479167;20,2;85,375;null;
2023-01-25;7,6;927,1125;26,9;21,675;18,8;90,375;null;
2023-01-26;37,8;926,929167;26,5;21,491667;18,8;87,875;null;
2023-01-27;0;927,729167;27,9;22,383333;19,2;81,416667;null;
2023-01-28;8,8;928,429167;27,9;23,054167;19,6;78,666667;null;
2023-01-29;0;927,733333;27,3;22,820833;19,7;80,208333;null;
2023-01-30;,2;926,945833;28,4;22,070833;19,2;85,041667;null;
2023-01-31;11,4;927,183333;27,3;22,241667;19,8;87,541667;null;
2023-02-01;0;927,925;26,2;21,704167;20,2;91,041667;null;
2023-02-02;15,8;929,204167;28;22,379167;20,3;86,25;null;
2023-02-03;2,6;929,779167;27,3;23,0125;19,6;82,333333;null;
2023-02-04;,2;929,9125;28;23,216667;19,4;81,625;null;
2023-02-05;0;929,7125;28,3;22,775;20,5;85,666667;null;
2023-02-06;2;928,616667;28;22,85;20,2;85,583333;null;
2023-02-07;,2;927,970833;28,5;22,6375;20,7;86,25;null;
2023-02-08;12,2;927,858333;28,2;22,816667;19,4;82,125;null;
2023-02-09;,2;928,066667;29,2;23,491667;19,7;79,333333;null;
2023-02-10;0;927,683333;28,2;22,895833;21,1;86,291667;null;
2023-02-11;3;927,104167;28,8;23,554167;20,5;79,958333;null;
2023-02-12;0;927,3625;28,6;23,216667;18,2;76,083333;null;
2023-02-13;2,6;927,0875;28;22,4625;20,5;87,416667;null;
2023-02-14;,2;927,145833;26,3;22,9875;21;85,333333;null;
2023-02-15;11,4;926,866667;25,3;22,183333;21,3;89,75;null;
2023-02-16;9,2;926,158333;26,1;21,733333;20,4;88,916667;null;
2023-02-17;5,2;925,841667;27,7;22,391667;19,7;86,166667;null;
2023-02-18;16,6;927,0125;26,7;22,729167;18,9;85,125;null;
2023-02-19;2,6;927,754167;25,3;21,925;20,6;88,375;null;
