Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;961,469565;31,4;25,221739;21,7;71,434783;1,482609;
2023-01-02;0;961,5375;30,4;24,295833;21,8;83,041667;1,054167;
2023-01-03;3;961,281818;33,1;25,431818;21,2;75,454545;1,681818;
2023-01-04;0;961,672727;32,7;25,886364;20,8;75,272727;1,204545;
2023-01-05;0;961,43913;33,9;26,256522;20;64,695652;1,486957;
2023-01-06;0;961,895455;34,6;27,531818;21,3;58,772727;1,604545;
2023-01-07;null;962,740909;33;26,995455;22,4;59,863636;1,563636;
2023-01-08;0;962,422727;34,3;26,936364;20,7;57,5;1,722727;
2023-01-09;null;962,39;34;null;19,2;54,9;,96;
2023-01-10;0;962,590909;33,5;27,163636;23,1;59,318182;1,313636;
2023-01-11;2,8;962,647826;34,7;26,882609;21,2;68,173913;1,430435;
2023-01-12;,2;961,57619;34;null;22;66,190476;1,319048;
2023-01-13;null;960,640909;33,7;27,236364;22,6;61,636364;1,527273;
2023-01-14;2;960,72381;34,1;null;22,8;61,238095;2,133333;
2023-01-15;0;961,554167;32,9;25,925;22,1;66,666667;1,370833;
2023-01-16;0;961,582609;29,9;24,526087;19,2;66,782609;1,126087;
2023-01-17;0;961,352174;33,4;26,16087;20,1;64,956522;1,647826;
2023-01-18;0;961,413043;34,4;27,052174;20,8;60,347826;2,526087;
2023-01-19;0;962,43913;33;25,886957;20,7;65,391304;1,308696;
2023-01-20;5,2;962,877273;29,4;24,459091;21,8;83,590909;,718182;
2023-01-21;null;961,35;34,1;null;21,3;70;1,225;
2023-01-22;null;960,628571;34,9;null;21,2;69,333333;1,442857;
2023-01-23;null;961,490909;32,7;25,9;22,2;78,363636;,986364;
2023-01-24;,2;960,045455;34,9;26,909091;21,4;70,818182;1,145455;
2023-01-25;null;959,127273;36,8;26,995455;18,9;61,727273;1,368182;
2023-01-26;0;959,165217;35,8;27,195652;20,6;63,826087;1,791304;
2023-01-27;1,2;960,618182;34,2;26,127273;20,2;68,727273;1,672727;
2023-01-28;null;961,752381;35,7;null;19,8;56,095238;2,180952;
2023-01-29;0;961,181818;34,5;26,918182;17,9;50,863636;2,031818;
2023-01-30;0;959,895455;35,2;27,513636;21,6;54,909091;1,340909;
2023-01-31;0;960,243478;34,5;27,717391;21,9;57,608696;2,056522;
2023-02-01;0;961,575;31,3;25,5;23;71,541667;1,545833;
2023-02-02;,2;962,004348;34,2;26,686957;22;68,130435;1,130435;
2023-02-03;11,8;962,956522;33,3;26,321739;21,3;74,130435;1,104348;
2023-02-04;0;962,963636;36,6;27,990909;20,3;56,272727;1,709091;
2023-02-05;0;962,377273;35,9;27,377273;19,6;59,636364;1,731818;
2023-02-06;null;961,509524;33,5;null;21,1;76,666667;1,414286;
2023-02-07;12,8;961,381818;33,1;25,613636;20,5;68,545455;1,486364;
2023-02-08;0;960,9;35,5;26,308696;16,7;48,217391;1,817391;
2023-02-09;0;961,056522;35,7;26,108696;17,4;57,869565;,943478;
2023-02-10;0;960,527273;35,8;28,763636;23,1;53,227273;2,340909;
2023-02-11;0;960,169565;36;28,730435;22,2;48,521739;2,608696;
2023-02-12;0;960,131818;37;28,75;21,5;48,681818;2,018182;
2023-02-13;0;960,304545;35,4;29,163636;23,8;52,636364;2,368182;
2023-02-14;null;959,828571;37,2;null;19,7;49,333333;2,361905;
2023-02-15;0;959,786364;33,4;27,631818;22,3;59,363636;1,490909;
2023-02-16;0;958,241667;37,3;27,795833;21,3;59,25;1,4125;
2023-02-17;0;958,263636;36,9;28,222727;21,7;58,045455;1,204545;
2023-02-18;0;959,325;36,6;27,704167;21,7;56,583333;1,4125;
2023-02-19;,6;960,471429;33,2;null;21,7;66,047619;1,17619;
2023-02-20;0;961,373913;31,7;25,630435;20,8;69,652174;1,343478;
2023-02-21;0;960,768182;34;27,559091;21,2;57,045455;2,795455;
2023-02-22;0;961,943478;36;28,121739;20,5;58,73913;1,96087;
2023-02-23;0;962,578261;34,5;27,504348;20,9;61,608696;1,256522;
2023-02-24;0;961,709524;36,1;null;22,9;56,857143;1,714286;
2023-02-25;null;961,826087;34,3;26,443478;22,4;70,217391;1,291304;
2023-02-26;2,4;962,608333;35,6;25,933333;22;79;1,170833;
2023-02-27;17,8;962,825;35,3;27,433333;22,1;67,291667;1,695833;
2023-02-28;,4;963,416667;34,6;27,3375;20,4;63,416667;2,020833;
2023-03-01;8,2;962,981818;34;26,463636;20;69,636364;1,563636;
2023-03-02;,2;961,4125;34,2;27,770833;19,7;57,5;2,358333;
2023-03-03;0;961,295833;35,6;27,916667;19,7;55,458333;2,116667;
2023-03-04;0;960,968182;35,9;28,618182;23,5;57,318182;1,845455;
2023-03-05;null;960,617391;36,4;29,06087;24,3;55,434783;1,773913;
2023-03-06;0;960,3125;36,5;28,908333;22,2;53,083333;2,183333;
2023-03-07;0;960,217391;36,8;29,473913;20,7;44,521739;2,291304;
2023-03-08;0;960,513043;36,9;29,308696;20,9;45,347826;2,495652;
2023-03-09;0;961,229167;35,4;29,241667;24,2;47,458333;2,4125;
2023-03-10;0;961,559091;34,6;28,790909;22,4;47,227273;2,163636;
2023-03-11;0;960,665217;35,3;28,852174;23,4;52,086957;2,382609;
