Nome: CAMPO MAIOR
Codigo Estacao: A376
Latitude: -4.86416666
Longitude: -42.14555555
Altitude: 125
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;996,481818;32,4;26,936364;22,8;70,363636;1,804545;
2023-01-02;0;996,45;35,4;28,795833;23,5;61,304348;1,704167;
2023-01-03;null;997,41;31,5;null;24,6;63,6;1,855;
2023-01-04;0;998,017391;34,4;28,291304;23,6;67,086957;1,865217;
2023-01-05;null;997,510526;34;null;26,5;62,631579;1,842105;
2023-01-06;null;997,809524;33;null;22,7;77,25;1,438095;
2023-01-07;1,2;997,904545;33,9;27,272727;23,4;72,142857;1,727273;
2023-01-08;0;997,763158;34,2;null;23,1;58,473684;2,031579;
2023-01-09;null;996,009524;34,6;null;24,8;65,428571;1,971429;
2023-01-10;null;994,695;34,9;null;24,3;60,9;1,97;
2023-01-11;null;996,829167;32,7;24,908333;23,3;80,173913;2;
2023-01-12;14,4;997,077778;28,2;null;19,1;81,176471;1,65;
2023-01-13;null;996,766667;33;null;21,6;70,705882;1,73;
2023-01-14;12,4;996,829167;32,2;26,008333;20,9;70,705882;1,841667;
2023-01-15;null;998,905;28,5;null;23,2;77,857143;1,375;
2023-01-16;15,8;998,279167;31,7;25,5875;21,3;73,777778;1,35;
2023-01-17;null;996,695;33,1;null;24,3;60,916667;1,5;
2023-01-18;12,2;996,608333;33,3;25,9875;22,9;73,777778;1,283333;
2023-01-19;,6;997,213636;31,9;26,431818;23,1;75,363636;1,086364;
2023-01-20;41,2;996,1;31,1;null;22,7;83,111111;1,168421;
2023-01-21;null;995,628571;31,1;null;23,7;76;1,52381;
2023-01-22;null;995,9;33,2;25,883333;22,4;74;1,8375;
2023-01-23;1,8;996,49;33,4;null;22,5;62,4;1,8;
2023-01-24;null;995,952381;34,1;null;23,8;64,47619;1,595238;
2023-01-25;null;994,845455;32,6;27,709091;24,1;68,863636;1,85;
2023-01-26;0;995,541667;33,2;26,483333;23;74,772727;1,25;
2023-01-27;,4;996,242857;31;null;22,6;81,428571;1,504762;
2023-01-28;null;997,559091;33,3;26,681818;23,5;73;1,340909;
2023-01-29;46,8;998,691667;30,7;25,329167;21,2;67,230769;1,679167;
2023-01-30;0;998,208333;34,4;28,0375;23,3;63,842105;1,133333;
2023-01-31;null;997,685714;33,1;null;23,9;76,05;1,542857;
2023-02-01;5,2;997,233333;32,8;25,420833;22,5;77,764706;1,2125;
2023-02-02;null;996,62381;33;null;23,1;79,117647;1,438095;
2023-02-03;24,8;996,429167;32,3;26,85;21,2;66,941176;,941667;
2023-02-04;null;996,06;31,9;null;22,1;72,277778;1,33;
2023-02-05;null;995,638095;33,7;null;24,4;79,375;1,080952;
2023-02-06;0;995,277273;33,4;27,168182;23,7;72,444444;1,477273;
2023-02-07;0;995,475;33,3;27,979167;22,8;69,545455;1,020833;
2023-02-08;11;995,345833;33,4;26,583333;22,7;76,789474;1,275;
2023-02-09;15;995,15;34,6;27,758333;23,4;69,772727;1,595833;
2023-02-10;0;994,970833;33,8;27,2375;23,8;74,272727;1,1625;
2023-02-11;2,4;994,595833;31;25,495833;23,8;73,928571;1,008333;
2023-02-12;30;994,691667;32,5;26,191667;20,8;71,5625;1,216667;
2023-02-13;48,8;996,090476;28,2;null;21,7;80,631579;,866667;
2023-02-14;null;996,604348;33,5;25,334783;21,7;null;1,208696;
2023-02-15;,8;996,483333;32,5;null;22,6;75,352941;2,055556;
2023-02-16;null;996,575;33,8;28,075;25,7;74,833333;1,345833;
2023-02-17;43,6;998,825;31,3;24,95;21,6;80,125;1,2875;
2023-02-18;12,4;998,345833;30,4;25,5625;22,6;75,538462;1,079167;
2023-02-19;4;997,6625;30,7;25,616667;23;78,555556;,566667;
2023-02-20;4,8;998,216667;32,1;25,808333;22,9;78,166667;,9375;
2023-02-21;0;997,933333;33,3;27,333333;22,7;71,105263;1,570833;
2023-02-22;0;998,204167;34;28,441667;23,7;69,166667;1,758333;
2023-02-23;0;997,975;33,9;28,579167;23,7;66;1,533333;
2023-02-24;0;996,8625;33,9;28,570833;24,1;70,333333;1,041667;
2023-02-25;9;996,420833;33,9;27,033333;23,1;74,608696;1,691667;
