Nome: CORRENTINA
Codigo Estacao: A416
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.71
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;950,658333;30,8;24,241667;18,9;79,380952;1,416667;
2023-01-02;,2;949,666667;31,8;24,1375;17,5;81,190476;1,275;
2023-01-03;3,6;949,345833;31,7;24,783333;20,1;81,9;1,283333;
2023-01-04;44,4;950,729167;31,7;23,1375;19,4;86,266667;1,458333;
2023-01-05;26,4;950,483333;27,8;22,35;21,1;95,923077;,954167;
2023-01-06;20;951,304167;29,3;22,966667;20,4;88,928571;1,045833;
2023-01-07;2;951,820833;31,1;24,533333;19,7;74,846154;1,083333;
2023-01-08;0;951,345833;31,3;24,654167;20,1;82,315789;1,241667;
2023-01-09;,8;951,579167;31,2;23,341667;20;91,26087;1,225;
2023-01-10;12,6;951,245833;33,8;25,170833;19;72,4;1,029167;
2023-01-11;0;951,55;31;23,8625;20;87,705882;1,041667;
2023-01-12;0;950,216667;32,8;24,583333;19,7;84,526316;1,245833;
2023-01-13;5,6;949,483333;31,3;23,7875;19,6;84,823529;1,204167;
2023-01-14;4,8;950,391667;30,8;23,966667;20,1;84,75;1,2;
2023-01-15;,6;950,779167;31,3;24,679167;19,1;77,625;1,195833;
2023-01-16;,2;949,7625;31,5;24,245833;18,3;80;1,466667;
2023-01-17;0;950,154167;31,5;23,516667;16,7;79,15;1,229167;
2023-01-18;0;950,9625;30,7;23,9375;18,1;83,285714;1,2125;
2023-01-19;0;951,1375;32,2;24,3;18,5;80,8;1,354167;
2023-01-20;0;951,204167;31,7;22,7125;19,1;88,1;1,141667;
2023-01-21;,2;950,179167;30,5;22,654167;20,6;null;1,091667;
2023-01-22;20,4;950,504167;29,3;21,820833;19,9;93;1,029167;
2023-01-23;7,4;950,283333;31,9;23,508333;18,9;80,307692;1,104167;
2023-01-24;1;949,1;32,6;24,291667;19,2;80,142857;1,020833;
2023-01-25;5,6;947,633333;32;25,229167;20,5;81,529412;1,0875;
2023-01-26;43,6;948,433333;28,2;23,108333;20,3;92,235294;1,1875;
2023-01-27;4,8;949,375;31,7;24,625;19,7;81,058824;1,183333;
2023-01-28;0;950,891667;31,1;24,033333;19;84,3;1,545833;
2023-01-29;13;950,383333;31;23,8875;20,2;88,954545;1,1625;
2023-01-30;,2;949,1875;31,7;24,2875;18,7;79;1,0625;
2023-01-31;0;949,3875;32,3;24,366667;18,4;78,555556;1,316667;
2023-02-01;,2;949,9875;31,8;24,345833;18;77,388889;1,291667;
2023-02-02;0;950,908333;32,5;24,683333;18;78,157895;1,145833;
2023-02-03;,2;951,25;32;23,6;18,5;87,142857;1,025;
2023-02-04;0;951,816667;32,1;25,1875;19,3;79,578947;1,258333;
2023-02-05;0;951,195833;34,1;25,708333;19,9;80,73913;1,070833;
2023-02-06;0;949,833333;34,3;25,370833;18,7;80,041667;1,066667;
2023-02-07;0;949,483333;33,9;25,35;19;75,142857;1,170833;
2023-02-08;,2;949,308333;33,6;24,275;16,9;79,625;1,216667;
2023-02-09;0;950,058333;33,1;24,404167;17;79,375;1,216667;
2023-02-10;,2;949,595833;33,4;24,454167;17,1;75,363636;1,25;
2023-02-11;0;949,3;33,5;24,8375;17,5;79,608696;1,445833;
2023-02-12;0;949,258333;33,2;25,358333;18,7;76,095238;1,083333;
2023-02-13;0;949,020833;34,3;25,791667;18,7;77,833333;1,358333;
2023-02-14;0;948,691667;34,1;25,616667;19,2;76,541667;1,3375;
2023-02-15;0;947,933333;34,9;25;16,6;76,625;1,191667;
2023-02-16;0;947,0375;29,7;24,283333;19,8;86,772727;1,291667;
2023-02-17;0;947,3375;31,4;24,416667;18,9;82,681818;1,475;
2023-02-18;0;948,425;32,6;25,304167;19,8;80,5;1,533333;
2023-02-19;4,4;949,341667;31,8;24,4875;19;78,9;1,383333;
2023-02-20;0;949,845833;32,4;24,566667;19,3;82,833333;1,408333;
2023-02-21;0;950,729167;32,5;24,395833;17,6;76,47619;1,395833;
2023-02-22;0;951,775;33,5;25,129167;18,3;78,782609;1,375;
2023-02-23;0;951,808333;34;25,2375;19,1;80;1,325;
2023-02-24;0;950,5;33,6;25,55;19,1;78,875;1,325;
2023-02-25;0;949,904167;34,2;25,491667;18,3;77,695652;1,2375;
2023-02-26;0;950,975;34,1;25,6;18,6;77,478261;1,3375;
2023-02-27;0;951,370833;34,4;26,1;19,4;77,291667;1,258333;
2023-02-28;0;952,008333;33,3;26,154167;20,1;76,869565;1,3125;
2023-03-01;0;951,733333;33,6;25,4125;19,3;78,521739;1,179167;
2023-03-02;0;950,258333;34,3;25,375;20,2;81,125;1,166667;
2023-03-03;0;949,658333;34,4;26,5;21,2;76,833333;1,3125;
2023-03-04;0;949,933333;34,7;25,141667;17,3;74,416667;1,504167;
2023-03-05;0;949,175;35,1;25,25;17,2;72,791667;1,191667;
2023-03-06;0;948,1625;35,1;26,2;18,8;74,416667;1,35;
2023-03-07;0;948,925;33,1;26,2625;20,8;78,208333;1,154167;
2023-03-08;1;949,8;33,7;25,85;20,6;76,166667;1,25;
2023-03-09;0;950,1;34,7;25,741667;18,6;74,291667;1,141667;
2023-03-10;0;950,0125;35,5;25,041667;16,8;74,125;1,054167;
2023-03-11;0;949,029167;35;25,9875;18,2;74,291667;1,4125;
2023-03-12;0;949,183333;34,3;26,258333;19,4;77,583333;1,2;
2023-03-13;0;949,545833;34,2;26,041667;20,3;76,25;1,254167;
2023-03-14;0;950,070833;33,3;24,320833;19,6;82,625;1,275;
2023-03-15;0;949,508333;32,5;25,466667;19,6;78,652174;1,366667;
2023-03-16;0;949,6625;31,4;23,458333;21,6;88,625;1,354167;
2023-03-17;3,2;949,333333;32,5;24,716667;20,3;71,857143;1,083333;
2023-03-18;0;950,908333;29,6;23,508333;20,4;86,583333;1,783333;
2023-03-19;,2;951,183333;32,4;24,208333;18,6;78,6;1,241667;
