Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.55777777
Longitude: -41.38888888
Altitude: 438.09
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,2;963,804167;31;25,116667;21,3;74,916667;,554167;
2023-01-02;0;962,9875;29,3;24,416667;22;80,75;,6125;
2023-01-03;11,8;963,154167;28,5;22,904167;20,6;91,25;,5;
2023-01-04;29,2;963,083333;30,6;24,2625;20,3;84,958333;,283333;
2023-01-05;21,4;962,55;30,4;24,629167;21,8;87,75;,345833;
2023-01-06;14;963,279167;30,8;25,1375;21,9;83,125;,25;
2023-01-07;4,6;964,333333;31,2;24,783333;20,2;82,833333;,45;
2023-01-08;6;964,2375;30,5;25,129167;22,3;79,333333;,445833;
2023-01-09;1;964,091667;31,1;25,008333;21,3;79,625;,379167;
2023-01-10;0;964,4375;30,7;24,983333;21,6;77,25;,504167;
2023-01-11;0;964,475;30,4;25,029167;21,8;76,625;,433333;
2023-01-12;0;963,283333;31,2;25,508333;21,3;75,25;,516667;
2023-01-13;0;962,479167;31;25,0375;21,5;78,583333;,4375;
2023-01-14;1,2;962,933333;30,8;25,566667;21,6;76,833333;,425;
2023-01-15;,2;963,75;31,7;25,591667;22,2;74,416667;,9125;
2023-01-16;0;963,158333;31,2;25,179167;21,3;70,375;,6625;
2023-01-17;0;963,3375;30,9;25,204167;21,5;73,708333;,770833;
2023-01-18;,2;963,95;30,8;25,745833;22,1;73,083333;,841667;
2023-01-19;1,2;964,058333;29,3;23,975;21,8;85,833333;,491667;
2023-01-20;8,2;963,625;31,3;25,1;21,2;79;,229167;
2023-01-21;2,6;962,516667;30,8;25,054167;21,6;77,666667;,2875;
2023-01-22;,2;962,075;29,7;24,616667;22;81,833333;,270833;
2023-01-23;,6;962,275;33;25,458333;21,3;77,166667;,675;
2023-01-24;0;961,370833;32;25,641667;20,2;74,708333;,616667;
2023-01-25;0;960,3375;31,7;26,129167;21,8;73,666667;,583333;
2023-01-26;0;960,566667;31,1;25,9875;22,4;71,708333;,733333;
2023-01-27;0;962,0625;33,1;26,429167;21,8;68,583333;,629167;
2023-01-28;4,8;963,691667;31,6;25,358333;21,5;80,375;,6375;
2023-01-29;6;963,129167;31,5;25,391667;20,5;75,916667;,75;
2023-01-30;2,2;962,170833;31,5;25,708333;20,7;69,791667;,854167;
2023-01-31;1,2;962,820833;31,2;25,629167;21;72,875;,754167;
2023-02-01;,4;963,1375;32,1;26,2;21,5;71,25;1,125;
2023-02-02;0;964,183333;30,8;25,579167;22,6;72,791667;,6375;
2023-02-03;,4;964,533333;32,2;25,704167;21,1;71,25;,766667;
2023-02-04;,8;964,808333;33,3;26,7625;22,2;72,791667;,541667;
2023-02-05;,2;964,0375;33;26,5;21,3;70,041667;,795833;
2023-02-06;0;962,604167;33,2;26,245833;21;68,75;,654167;
2023-02-07;0;962,208333;34,4;27,525;22,8;63,75;,808333;
2023-02-08;0;962,775;32,1;26,475;21,9;62,083333;,925;
2023-02-09;0;963,379167;32,6;25,35;18;64;,916667;
2023-02-10;0;962,958333;33,3;26,395833;20,2;65,291667;,9125;
2023-02-11;,8;962,741667;32,8;26,125;21,9;74,541667;,670833;
2023-02-12;1,4;962,541667;31,7;25,270833;21,2;78,375;,541667;
2023-02-13;,8;962,658333;32,2;26,329167;21,7;73;,441667;
2023-02-14;,6;961,908333;32,7;26,4625;22,2;69,166667;,45;
2023-02-15;0;961,0625;33,7;26,966667;22,5;69,458333;,608333;
2023-02-16;0;959,825;32,2;26,4125;21,9;69,833333;,4625;
2023-02-17;0;960,1;32;26,1875;22,2;72,541667;,466667;
2023-02-18;0;961,3625;33;25,529167;22,8;74,833333;,675;
2023-02-19;0;962,716667;32,2;25,258333;19,5;71,208333;,879167;
2023-02-20;,2;963,745833;32,1;24,470833;21,9;80,291667;,766667;
2023-02-21;2,6;963,908333;29,6;23,975;20,4;84,708333;,675;
