Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,2;1014,008333;31,1;26,020833;22,8;null;1,766667;
2023-01-02;45;1013,241667;27,1;24,316667;22,8;null;1,1875;
2023-01-03;20,6;1013,083333;29;25,416667;22,7;null;1,604167;
2023-01-04;44,8;1012,920833;29,2;25,695833;22,6;null;1,775;
2023-01-05;2,2;1012,333333;29,7;27,304167;23,1;null;2,570833;
2023-01-06;0;1013,125;30,1;27,370833;24,7;null;2,204167;
2023-01-07;1,4;1014,279167;30,5;27,175;23,9;null;1,975;
2023-01-08;3,6;1014,05;30,2;26,6375;23,8;null;1,7;
2023-01-09;1;1013,983333;30,1;26,970833;24,1;null;1,583333;
2023-01-10;0;1014,308333;30,6;27,058333;23,8;null;1,658333;
2023-01-11;2,6;1014,3125;30,3;26,929167;25,2;null;1,895833;
2023-01-12;0;1013,266667;29,1;26,0375;24,2;null;1,5375;
2023-01-13;19,4;1012,383333;30;26,883333;23,6;null;1,704167;
2023-01-14;0;1013,2125;30,7;26,404167;22,5;null;2,133333;
2023-01-15;1,4;1013,983333;30,8;26,479167;23,3;null;1,783333;
2023-01-16;0;1013,129167;30,9;25,991667;22,7;null;1,558333;
2023-01-17;11,4;1013,383333;30,1;26,158333;23,3;null;1,708333;
2023-01-18;20;1013,9375;30;26,25;23,1;null;1,445833;
2023-01-19;20,8;1013,783333;30,2;25,945833;23,2;null;1,016667;
2023-01-20;7,8;1013,504167;29,8;26,120833;23,4;null;1,370833;
2023-01-21;3,2;1011,9375;30;26,9375;23,9;null;1,920833;
2023-01-22;0;1011,295833;30,4;27,5875;25,7;null;2,420833;
2023-01-23;0;1011,891667;30,9;27,691667;24,8;null;1,858333;
2023-01-24;,4;1010,825;30,9;27,116667;23,8;null;1,65;
2023-01-25;2;1010,108333;30;27,125;24,6;null;2,208333;
2023-01-26;,2;1010,5875;30;27,404167;24,9;null;2,2375;
2023-01-27;9,2;1012,229167;30,4;26,979167;23,7;null;1,883333;
2023-01-28;6,8;1013,8375;29,5;26,625;22,9;null;1,558333;
2023-01-29;2,4;1013,1375;30,6;26,379167;23,3;null;1,383333;
2023-01-30;11,2;1012,595833;28,1;24,741667;22,8;null;1,3625;
2023-01-31;13;1012,9625;30,2;25,370833;22,9;null;1,308333;
2023-02-01;6;1013,454167;30,8;26,0375;22,7;null;1,604167;
2023-02-02;4,4;1014,25;31,1;26,204167;22;null;1,341667;
2023-02-03;2,8;1014,275;30,7;26,945833;23,9;null;1,441667;
2023-02-04;0;1014,916667;30,3;27,958333;25,5;null;2,404167;
