Nome: VALENCA
Codigo Estacao: A444
Latitude: -13.3436111
Longitude: -39.12666666
Altitude: 93.12
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,4;1003,475;30,7;25,120833;21,2;84,041667;1,5375;
2023-01-02;10,2;1002,75;28,5;24,4875;22;87,916667;1,4375;
2023-01-03;17,6;1002,725;28,5;23,816667;21,6;89,958333;1,295833;
2023-01-04;6,2;1002,495833;29,9;24,35;21,8;91,541667;1,116667;
2023-01-05;12,2;1002,033333;30,1;25,45;22,4;86,916667;1,316667;
2023-01-06;0;1002,770833;31,6;25,7875;21,6;84,416667;1,3375;
2023-01-07;1;1003,8875;31,2;25,8625;22;84,458333;1,45;
2023-01-08;0;1003,645833;31,6;25,675;21,8;84,083333;1,383333;
2023-01-09;10,4;1003,625;30,1;25,516667;22,5;86,125;1,3625;
2023-01-10;7;1003,9625;31,1;25,458333;21,2;82,916667;1,383333;
2023-01-11;2,6;1003,929167;30,7;25,425;22,6;84,25;1,441667;
2023-01-12;,2;1002,866667;29,5;24,970833;21;83,916667;1,379167;
2023-01-13;,2;1002,008333;30,5;25,283333;21,2;83,5;1,420833;
2023-01-14;5,6;1002,766667;30,2;25,1875;21,7;84,791667;1,479167;
2023-01-15;1;1003,545833;30,1;25,125;21,8;82,125;1,554167;
2023-01-16;3,2;1002,683333;30,5;24,270833;20,3;82,416667;1,3875;
2023-01-17;1,4;1002,970833;30;24,625;20,4;84,416667;1,354167;
2023-01-18;4,6;1003,545833;29,6;24,291667;20,9;88,875;1,104167;
2023-01-19;2,8;1003,3875;29,5;24,620833;21,1;86,458333;1,108333;
2023-01-20;6;1003,129167;30,2;24,983333;21,5;85,333333;1,35;
2023-01-21;0;1001,695833;30,4;25,216667;21,7;84,25;1,233333;
2023-01-22;0;1001,058333;31,6;25,366667;21,2;82,875;1,2125;
2023-01-23;0;1001,683333;32;25,358333;20,5;80,916667;1,0375;
2023-01-24;0;1000,558333;31,9;25,345833;20,3;81,875;1,308333;
2023-01-25;0;999,816667;30,4;25,283333;21,6;82,666667;1,2875;
2023-01-26;,8;1000,2625;30,8;24,966667;19,9;81,875;1,633333;
2023-01-27;3,6;1001,804167;30,8;25,995833;22,4;82,75;1,6;
2023-01-28;1,4;1003,4;29,4;25,566667;22,3;85,875;1,358333;
2023-01-29;10,4;1002,779167;30,3;24,854167;20,6;81,916667;1,4875;
2023-01-30;3,2;1001,995833;29;24,108333;20,5;85,833333;1,204167;
2023-01-31;3,4;1002,625;29,5;23,916667;20,7;86,166667;1,254167;
2023-02-01;1,6;1003,058333;30,6;24,5125;20;83,541667;1,433333;
2023-02-02;4;1003,991667;30,3;24,5625;21,5;83,875;1,245833;
2023-02-03;,6;1003,954167;31,5;25,125;20;81,791667;1,375;
2023-02-04;,2;1004,595833;31,6;25,641667;21,4;82,541667;1,579167;
2023-02-05;,2;1003,6625;32;25,316667;19,8;79,958333;1,3125;
2023-02-06;0;1002,183333;32,3;25,566667;20,6;82,333333;1,5;
2023-02-07;0;1002,233333;31,3;25,758333;21,5;79,541667;1,575;
