Nome: BELMONTE
Codigo Estacao: A447
Latitude: -16.08805555
Longitude: -39.21527777
Altitude: 89.67
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,8;1005,245833;30;23,85;19,9;82,875;1,25;
2023-01-02;1,8;1004,466667;28;22,7875;21,8;88,916667;1,141667;
2023-01-03;47,8;1003,5875;29,9;23,883333;20,2;82,916667;1,4375;
2023-01-04;1;1003,091667;30,8;24,570833;21,1;83,333333;1,570833;
2023-01-05;0;1002,691667;29,1;24,7375;21,4;85,458333;1,670833;
2023-01-06;2;1003,266667;32,4;25,920833;21;78,708333;1,725;
2023-01-07;0;1004,729167;31,6;25,625;21,2;81,041667;1,15;
2023-01-08;2;1004,7125;29,7;24,491667;21;86,625;1,095833;
2023-01-09;21,4;1004,575;30,9;25,3125;21,5;82,541667;1,304167;
2023-01-10;0;1004,845833;30,6;24,875;19,2;80,708333;1,2;
2023-01-11;,2;1004,704167;31,2;25,466667;21,1;79,708333;1,620833;
2023-01-12;0;1003,683333;30,4;24,4625;20;83,375;1,383333;
2023-01-13;6,6;1003,029167;29,3;24,841667;22,5;84,291667;1,308333;
2023-01-14;4,4;1004,0375;31;24,804167;20;82,041667;1,216667;
2023-01-15;2,6;1004,920833;30,9;24,9375;20,3;76,75;1,466667;
2023-01-16;0;1004,016667;31;24,3625;19,2;78,333333;1,416667;
2023-01-17;2,6;1004,333333;30,5;24,691667;21,3;83;1,216667;
2023-01-18;13,4;1004,966667;31,3;24,433333;20,4;83,958333;1,2125;
2023-01-19;4,6;1004,491667;30,3;25,125;21,7;80,75;1,295833;
2023-01-20;,6;1003,8625;30,8;25,05;20,1;79,583333;1,320833;
