Nome: ITAMARAJU
Codigo Estacao: A455
Latitude: -17.00694444
Longitude: -39.55805555
Altitude: 110
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,2;1003,408333;30;24,6875;19,8;85,625;1,954167;
2023-01-02;,8;1002,6625;26,7;23,054167;20,8;93,25;1,754167;
2023-01-03;9,8;1001,4625;29,9;24,520833;19,4;83,666667;2,583333;
2023-01-04;0;1000,658333;31,3;25,604167;22,5;84,5;3,258333;
2023-01-05;1,6;1000,308333;30,9;25,925;23,5;85,708333;3,283333;
2023-01-06;,6;1000,820833;32,9;27,1125;23,6;79,041667;3,5375;
2023-01-07;0;1002,670833;32,3;26,5875;23,4;83,208333;2,545833;
2023-01-08;0;1002,620833;31,3;26,225;22,8;85,875;2,358333;
2023-01-09;15,6;1002,533333;30,7;25,920833;22,5;84,583333;2,425;
2023-01-10;0;1002,791667;32,1;25,775;21,1;83,625;2,220833;
2023-01-11;3,6;1002,666667;29,8;25,091667;22,7;89,958333;2,616667;
2023-01-12;6,2;1001,454167;30,5;25,275;22,5;87,583333;3,0875;
2023-01-13;7,6;1000,808333;30,8;25,958333;22,4;84,041667;2,983333;
2023-01-14;2,2;1002,025;30,7;25,966667;22,5;83,333333;2,417391;
2023-01-15;2,2;1003,091667;30,8;25,375;21,6;82,416667;2,0625;
2023-01-16;,2;1002,4;28,8;23,804167;19,8;87,791667;1,708333;
2023-01-17;3,4;1002,683333;30,4;24,270833;21;90,708333;1,3625;
2023-01-18;28;1003,383333;29,4;24,095833;21,9;94,75;1,129167;
2023-01-19;36,2;1002,758333;30,8;25,079167;21,2;88,208333;1,8125;
2023-01-20;1,8;1001,879167;30;25,354167;21,8;87,041667;1,8;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;33,6;null;null;70,25;null;
2023-01-25;0;997,875;32,8;26,554167;24,1;85,791667;null;
2023-01-26;28,4;998,933333;30,8;25,708333;22,5;85,541667;null;
2023-01-27;2,2;1001,479167;29,2;23,8125;21;94,916667;null;
2023-01-28;8,4;1002,683333;28,8;24,170833;20,9;93,333333;null;
2023-01-29;28,2;1001,879167;31,4;25,408333;20,7;83,083333;null;
2023-01-30;0;1001,395833;31,2;25,2;20,2;80,916667;null;
2023-01-31;2,4;1002,258333;30,5;23,9875;19,9;88,333333;null;
2023-02-01;,2;1002,408333;30,2;25,0125;20,6;83,291667;null;
2023-02-02;0;1002,8125;32,3;25,879167;21,1;79,916667;null;
2023-02-03;0;1002,616667;32,7;25,8125;20,7;79,291667;null;
2023-02-04;0;1002,666667;33,7;26,8875;22,7;80,75;null;
2023-02-05;0;1001,4375;34;27,5875;23,5;76,75;null;
2023-02-06;0;1000,308333;33,6;27,108333;23,3;77,375;null;
2023-02-07;0;1000,583333;32,8;26,795833;23,1;81,625;null;
2023-02-08;0;1001,0375;32,8;26,629167;22,5;75,916667;null;
2023-02-09;0;1001,979167;34;26,045833;21,7;77,041667;null;
2023-02-10;0;1002,104167;33,1;25,683333;19;80;null;
2023-02-11;12,8;1002,0625;32,1;26,545833;22,2;81,666667;null;
2023-02-12;0;1001,508333;30,6;26,0125;21,7;84,833333;null;
2023-02-13;0;1001,3375;33,4;26,145833;21,8;80,458333;null;
2023-02-14;,6;1000,8625;32,2;25,65;20,6;83,208333;null;
2023-02-15;0;999,466667;32,9;25,979167;20,5;82,083333;null;
2023-02-16;0;997,358333;33,6;27,345833;23,4;80,708333;null;
2023-02-17;null;null;26;null;24,1;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;null;null;null;null;null;null;
2023-03-03;null;null;null;null;null;null;null;
2023-03-04;null;null;null;null;null;null;null;
2023-03-05;null;null;null;null;null;null;null;
2023-03-06;null;null;null;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;null;null;null;null;null;
2023-03-09;null;null;null;null;null;null;null;
2023-03-10;null;null;null;null;null;null;null;
2023-03-11;null;null;null;null;null;null;null;
2023-03-12;null;null;null;null;null;null;null;
2023-03-13;null;null;null;null;null;null;null;
2023-03-14;null;null;null;null;null;null;null;
2023-03-15;null;null;31,8;null;null;null;null;
2023-03-16;null;null;null;null;null;null;null;
2023-03-17;null;null;32,9;null;null;71;null;
2023-03-18;0;1001,7125;33,1;25,775;20,8;82,5;null;
2023-03-19;0;1002,5125;31,6;24,783333;21,4;89,875;null;
2023-03-20;14,8;1002,420833;31,6;25,25;20,6;85,666667;null;
2023-03-21;0;1002,966667;32;25,279167;20,5;87,166667;null;
2023-03-22;9,4;1004,216667;30,2;24,895833;21,4;90,416667;null;
2023-03-23;,8;1004,375;31,8;25,1375;20,2;83,458333;null;
2023-03-24;0;1003,254167;32,3;25,604167;20,2;82,208333;null;
2023-03-25;0;1002,491667;31,7;25,345833;20,3;86;null;
2023-03-26;,6;1003,166667;30;24,6125;21,5;94,875;null;
2023-03-27;8,6;1002,125;32,7;26,0875;21,4;82,041667;null;
2023-03-28;,4;1002,604167;32,7;25,325;20;79,166667;null;
2023-03-29;,2;1003,479167;32,1;24,779167;19,4;80,541667;null;
2023-03-30;,6;1003,958333;32,2;25,008333;18,5;78,458333;null;
2023-03-31;0;1002,291667;32,7;25,583333;19,7;81,166667;null;
2023-04-01;0;999,620833;33,9;26,695833;21,5;79,041667;null;
2023-04-02;0;1000,216667;32,9;26,325;22,7;79,291667;null;
2023-04-03;4,8;1002,145833;29,8;23,741667;22,4;92,875;null;
2023-04-04;15;1001,445833;31,3;24,920833;21,3;84,916667;null;
2023-04-05;0;1000,7625;29,1;23,770833;21,6;94,166667;null;
2023-04-06;52,4;1000,783333;31,3;25,0875;21;87,583333;null;
2023-04-07;1,8;1001,275;30,8;25,116667;20,8;86,291667;null;
2023-04-08;0;1000,716667;32,5;25,7;20,6;84,416667;null;
2023-04-09;0;1001,183333;33,4;26,791667;22,9;83,666667;null;
2023-04-10;5,2;1003,058333;28,8;24,754167;23;90,666667;null;
2023-04-11;,8;1003,225;25,4;23,145833;22,2;96,291667;null;
2023-04-12;26,8;1002,025;28,6;23,554167;22;97,833333;null;
2023-04-13;13,8;1000,1375;31;25,458333;22,8;89,875;null;
2023-04-14;,2;1000,0125;32,1;26,104167;22,5;84,916667;null;
2023-04-15;0;999,916667;32,3;26,204167;21,3;77,625;null;
2023-04-16;0;1000,095833;30,1;25,1625;23,1;87,041667;null;
2023-04-17;0;998,3375;32,6;25,3125;20,1;83,5;null;
2023-04-18;0;995,3125;33,5;26,283333;21;82,875;null;
2023-04-19;0;995,658333;36,3;28,933333;24,2;79,291667;null;
2023-04-20;,6;998,5;35,5;27,529167;23,9;86,333333;null;
2023-04-21;64,4;1003,1875;25,9;23,233333;21;95,708333;null;
2023-04-22;2,2;1003,9125;27,8;22,6125;20,6;93,333333;null;
2023-04-23;57,6;1003,7125;27,8;23,641667;20,9;88,791667;null;
2023-04-24;1,4;1004,95;29,5;24,179167;21,6;84,166667;null;
2023-04-25;,2;1004,570833;30;24,533333;22;89,708333;null;
2023-04-26;0;1003,8625;29,2;24,370833;22,1;91,083333;null;
2023-04-27;1,6;1001,433333;31,6;24,975;21;86,291667;null;
2023-04-28;0;1001,495833;33,1;25,754167;21,6;83,666667;null;
2023-04-29;0;1003,954167;28,2;23,4375;22,3;96,916667;null;
2023-04-30;34,8;1004,0875;29,5;23,429167;21,4;93,583333;null;
2023-05-01;12;1002,779167;30,5;24,6;20,5;88,166667;null;
2023-05-02;,2;1001,8125;29;23,883333;20,6;89,833333;null;
2023-05-03;,2;1002,304167;31,7;24,304167;20,6;87,041667;null;
2023-05-04;,2;1003,879167;31;23,970833;19,7;88,041667;null;
2023-05-05;,2;1005,166667;31,1;24,183333;19,4;86,166667;null;
2023-05-06;0;1004,783333;30,4;23,770833;19,2;85,666667;null;
2023-05-07;0;1004,1125;30,2;24,125;20,5;85,208333;null;
2023-05-08;,4;1004,283333;29,6;23,883333;20,8;90,083333;null;
2023-05-09;3,8;1003,791667;25,6;22,666667;20,9;99,458333;null;
2023-05-10;7,2;1002,558333;29,7;23,408333;19,9;91,916667;null;
2023-05-11;,2;1000,495833;30,3;23,35;19,3;87,958333;null;
2023-05-12;0;1001,575;30;23,791667;19,2;88,291667;null;
2023-05-13;,8;1003,391667;28,6;24,425;22,1;90,25;null;
2023-05-14;,4;1005,95;30;23,991667;20,9;91,291667;null;
2023-05-15;5,2;1005,191667;30,8;24,491667;20,7;89,416667;null;
2023-05-16;0;1003,095833;31,7;24,166667;20,3;90,083333;null;
2023-05-17;0;1003,708333;28,3;23,370833;20,6;86,416667;null;
2023-05-18;0;1005,983333;27,7;21,5375;18,4;85,541667;null;
2023-05-19;0;1006,1;27,3;20,8;16,6;81,583333;null;
2023-05-20;,2;1005,970833;27,1;20,266667;15,2;91,5;null;
2023-05-21;2,2;1005,1125;27,4;21,808333;18,6;88,708333;null;
2023-05-22;1,4;1006,329167;27,9;22,329167;18,9;88,166667;null;
2023-05-23;,2;1006,25;28,8;22,791667;18,6;84,958333;null;
2023-05-24;1,2;1005,708333;27,8;22,6125;19,3;93,25;null;
2023-05-25;22,8;1006,795833;27,9;23;20,6;91,25;null;
2023-05-26;14;1006,975;27,5;22,820833;21,1;90,25;null;
2023-05-27;3,4;1006,379167;28,5;22,683333;18;87,5;null;
2023-05-28;,2;1004,4625;29,8;22,454167;17,8;88,458333;null;
2023-05-29;0;1003,554167;30,1;23,504167;19,5;88,166667;null;
2023-05-30;0;1007,316667;27,6;21,9875;21,1;95,25;null;
2023-05-31;20,4;1007,179167;26,6;21,966667;20,4;96,125;null;
2023-06-01;1;1005,3375;28;22,85;19,3;93,083333;null;
2023-06-02;,4;1005,15;28,2;22,575;19,1;87,916667;null;
2023-06-03;0;1007,108333;27,6;21,791667;18,7;85,416667;null;
2023-06-04;,2;1008,575;26,8;20,270833;13,5;87,333333;null;
2023-06-05;0;1007,7;27,3;20,9875;16,8;86,125;null;
2023-06-06;,2;1007,129167;27,7;20,225;14,7;85,791667;null;
2023-06-07;0;1008,425;27,4;20,416667;15,1;88,75;null;
2023-06-08;,2;1008,8;28,2;21,3625;16,1;85,75;null;
2023-06-09;1,6;1007,8625;27,4;21,483333;17,8;95,625;null;
2023-06-10;9;1006,854167;28,8;22,8875;19,8;90,125;null;
2023-06-11;,2;1005,933333;29,6;23,820833;19,4;87,875;null;
2023-06-12;,2;1005,979167;29,3;23,345833;18,8;86,791667;null;
2023-06-13;0;1006,8625;29;21,7375;17;89,125;null;
2023-06-14;5,2;1006,645833;28,4;21,2375;17,3;94,416667;null;
2023-06-15;2,8;1006,3875;28,7;22,520833;19,5;90,125;null;
2023-06-16;1;1006,229167;28,5;21,854167;17,8;92,75;null;
2023-06-17;,4;1005,5875;29,7;22,920833;18,7;88,458333;null;
2023-06-18;0;1006,38;27,8;null;17,9;92,85;null;
2023-06-19;null;null;null;null;null;null;null;
2023-06-20;null;null;23,8;null;null;null;null;
2023-06-21;null;null;26,4;null;null;null;null;
2023-06-22;null;null;null;null;null;null;null;
2023-06-23;null;null;26,9;null;null;null;null;
2023-06-24;null;null;null;null;null;null;null;
2023-06-25;null;null;null;null;null;null;null;
2023-06-26;null;null;27,8;null;null;null;null;
2023-06-27;null;null;27,3;null;null;null;null;
2023-06-28;null;null;null;null;null;null;null;
2023-06-29;null;null;28,9;null;null;null;null;
2023-06-30;null;null;27,7;null;null;null;null;
2023-07-01;null;null;27,5;null;null;null;null;
2023-07-02;null;null;27,9;null;null;null;null;
2023-07-03;null;null;26;null;null;null;null;
2023-07-04;null;null;25;null;null;null;null;
2023-07-05;null;null;24,6;null;null;null;null;
2023-07-06;null;null;24,2;null;null;null;null;
2023-07-07;null;null;28,5;null;null;null;null;
2023-07-08;null;null;28,1;null;null;null;null;
2023-07-09;null;null;31;null;null;null;null;
2023-07-10;null;null;null;null;null;null;null;
2023-07-11;null;null;28,7;null;null;null;null;
2023-07-12;null;null;29,1;null;null;null;null;
2023-07-13;null;null;29,5;null;null;null;null;
2023-07-14;null;null;31,5;null;null;null;null;
2023-07-15;null;null;null;null;null;null;null;
2023-07-16;null;null;null;null;null;null;null;
