Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;24;901,995833;26,8;21,316667;18,5;81,833333;2,125;
2023-01-02;21;900,7;26,3;21,091667;17,3;81,916667;2,775;
2023-01-03;37,6;899,654167;25,1;20,375;18,4;85,25;1,5875;
2023-01-04;13,2;899,420833;24,9;20,8375;19,1;84,5;1,666667;
2023-01-05;19;899,15;26,2;20,1625;18;88,208333;1,758333;
2023-01-06;34,4;900,2;24,9;20,008333;18,9;90,875;1,95;
2023-01-07;24,4;901,866667;25,1;20,783333;18,1;83,541667;1,804167;
2023-01-08;16,6;902,025;21,9;19,808333;18,8;90,75;1,9125;
2023-01-09;45,2;901,7;25,5;20,195833;18,4;87,458333;2,304167;
2023-01-10;9;902,208333;28;20,975;17,3;80,125;1,4625;
2023-01-11;17,6;902,179167;27,1;21,425;18,3;82,083333;1,341667;
2023-01-12;50,4;900,725;27,6;21,579167;17,2;78,166667;2,416667;
2023-01-13;5;900,216667;27,2;21,545833;18,7;81,791667;1,870833;
2023-01-14;12,2;901,470833;29;22,604167;18,1;74,208333;2,058333;
2023-01-15;,2;902,225;29,7;23,029167;19,3;73,166667;1,983333;
2023-01-16;,4;901,266667;30;23,45;18,9;72,333333;1,666667;
2023-01-17;,2;901,625;30,2;24,308333;18,9;58,291667;2,354167;
2023-01-18;0;902,520833;30;24,020833;19,2;61,958333;2,179167;
2023-01-19;7;902,370833;27,4;21,8875;18;73,583333;2,0125;
2023-01-20;8;901,154167;25;20,475;17,7;81,083333;2,254167;
2023-01-21;42,8;899,475;22,6;18,783333;16,9;90,041667;2,120833;
2023-01-22;11,4;898,591667;27,2;20,508333;17,6;84,25;1,479167;
2023-01-23;6,6;899,041667;25,8;21,058333;18,9;85,75;1,425;
2023-01-24;13,2;898,691667;26,4;20,891667;18,8;87,333333;2,045833;
2023-01-25;10,4;898,5;28,8;21,966667;18,6;81,833333;1,354167;
2023-01-26;36,8;898,691667;28,9;22,945833;18,6;73,041667;2,979167;
2023-01-27;1,2;900,333333;25,6;21,054167;19,1;83,125;2,2875;
2023-01-28;44,6;902,291667;28,4;21,995833;18,1;77,708333;1,9125;
2023-01-29;16,4;901,9625;26,6;20,7375;18,2;82,375;1,170833;
2023-01-30;21,6;900,495833;28,5;21,275;18;79,416667;1,266667;
2023-01-31;4,4;900,983333;28,2;22,3;18,3;74,583333;2,2375;
2023-02-01;0;901,5125;27,6;23,379167;20,5;71,458333;1,179167;
2023-02-02;0;901,85;28,9;24,370833;21,1;67,791667;1,741667;
2023-02-03;0;901,579167;31,1;25,091667;20,7;60,916667;2,329167;
2023-02-04;0;902,558333;30,3;23,5375;19,5;69,833333;1,783333;
2023-02-05;7;902,454167;29;23,495833;17,3;69,291667;1,4625;
2023-02-06;0;901,325;30,1;23,7625;19,7;71,041667;2,0125;
2023-02-07;60;901,4;29,7;22,466667;17,1;72,958333;1,383333;
2023-02-08;0;900,779167;29,1;23,4;19,4;68,708333;1,7625;
2023-02-09;0;901,720833;27,4;21,216667;19;75,958333;2,0625;
2023-02-10;17,6;901,529167;29;22,3625;18,4;74,125;1,645833;
2023-02-11;20,4;901,7625;26,2;21,4375;17,8;81;1,4125;
2023-02-12;0;900,991667;26,4;21,070833;19,5;79,875;2,1375;
2023-02-13;44,8;901,4;28,1;22,204167;16,6;76,375;1,441667;
2023-02-14;,2;900,816667;30,2;23,2625;18,7;73,875;1,395833;
2023-02-15;0;899,383333;30,6;23,6625;19,4;71,958333;1,841667;
2023-02-16;24,8;897,6875;29;22,041667;17,8;76,583333;2,125;
2023-02-17;1;898,466667;28,9;22,508333;18,9;75,875;1,954167;
2023-02-18;3,2;900,475;27,2;22,4375;18,5;74,75;2,341667;
2023-02-19;3;901,3125;28,7;23,0625;19;72,666667;2,783333;
2023-02-20;0;901,820833;28,7;22,383333;18,8;71,583333;2,945833;
2023-02-21;,2;902,433333;28,4;21,591667;18,4;73,75;2,295833;
2023-02-22;0;904,004167;29,3;22,020833;18;71,791667;1,741667;
2023-02-23;29,6;904,225;28,1;22,070833;18,5;75,083333;1,904167;
2023-02-24;,2;902,408333;29;21,433333;18,2;79,458333;1,791667;
2023-02-25;19,2;901,470833;29,6;22,516667;18,7;76,791667;1,925;
2023-02-26;15,2;902,9625;31,6;24,820833;19,1;65,291667;2,066667;
2023-02-27;0;903,8375;31,8;25,775;21,4;58,958333;2,375;
2023-02-28;0;904,279167;30,4;24,904167;20;56,458333;3,058333;
2023-03-01;0;903,35;30,4;23,875;19,4;61,375;2,620833;
2023-03-02;15,2;902,354167;29,1;21,9;17;73,166667;2,066667;
2023-03-03;,2;901,745833;29,1;22,995833;19,5;72,375;2,291667;
2023-03-04;10,4;902,191667;30,3;23,654167;17,3;67,458333;2,079167;
2023-03-05;0;900,795833;28,7;23,241667;21;71,333333;1,775;
2023-03-06;3,8;899,679167;28,1;21,820833;18,5;75,5;2,354167;
2023-03-07;2,2;901,145833;26,1;20,658333;18;75,25;1,933333;
2023-03-08;17,2;902,279167;27;20,5875;17;80,166667;1,7625;
2023-03-09;23,8;902,5375;28,7;21,945833;17,5;75,958333;2,05;
2023-03-10;2,8;902,408333;25,4;21,1375;19,3;80;1,891667;
2023-03-11;21,2;901,85;26,4;20,6125;18,1;82;1,354167;
2023-03-12;2,8;901,779167;28;22,283333;18,5;74,25;1,9375;
2023-03-13;1,8;902,304167;25,2;21,7625;20,1;79,958333;2,266667;
2023-03-14;9;902,545833;27,8;21,608333;18,6;78,416667;2,329167;
2023-03-15;2,6;901,8375;28;21,770833;19,6;77,5;2,2875;
2023-03-16;4,2;901,054167;29,1;22,929167;18,9;68,041667;2,858333;
2023-03-17;0;901,445833;27,3;22,4875;19,1;67,5;3,166667;
2023-03-18;0;901,7875;29,1;23,220833;18,9;63,666667;2,858333;
2023-03-19;0;902,125;27,6;23,2125;19,9;64,291667;2,495833;
2023-03-20;0;902,383333;27,6;22,445833;18,8;68,458333;2,095833;
2023-03-21;0;902,766667;29,7;23,204167;16,8;64,458333;1,716667;
2023-03-22;0;903,65;30,6;24,429167;17,3;58,375;3,025;
2023-03-23;0;903,929167;29,9;24,370833;19,8;59,875;3,2875;
2023-03-24;0;903,383333;29,9;24,4125;19,6;57,791667;2,275;
2023-03-25;0;902,529167;30,8;24,995833;19,2;53,5;1,5875;
2023-03-26;0;902,829167;31,4;25,791667;20,7;50,833333;1,508333;
2023-03-27;0;901,733333;31,7;26,125;20,6;51,375;2,029167;
2023-03-28;0;902,183333;30,9;24,3;20,6;63,708333;2,929167;
2023-03-29;35,4;902,791667;29,3;22,6;17,7;72,041667;2,254167;
2023-03-30;1,4;903,345833;29,7;24,2625;20;60,833333;1,8375;
2023-03-31;0;902,508333;30,3;23,6625;19,7;58,458333;2,004167;
2023-04-01;0;900,991667;30,5;23,308333;18;66,5;1,4;
2023-04-02;0;900,6375;30,1;23,195833;18,9;63,416667;1,233333;
2023-04-03;6;901,733333;26,3;21,429167;17,5;73,666667;2,608333;
2023-04-04;8;901,420833;28;20,7875;16,3;71,916667;1,620833;
2023-04-05;0;900,9625;27,4;21,4375;17,3;70,791667;1,4875;
2023-04-06;0;900,5125;28,8;22,55;18,3;67,625;2,533333;
2023-04-07;20;901,066667;25,7;20,8375;17,8;81,208333;2,525;
2023-04-08;39,2;901,770833;28;21,266667;17,8;83,125;1,029167;
2023-04-09;5;902,945833;27,1;20,675;18,8;82,916667;2,404167;
2023-04-10;5,4;903,608333;27,1;21,404167;18,2;74,583333;2,575;
