Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,2;916,641667;28,8;23,629167;19,2;70,708333;2,1125;
2023-01-02;,2;915,195833;27,3;23,629167;20,4;69,5;2,2125;
2023-01-03;34;914,570833;26,7;22,495833;19,2;78,75;1,6125;
2023-01-04;4,4;914,416667;26,4;22,233333;19,9;77,666667;2,158333;
2023-01-05;35,4;914,254167;27,4;21,979167;19;81,666667;2,054167;
2023-01-06;6,2;915,158333;24,5;21,175;19,9;87,583333;1,520833;
2023-01-07;24,8;916,958333;21,9;20,579167;19,5;87,291667;1,15;
2023-01-08;14,8;916,691667;24,7;20,779167;19,4;87,541667;1,55;
2023-01-09;27,2;916,470833;27,4;20,979167;19,1;84,666667;2,25;
2023-01-10;31;917,129167;28;22,0625;18,5;77,75;1,354167;
2023-01-11;2,8;917,041667;29,2;24,104167;20,3;69,958333;1,745833;
2023-01-12;28,2;915,629167;28,8;23,016667;18,7;74,208333;1,745833;
2023-01-13;2,4;915,116667;29,3;23,795833;20,8;71,75;1,8125;
2023-01-14;33;916,391667;29,5;23,329167;18,8;71,583333;1,854167;
2023-01-15;2,8;917,166667;30,5;24,7;21;67,458333;1,083333;
2023-01-16;1,4;915,979167;29,9;25,0125;20,2;65,875;1,608333;
2023-01-17;0;916,4;30,7;25;20,2;64,208333;1,445833;
2023-01-18;3,6;917,3;31,2;25,4875;20,3;59,208333;1,608333;
2023-01-19;0;917,229167;29,5;24,291667;19,9;67;1,416667;
2023-01-20;0;916,1375;27,9;22,5;20,2;73,166667;1,7875;
2023-01-21;5;914,879167;24;20,341667;19,1;84,583333;1,525;
2023-01-22;6,8;913,920833;26;21,833333;18,1;81,333333;1,016667;
