Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;8,4;899,270833;24,1;19,295833;17,5;95,875;1,166667;
2023-01-02;32,6;897,808333;24,2;18,629167;16,3;92,666667;2,345833;
2023-01-03;18,6;896,425;26,1;20,391667;17,3;87,541667;2,641667;
2023-01-04;3,2;895,8875;26,1;20,683333;18;87,416667;4,233333;
2023-01-05;9,2;895,8875;24,3;20,695833;18,7;89,5;3,541667;
2023-01-06;34,4;897,583333;21,1;18,633333;17,4;98,666667;2,741667;
2023-01-07;67,6;899,308333;21,5;17,991667;15,6;97,291667;2,7375;
2023-01-08;12;899,475;20,2;18;16,4;99,791667;1,7375;
2023-01-09;35,2;898,766667;26,6;20,266667;18;90,958333;2,020833;
2023-01-10;28,6;899,1125;27,6;21,070833;18,1;88,583333;1,6375;
2023-01-11;,2;898,9625;27,7;20,620833;18,1;89,166667;2,25;
2023-01-12;7,6;897,504167;26,8;21,404167;17,7;83,625;2,516667;
2023-01-13;0;897,004167;28;21,620833;18,5;83,833333;1,954167;
2023-01-14;10,8;898,120833;27,6;22,320833;18,7;85,041667;1,3375;
2023-01-15;0;898,875;30;23,691667;20,2;81,458333;1,5;
2023-01-16;0;898,366667;28,3;22,883333;18,3;75,083333;2,2;
2023-01-17;0;899,008333;27,1;22,5;18,5;70,333333;1,7;
2023-01-18;0;899,720833;27,8;21,470833;17,2;79,791667;1,8875;
2023-01-19;28,2;899,354167;27,4;20,6375;16,4;87,125;1,758333;
2023-01-20;56,8;897,845833;23,1;19,320833;16,7;92,958333;1,5875;
2023-01-21;18,8;895,1;21,7;18,845833;17,3;95,125;3,229167;
2023-01-22;19,6;894,3625;26,1;20,366667;18,1;91,416667;2,091667;
2023-01-23;1,2;895,325;28,5;22,3375;19,3;81,541667;3,3;
2023-01-24;,4;894,820833;26,9;21,408333;19,2;87,5;3,441667;
2023-01-25;64,8;895,225;26,8;21,329167;18,3;87,666667;1,741667;
2023-01-26;,2;896,304167;26,6;21,304167;17,3;82,166667;2,729167;
2023-01-27;15,8;897,708333;27,7;20,620833;17,6;91,5;1,991667;
