Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;18,4;909,35;27,7;21,183333;16,8;78,875;1,658333;
2023-01-02;11,6;907,9625;26,5;20,045833;17,8;84,416667;1,9;
2023-01-03;15,6;906,4875;25;19,816667;17,5;89,083333;1,216667;
2023-01-04;3;905,720833;24,7;20,6625;19,1;87,708333;2,0625;
2023-01-05;64,2;905,645833;25,8;20,4375;17,9;89,625;1,854167;
2023-01-06;22,4;907,845833;20,4;18,404167;17,6;93,708333;2,454167;
2023-01-07;16,6;909,8625;23,2;18,504167;15,8;89,375;2,3625;
2023-01-08;,4;909,829167;20,9;18,820833;16,7;89,833333;1,25;
2023-01-09;9;908,85;25,9;20,583333;18,2;86,333333;1,683333;
2023-01-10;66,8;909,2625;25,2;20,779167;17,6;84,25;1,341667;
2023-01-11;,2;909,1375;26,9;20,283333;19,1;89,833333;1,45;
2023-01-12;45,2;907,5;28,2;21,370833;17,9;82,291667;1,679167;
2023-01-13;25,8;907,3375;28,2;20,733333;17,5;88,708333;1,858333;
2023-01-14;7,4;908,483333;28,2;22,358333;19;80,416667;1,179167;
2023-01-15;0;909,025;31,1;24,3;18,5;73,75;,975;
2023-01-16;26,8;908,595833;31,2;23,1375;17,8;75,875;1,679167;
2023-01-17;,2;909,179167;30;23,379167;18,6;68,416667;1,741667;
2023-01-18;15,8;910,041667;29,3;22,9125;18;72,25;1,945833;
2023-01-19;0;909,675;28,8;22,166667;18,3;75,583333;1,783333;
2023-01-20;27,4;908,129167;22,6;19,3125;17,5;90,958333;,945833;
2023-01-21;22;904,7875;26;19,708333;17,5;89,791667;2,641667;
2023-01-22;7,4;904,483333;28,6;22,454167;18,2;78,083333;1,308333;
2023-01-23;9,4;905,5125;28;21,5;18,4;83,416667;1,5;
2023-01-24;11,6;904,983333;26,2;21,033333;19,4;90,5;1,166667;
2023-01-25;8,6;905,6875;29,3;21,9375;16,2;75,458333;2,266667;
2023-01-26;0;906,395833;29,8;22,770833;15,3;62,125;2,383333;
2023-01-27;0;907,858333;26,6;21,754167;16,7;77,708333;2,05;
2023-01-28;,2;909,725;27;21,283333;18,4;84,458333;1,575;
2023-01-29;10,4;908,870833;26,3;20,266667;18,1;89,333333;1,241667;
2023-01-30;15,6;907,5625;29,1;21,133333;17,9;82,666667;1,154167;
2023-01-31;27,4;908,283333;28;21,054167;17,5;85,083333;1,3875;
2023-02-01;15;908,741667;27,2;21,4125;18,9;88,583333;1,054167;
2023-02-02;3;909,441667;26,6;21,0625;19;88,541667;1,525;
2023-02-03;5,4;908,5375;29,3;22,529167;17,7;78,916667;1,175;
2023-02-04;0;909,145833;30,1;23,129167;18,2;75,166667;1,854167;
2023-02-05;0;908,925;28;22,316667;19,8;83,083333;1,495833;
2023-02-06;3,8;908,141667;29;22,8625;18,1;77,166667;1,191667;
2023-02-07;5,4;908,329167;28,5;22,608333;18,6;77,583333;1,55;
2023-02-08;0;907,816667;30;22,595833;18,1;74,083333;1,3625;
2023-02-09;8,4;908,620833;29,4;22,4875;17,3;76,041667;1,695833;
2023-02-10;0;908,986957;26,3;21,004348;17,1;82,826087;1,656522;
2023-02-11;10;908,9625;26,2;21,054167;18,3;84,25;1,295833;
2023-02-12;34,2;908,575;24,2;19,541667;17,7;93,708333;1,508333;
2023-02-13;32,6;908,55;28,2;21,033333;17,1;83,916667;1,133333;
2023-02-14;,6;907,791667;29,6;22,108333;17,5;82,333333;1;
2023-02-15;,4;906,254167;30,5;22,333333;19,9;82,166667;1,8125;
2023-02-16;45;904,4625;29,3;21,804167;18;81,666667;1,958333;
2023-02-17;,6;905,370833;28,9;22,916667;17,9;77,625;1,833333;
2023-02-18;0;907,6375;28;22,891667;18,6;77,041667;2,0625;
2023-02-19;0;909,295833;30,2;22,258333;19,5;81,333333;1,445833;
2023-02-20;,8;909,475;29,7;22,683333;18,5;73,25;2,175;
2023-02-21;31,4;909,825;29,3;21,104167;17,9;83,5;2,025;
2023-02-22;45,6;911,45;29,4;20,508333;17,1;85,291667;1,616667;
2023-02-23;23;911,4875;27;20,908333;17,5;87,208333;1,670833;
2023-02-24;17;909,3375;29,6;22,05;17,8;81,5;1,233333;
2023-02-25;0;908,391667;29,5;23,1;19,2;77,666667;1,566667;
2023-02-26;1;910,166667;31,3;23,483333;18;76,125;1,291667;
2023-02-27;0;911,229167;31,8;23,808333;18,9;73,333333;1,654167;
2023-02-28;5;912,1125;30,4;23,154167;18,4;72,666667;1,895833;
2023-03-01;0;910,7;30,3;23,304167;17,1;67,75;1,675;
2023-03-02;0;909,170833;30,1;23,475;19,8;70,833333;2,1125;
2023-03-03;,2;909,116667;29,8;22,620833;18,5;78,291667;1,420833;
2023-03-04;0;909,3125;31,2;23,958333;19,1;70,291667;1,454167;
2023-03-05;,2;908,133333;25,7;21,058333;17,7;82,291667;1,1375;
2023-03-06;35;907,391667;28,2;19,420833;17,2;87,125;2,4;
2023-03-07;28,4;908,7875;27,6;18,870833;14,9;86,25;2,004167;
2023-03-08;5;909,654167;27,5;20,316667;16,5;84,375;,904167;
2023-03-09;,2;909,841667;27,6;22,35;18,7;77,041667;1,620833;
2023-03-10;,2;909,566667;28,6;22,016667;17,9;77,875;1,7875;
2023-03-11;1,2;909,041667;26,7;20,320833;18,1;88,375;1,475;
2023-03-12;27,2;909,229167;27,5;21,116667;17,9;83,625;1,279167;
2023-03-13;0;910,070833;26,8;21,516667;18,6;80,458333;1,725;
2023-03-14;0;910,266667;26,7;21,329167;18,3;80,541667;1,654167;
2023-03-15;8,2;909,583333;29,5;22,5625;17,9;72,333333;2,029167;
2023-03-16;0;909,0375;29,1;22,8;17,9;66,833333;2,7375;
2023-03-17;0;909,291667;29,4;22,220833;16,5;64,291667;2,4625;
2023-03-18;0;909,7;28,9;21,758333;16,3;71,541667;1,729167;
2023-03-19;0;909,516667;29,5;22,558333;17,9;73,5;2,1125;
2023-03-20;1,6;909,641667;29,3;22,033333;18;76,5;1,55;
2023-03-21;,2;910,341667;29,4;20,991667;16,2;74,833333;1,9375;
2023-03-22;0;911,579167;29,3;21,208333;16,7;79,333333;2,1625;
2023-03-23;10,6;911,95;29,6;22,641667;16,5;67,125;2,083333;
2023-03-24;0;910,7125;29,7;22,8125;16,6;65,916667;1,520833;
2023-03-25;0;909,6875;30,1;23,233333;17,6;69;1,175;
2023-03-26;0;909,85;30,7;23,754167;18,2;68,833333;1,545833;
2023-03-27;0;908,941667;30,9;23,275;17,9;71,75;1,491667;
2023-03-28;0;909,895833;29,1;22,625;17,7;74,875;1,858333;
2023-03-29;0;910,358333;28,2;22,079167;18,5;78,958333;1,854167;
2023-03-30;12,6;910,495833;29,8;22,845833;18;73,583333;1,579167;
2023-03-31;0;909,591667;30;21,904167;17,5;75,166667;1,7875;
2023-04-01;9,8;907,795833;29,1;21,454167;16,6;75,041667;1,2;
2023-04-02;0;908,3875;28,7;21,1875;14,4;69,083333;1,4625;
2023-04-03;0;909,441667;26,5;19,8;14,9;74,5;1,720833;
2023-04-04;0;908,820833;27,8;20,604167;15,1;75,333333;1,133333;
2023-04-05;0;908,2375;29;21,833333;16,1;68,333333;1,425;
2023-04-06;1,8;908,433333;28,7;21,545833;16,1;72,041667;1,958333;
2023-04-07;3,8;908,516667;23,8;20,020833;18,1;88,166667;1,2625;
2023-04-08;3,6;908,829167;25,9;20,0875;17,5;88,833333;,966667;
2023-04-09;1,8;910,695833;24;19,854167;17,6;87;1,445833;
2023-04-10;1;911,508333;26,4;19,7125;14,6;75,875;2,383333;
2023-04-11;,2;910,829167;25,7;19,425;14,3;76,625;2,0625;
2023-04-12;,2;909,441667;24,7;19,816667;16,2;81,916667;1,929167;
2023-04-13;0;907,3375;28;21,154167;16,3;78,458333;1;
2023-04-14;0;907,491667;27,2;19,933333;16,9;86,25;1,033333;
2023-04-15;0;908,55;26,3;20,475;17,2;83,416667;1,05;
2023-04-16;0;908,9625;27;20,320833;14,8;77,5;1,541667;
2023-04-17;,2;905,241667;27,4;20,966667;14,4;75,625;1,754167;
2023-04-18;0;902,345833;27,6;21,233333;18,8;84,041667;1,6625;
2023-04-19;0;903,383333;24,1;20,6625;18,2;84,583333;3,758333;
2023-04-20;0;908,5375;23,1;18,1875;13,5;71,125;1,595833;
2023-04-21;0;910,7875;24,3;17,058333;11,2;71,375;2,529167;
2023-04-22;0;911,483333;25,1;18,35;13;75,791667;2,095833;
2023-04-23;0;912,141667;25,4;18,954167;14,2;68,541667;2,0875;
2023-04-24;0;912,891667;25,4;18,729167;12,7;66,625;1,666667;
2023-04-25;0;912,625;26;18,708333;12,7;71,166667;1,5;
2023-04-26;0;910,825;25,8;19,466667;15;79;1,45;
2023-04-27;0;908,591667;25,9;19,429167;14,8;80,166667;,916667;
2023-04-28;0;908,883333;27;21,145833;16,7;75,208333;1,2625;
2023-04-29;0;910,466667;26,1;19,904167;15,4;77,833333;1,616667;
2023-04-30;0;910,670833;26,2;19,7375;15,5;77,583333;1,775;
2023-05-01;0;909,85;26,5;18,379167;12,8;76,291667;1,829167;
2023-05-02;0;908,870833;26,3;18,954167;12,6;69,833333;1,4;
2023-05-03;0;909,333333;25,6;18,995833;12,9;70,708333;,7875;
2023-05-04;0;910,741667;27,4;19,8;12,9;67,208333;,870833;
2023-05-05;0;912,341667;28;20,404167;13,4;70,291667;,933333;
2023-05-06;0;912,25;26,6;20,291667;14,4;71,708333;1,591667;
2023-05-07;0;911,545833;26,4;20,225;16;68,125;2,220833;
2023-05-08;0;911,7875;25,5;19,304167;13,7;73,291667;1,308333;
2023-05-09;0;911,383333;24,5;18,558333;13,1;78,083333;,483333;
2023-05-10;0;910,158333;24,1;19,091667;14,8;81,375;,995833;
2023-05-11;0;907,804167;25,9;19,920833;14,9;75,5;,891667;
2023-05-12;0;909;23,7;17,1;12;75,791667;1,2375;
2023-05-13;0;910,458333;23,3;16,025;10,4;74,208333;1,533333;
2023-05-14;0;912,470833;22,9;15,591667;9,5;75,291667;1,25;
2023-05-15;0;912,429167;24;15,779167;8,9;67,083333;1,104167;
2023-05-16;0;911,333333;23,9;15,675;8;57,916667;1,166667;
2023-05-17;0;911,470833;23;14,833333;7,1;61,5;1,516667;
2023-05-18;0;912,7875;23,6;15,1125;8;71,083333;1,15;
2023-05-19;0;912,408333;23,2;14,379167;7,6;74,5;,904167;
2023-05-20;0;912,091667;23,4;15,220833;7,9;65,541667;1,429167;
2023-05-21;0;911,266667;23,8;16,195833;9,1;62,916667;1,345833;
2023-05-22;0;912,454167;23,2;16,1875;10,7;70,125;1,3375;
2023-05-23;0;913,4;25,1;17,520833;11;68,708333;2,329167;
2023-05-24;0;913;24,2;18,695833;12,5;69,416667;3,325;
2023-05-25;0;913,825;25,7;19,070833;14,6;68,583333;2,916667;
2023-05-26;0;913,795833;25,3;18,329167;12;70,166667;2,529167;
2023-05-27;0;912,7625;25,1;18,541667;12,7;72,791667;2,066667;
2023-05-28;0;910,670833;26,2;18,270833;11,4;72,375;1,020833;
2023-05-29;0;911,141667;22,7;18,341667;16,1;76,583333;1,9875;
2023-05-30;0;913,345833;21,4;16,770833;12,7;76,5;2,720833;
2023-05-31;0;912,478261;17,5;15,734783;14,6;91,478261;1,578261;
2023-06-01;null;912,891667;20,8;16,216667;13,9;85,75;,641667;
2023-06-02;null;912,795833;23,3;15,791667;9,8;79,791667;1,583333;
2023-06-03;null;913,345833;24,3;17,020833;11,7;68,166667;1,975;
2023-06-04;null;914,429167;23;16,254167;8,9;72,166667;1,2875;
2023-06-05;null;913,733333;23,7;15,541667;9;73,166667;1,020833;
2023-06-06;null;913,291667;23,3;15,979167;10,1;68,333333;2,108333;
2023-06-07;null;914,379167;23;15,970833;9,5;65,291667;1,883333;
2023-06-08;null;914,325;23,4;14,983333;8,3;69,375;,858333;
2023-06-09;null;913,345833;24,1;15,929167;8;68,041667;1,145833;
2023-06-10;null;912,616667;25;16,616667;9,5;68,166667;,954167;
2023-06-11;null;911,558333;26,3;17,995833;9,5;64,583333;1,016667;
2023-06-12;null;911,445833;26,4;18,591667;11,3;64,333333;1,104167;
2023-06-13;null;912,591667;25,5;18,145833;13,1;74,541667;1,579167;
2023-06-14;null;912,083333;25,5;19,079167;16;78,625;1,520833;
2023-06-15;null;912,341667;22,8;17,658333;15,1;86,791667;1,145833;
2023-06-16;null;912,270833;20,5;16,7125;14,2;87,666667;1,041667;
2023-06-17;null;912,795833;21,7;16,766667;13,5;74,333333;1,125;
2023-06-18;null;913,5;22,8;13,879167;7,4;70,291667;1,05;
2023-06-19;null;915,404167;22,8;14,679167;8,3;73,25;1,820833;
2023-06-20;null;915,358333;22,2;14,6375;8,5;69,833333;1,770833;
2023-06-21;null;913,908333;22,4;14,35;8,3;70,625;1,016667;
2023-06-22;null;913,4625;22,6;15,2875;9;69,875;1,583333;
2023-06-23;null;912,516667;22,4;15,166667;8,8;73,875;,658333;
2023-06-24;null;912,925;22,4;15,995833;9,8;72,75;,908333;
2023-06-25;null;913,808333;24;16,275;10,6;73,916667;,741667;
2023-06-26;null;913,8125;25,2;16,770833;9,3;66,416667;1,770833;
2023-06-27;null;913,658333;25,5;16,616667;8,8;65,75;1,079167;
2023-06-28;null;913,916667;24,2;16,954167;9,8;69,125;1,220833;
2023-06-29;null;914,266667;24,6;17,166667;9,9;67,875;1,625;
2023-06-30;null;915,329167;23,9;17,291667;11,2;61,833333;1,9;
2023-07-01;null;913,6625;22,7;15,55;9,2;72,166667;1,3125;
2023-07-02;null;911,5375;23,4;16,008333;9,7;66,75;1,558333;
2023-07-03;null;913,366667;21,3;14,491667;8,4;69,625;2,120833;
2023-07-04;null;914,4375;22,2;14,058333;6,4;68,208333;1,220833;
2023-07-05;null;914,895833;21,9;13,729167;6,7;65,041667;1,745833;
2023-07-06;null;913,308333;21,7;13,866667;6,8;64,708333;1,691667;
2023-07-07;null;911,8125;23,1;14,166667;6,1;63,833333;1,104167;
2023-07-08;null;909,9375;25,1;15,7375;7,2;62,208333;1,2875;
2023-07-09;null;911,154167;24,7;17,316667;13;70,083333;1,025;
2023-07-10;null;911,516667;26,8;18,783333;13,1;72,375;1,170833;
2023-07-11;null;910,541667;28;19,966667;12,5;61,208333;,945833;
2023-07-12;null;907,679167;28,8;20,333333;12,6;54,041667;1,595833;
2023-07-13;null;905,733333;28,5;22,083333;16,6;49,291667;2,833333;
2023-07-14;null;909,5125;21,7;14,708333;11,3;71,208333;2,004167;
2023-07-15;null;911,758333;22,8;13,85;6,5;72,625;1,475;
2023-07-16;null;911,916667;24,4;16,333333;11,1;81,541667;1,395833;
2023-07-17;null;912,204167;27,4;19,141667;12,9;71,75;1,233333;
2023-07-18;null;913,841667;28,4;20,204167;14;64,708333;1,7375;
2023-07-19;null;917,458333;23,5;18,083333;13,5;77,833333;1,783333;
2023-07-20;null;919,358333;24,1;17,008333;12,5;73,166667;3,0625;
2023-07-21;null;918,608333;23,1;16,379167;12,3;76;2,008333;
2023-07-22;null;917,425;22,3;15,845833;10,8;71,208333;2,341667;
2023-07-23;null;917,366667;25;16,933333;9,4;68,208333;2;
2023-07-24;null;916,333333;25,3;18,1375;12,5;73,333333;1,5125;
2023-07-25;null;913,4;26,9;19,5375;15,8;65,375;1,620833;
2023-07-26;null;912,704167;25,6;18,045833;11,4;65,708333;1,566667;
2023-07-27;null;913,820833;25,3;18,533333;12,1;71,458333;1,033333;
2023-07-28;null;914,429167;27,4;20,129167;13,6;63,041667;1,8;
2023-07-29;null;913,429167;25,9;18,716667;13,3;66,583333;1,395833;
2023-07-30;null;915,208333;23,6;16,504167;11,6;77,875;1,579167;
2023-07-31;null;916,05;21,9;15,666667;10,7;82,666667;1,091667;
2023-08-01;null;915,154167;25,9;16,979167;9,6;70,291667;1,35;
2023-08-02;null;914,733333;27,2;18,008333;9,9;64,666667;1,108333;
2023-08-03;null;913,075;27,3;18,191667;8,9;56,833333;,820833;
2023-08-04;null;912,075;28,3;19,016667;10;55,541667;,883333;
2023-08-05;null;913,004167;28,7;19,666667;11,5;53,458333;,8625;
2023-08-06;null;913,820833;29,3;21,029167;12,2;51,666667;2,070833;
2023-08-07;null;914,095833;28,4;19,845833;10,8;53,041667;1,233333;
2023-08-08;null;914,2;28,7;19,825;12,4;58,916667;2,233333;
2023-08-09;null;914,708333;24,7;18,870833;14,8;68,541667;2,866667;
2023-08-10;null;913,070833;27,3;19,620833;13;65,291667;2,033333;
2023-08-11;null;912,291667;29,6;21,1;13,2;58,458333;1,595833;
2023-08-12;null;911,720833;30,6;21,783333;13,9;57,125;1,945833;
2023-08-13;null;912,3375;26;19,458333;13,2;69,333333;1,8625;
2023-08-14;null;912,920833;28;20,670833;15,3;65,5;1,6625;
2023-08-15;null;913,204167;25;19,933333;15,4;71,333333;1,879167;
2023-08-16;null;914,141667;26,4;20,3625;15,8;63,708333;2,683333;
2023-08-17;null;912,170833;27,3;20,258333;14,9;65,875;2,183333;
2023-08-18;null;908,475;27,8;20,479167;13,8;57,583333;2,020833;
2023-08-19;null;906,233333;27,1;21,6125;17,3;51,125;2,645833;
2023-08-20;null;907,708333;21,1;16,216667;13,9;78,291667;1,091667;
2023-08-21;null;907,870833;25,2;17,475;12,3;77,25;1,3875;
2023-08-22;null;907,841667;30;20,6;12,7;58,541667;1,820833;
2023-08-23;null;906,516667;31,6;21,8625;12;44,416667;1,633333;
2023-08-24;null;905,595833;33,5;24,3375;15,7;38,958333;2,3375;
2023-08-25;null;905,183333;32;24,3125;17,9;46,416667;2,091667;
2023-08-26;null;906,45;26,3;20,295833;16,2;66;2,179167;
2023-08-27;null;910,529167;17,3;13,745833;13,2;90,958333;1,8375;
2023-08-28;null;912,020833;16;13,958333;12,3;89,208333;1,629167;
2023-08-29;null;912,5625;19;15,770833;13,5;86,916667;1,358333;
2023-08-30;null;910,129167;25,9;18,858333;14,4;77,25;1,445833;
2023-08-31;null;910,975;26,5;19,416667;13;71,041667;1,466667;
2023-09-01;null;911,370833;28,8;21,075;13,7;66,541667;2,658333;
2023-09-02;null;910,9625;27,6;21,558333;16,4;70,791667;2,516667;
2023-09-03;null;910,791667;30,7;23,554167;17,9;66,333333;1,716667;
2023-09-04;null;909,954167;32;24,575;18;62,458333;1,516667;
2023-09-05;null;911,858333;29,1;23,541667;20,2;70,083333;1,091667;
2023-09-06;null;914,258333;28,1;21,220833;16,8;70,541667;2,879167;
2023-09-07;null;914,841667;25,8;19,904167;15,2;62,083333;3,170833;
2023-09-08;null;912,375;28;20,65;14,4;60,791667;2,533333;
2023-09-09;null;911,9625;30,1;21,629167;13,5;52,583333;1,620833;
2023-09-10;null;912,1125;30;21,695833;14,8;57,083333;2,008333;
2023-09-11;null;911,970833;29,3;21,9625;14,9;47,541667;2,704167;
2023-09-12;null;911,379167;29,9;22,1375;13,7;46,041667;2,629167;
2023-09-13;null;908,670833;31,5;22,704167;13,1;47,5;2,066667;
2023-09-14;null;908,454167;30,8;23,566667;17,3;51,458333;2,141667;
2023-09-15;null;910,220833;28,8;20,820833;16,4;68,5;1,216667;
2023-09-16;null;911,15;30,5;21,341667;15,7;66,708333;2,15;
2023-09-17;null;911,329167;32,4;24,091667;16,7;60,875;2,233333;
2023-09-18;null;911,525;32,6;24,8375;17,8;45,208333;2,304167;
2023-09-19;null;910,2375;33,7;24,570833;14,5;38,25;1,933333;
2023-09-20;null;910,204167;33,3;24,308333;14,7;42,208333;1,691667;
2023-09-21;null;909,716667;32,2;24,475;17,7;47,291667;2,179167;
2023-09-22;null;908,804167;32,2;24,5125;16,6;47,333333;1,941667;
2023-09-23;null;907,745833;34,6;25,829167;17,9;48,958333;1,604167;
2023-09-24;null;907,004167;36;26,45;17,8;47;2,179167;
2023-09-25;null;906,129167;37,3;27,995833;18,1;39,291667;1,816667;
2023-09-26;null;904,779167;36,8;28,679167;20,9;43,75;2,466667;
2023-09-27;null;904,654167;30,7;24,4;24,9;66,708333;2,158333;
2023-09-28;null;907,508333;27;21,508333;18,7;82,125;1,345833;
2023-09-29;null;910,904167;28,5;19,95;13,6;74,083333;1,654167;
2023-09-30;null;910,095833;27,9;20,879167;16,3;74,25;1,35;
2023-10-01;null;908,008333;23,2;19,1125;17,1;87,041667;1,679167;
2023-10-02;null;905,9375;27;20,633333;17,2;86,625;1,1625;
2023-10-03;null;906,029167;29,4;22,666667;18,4;76,5;1,179167;
2023-10-04;null;905,045833;31,3;25,2375;19,3;66,958333;1,854167;
2023-10-05;null;904,775;32,8;25,429167;21,5;64,208333;2,691667;
2023-10-06;null;908,291667;31,5;24,208333;19,2;76,291667;1,625;
2023-10-07;null;909,158333;30,9;24;20,5;74,125;1,4875;
2023-10-08;null;908,554167;31,5;24,283333;19,8;74,791667;1,641667;
2023-10-09;null;908,933333;28;23,395833;19,5;72,208333;1,508333;
2023-10-10;null;910,2;30,6;22,920833;17,3;71,333333;2,05;
2023-10-11;null;909,441667;31,2;23,683333;17,5;69,208333;1,729167;
2023-10-12;null;906,733333;32,2;24,3;19,2;70,458333;2,933333;
2023-10-13;null;908,795833;27,5;21,558333;17,8;83,666667;1,695833;
2023-10-14;null;911,475;27,3;22,275;19;75,666667;2,191667;
2023-10-15;null;913,016667;28;21,895833;17,4;74,125;2,0625;
2023-10-16;null;911,245833;31,4;24,191667;18,1;65,208333;2,133333;
2023-10-17;null;910,291667;30;23,204167;18;69,875;2,254167;
2023-10-18;null;909,620833;30,1;23,308333;19,1;75,416667;1,554167;
2023-10-19;null;910,183333;27,9;21,8125;16,4;74;1,7625;
2023-10-20;null;910,133333;25,6;21,033333;17,6;77,291667;1,8375;
2023-10-21;null;910,345833;27,5;21,1875;16,6;75,75;1,995833;
2023-10-22;null;910,4625;29,4;21,625;15,8;66,375;1,733333;
2023-10-23;null;908,654167;30,5;23,1125;16,3;65,25;1,9875;
