Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;6;911,295833;25,9;19,979167;17,8;88,833333;2,266667;
2023-01-02;6,2;909,675;25,7;19,175;16,1;87,833333;2,391667;
2023-01-03;1,4;907,8875;25,9;20,016667;17,7;89,083333;2,720833;
2023-01-04;17;906,941667;25,7;20,729167;17;88,625;2,716667;
2023-01-05;8;907,416667;25,4;20,095833;19;92,75;3,070833;
2023-01-06;25;910,170833;18,8;17,233333;16,8;97,666667;4,854167;
2023-01-07;19,4;912,220833;18;15,733333;14,4;98,083333;3,25;
2023-01-08;6;911,954167;19,1;16,9625;15,1;98,333333;1,966667;
2023-01-09;19;910,9;22,7;19,2875;16,4;95,958333;1,454167;
2023-01-10;52,4;910,925;24,1;19,579167;18,1;95,166667;1,9625;
2023-01-11;23,6;910,625;25,5;20,425;19,1;91;1,970833;
2023-01-12;9,6;908,8;28,9;21,645833;18,3;83,708333;2,958333;
2023-01-13;24,8;908,616667;26,9;21,408333;18,4;85,833333;2,454167;
2023-01-14;5;909,658333;28,4;23,595833;19,3;78,958333;1,854167;
2023-01-15;0;910,7125;30,5;24,716667;21,3;77,125;2,420833;
2023-01-16;0;910,266667;28,7;23,954167;20,7;75,916667;2,420833;
2023-01-17;0;911,220833;28,6;23,095833;19,6;74,333333;2,316667;
2023-01-18;0;912,020833;28,5;22,175;17,9;78,875;2,366667;
2023-01-19;12;911,525;27,4;21,620833;17,8;79,166667;2,341667;
2023-01-20;19;909,729167;22;19,216667;18,7;94;1,879167;
2023-01-21;44,8;906,229167;20,7;18,620833;17,7;95,958333;2,2875;
2023-01-22;23,8;905,604167;28,2;21,429167;17,2;84,291667;2,5125;
2023-01-23;60,4;906,945833;27,5;21,366667;19,2;88,416667;2,116667;
2023-01-24;34,2;906,295833;25,4;20,491667;18,6;93,041667;1,929167;
2023-01-25;40,6;907,545833;26;21,1125;18,1;84,375;2,683333;
2023-01-26;0;909,004167;26,2;21,045833;16,9;76,25;2,441667;
2023-01-27;0;910,0875;26,4;21,233333;18,3;83,083333;2,566667;
2023-01-28;,8;911,195833;26,6;21,65;18,9;84,583333;1,6375;
2023-01-29;0;909,920833;28,1;22,045833;19,3;80,166667;2,154167;
2023-01-30;3,8;909,241667;27,1;20,229167;17,8;85,875;2,795833;
2023-01-31;7;909,958333;27,4;21,825;17,9;79,666667;2,495833;
2023-02-01;,2;910,208333;28,1;23;19,4;73,208333;2,183333;
2023-02-02;0;910,65;27,4;22,404167;20;81,791667;2,1625;
2023-02-03;,2;909,8625;28,7;23,3625;19,5;76,291667;2,408333;
2023-02-04;0;910,041667;31,4;25,508333;20,6;66,375;2,191667;
2023-02-05;0;909,683333;31,2;24,133333;21,4;74,125;2,095833;
2023-02-06;3,2;909,529167;29,3;21,845833;19,2;84,791667;2,175;
2023-02-07;17,6;909,745833;28,5;20,375;17,2;83,25;2,345833;
2023-02-08;13,2;909,879167;27,1;19,529167;17,5;91,291667;2,35;
2023-02-09;15,4;910,55;27,5;20,7625;16,2;84,333333;2,204167;
2023-02-10;,2;910,575;27,3;21,266667;18;83,833333;2,091667;
2023-02-11;28,2;910,545833;26,5;20,804167;17;85,125;2,270833;
2023-02-12;3,2;910,025;24;20,608333;18,9;90,583333;1,875;
2023-02-13;2,4;909,5875;27,6;21,983333;18,1;80,958333;2,616667;
2023-02-14;5,4;909,0625;28,5;21,745833;18,5;85,208333;2,204167;
2023-02-15;48;907,433333;28,9;21,725;17,8;88,166667;2,5;
2023-02-16;17,2;906,025;27;21,6875;18;84,833333;2,3125;
2023-02-17;,2;906,995833;29,5;22,116667;20,1;81,75;2,75;
2023-02-18;16,8;909,1375;28;22,045833;18,9;85,333333;2,441667;
2023-02-19;,6;911,354167;26,9;22,095833;19,6;85,916667;2,491667;
2023-02-20;0;911,6625;27,6;21,820833;18,7;80,125;3,441667;
2023-02-21;0;911,5125;27,6;22,3375;19,1;77,833333;2,466667;
2023-02-22;1,2;913,016667;28,5;21,695833;17,2;79,291667;2,679167;
2023-02-23;1;913,241667;27,3;21,858333;18,6;82,958333;1,729167;
2023-02-24;0;911,166667;26,9;21,970833;17,8;81,416667;2,370833;
2023-02-25;0;910,15;28,6;23,145833;19,7;78,083333;2,670833;
2023-02-26;0;911,75;29,1;24,175;20,3;72,416667;2,2125;
2023-02-27;0;913,1375;29,7;24,120833;20,7;76;1,783333;
2023-02-28;20;914,1125;27,4;22,629167;19,6;79,541667;2,245833;
2023-03-01;0;912,783333;28,2;22,545833;18,5;75,291667;2,45;
2023-03-02;0;911,158333;27,6;21,8625;18,4;83,666667;2,008333;
2023-03-03;,4;910,8375;28,8;23,295833;19,3;77;1,75;
2023-03-04;0;911,129167;27,7;23,375;19,7;73,208333;2,2125;
2023-03-05;0;909,033333;29,3;21,95;20,1;75;2,454167;
2023-03-06;22,6;908,733333;24,9;21,541667;16,9;79,708333;1,9875;
2023-03-07;0;910,366667;28,5;22,325;19;79,416667;2,320833;
2023-03-08;0;911,2875;27;22,070833;18,8;82,041667;2,3;
2023-03-09;0;911,670833;28,8;22,945833;19,1;76,416667;2,058333;
2023-03-10;0;911,379167;27,6;22,908333;19,5;77,5;2,020833;
2023-03-11;0;910,558333;26,8;21,720833;18,3;80,166667;2,2875;
2023-03-12;19,6;911,279167;25,6;20,341667;17,8;87,291667;2,491667;
2023-03-13;4,8;912,316667;25,7;20,708333;17,7;82,208333;2,875;
2023-03-14;0;912,4125;26;21,029167;17,4;79;2,758333;
2023-03-15;0;911,983333;26;21,054167;17,6;80,875;2,704167;
2023-03-16;0;911,4625;26,2;20,979167;17,3;80,333333;2,583333;
2023-03-17;,6;911,716667;26;20,454167;16,4;78,208333;2,9875;
2023-03-18;0;911,770833;24,8;21,1;18,1;84,458333;2,1125;
2023-03-19;2,2;911,6125;27,7;21,816667;18,2;79,416667;2,166667;
2023-03-20;0;911,129167;27,7;22,245833;18,7;80,458333;1,416667;
2023-03-21;0;911,6375;28,2;22,308333;19,2;79,166667;1,766667;
2023-03-22;,8;913,520833;27,8;22,05;18,3;79;2,145833;
2023-03-23;0;914,054167;27,6;21,725;18;75,416667;1,9;
2023-03-24;0;912,4125;29;22;17,1;76,416667;1,7125;
2023-03-25;0;911,408333;29,9;23,820833;19,3;69,875;1,195833;
