Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,4;949,6;32,1;25,416667;20,5;74,708333;1,7875;
2023-01-02;53,4;948,370833;28,7;23,733333;19;81,125;2,3375;
2023-01-03;14,4;947,545833;29,3;23,633333;20,3;80,958333;2,170833;
2023-01-04;26;947,1625;29,5;23,775;20,6;80,333333;3,641667;
2023-01-05;27,2;947,258333;28,1;23,058333;20,5;86,958333;2,004167;
2023-01-06;9,8;948,825;25,2;21,479167;20,2;90,458333;1,091667;
2023-01-07;61,6;950,070833;25,4;22,166667;20,2;87,958333;2,4;
2023-01-08;11,2;949,504167;25,5;22,075;20,8;90,708333;2,641667;
2023-01-09;32,2;949,270833;29,6;23,166667;21;84,083333;3,408333;
2023-01-10;,6;950,283333;27,6;22,929167;20,5;82,791667;2,566667;
2023-01-11;,4;950,254167;29,5;24,083333;21,5;80,25;2,5875;
2023-01-12;11,6;948,675;30;23,9;20,5;80,958333;1,804167;
2023-01-13;11,8;948,2125;30,2;23,195833;20,3;83;2,675;
2023-01-14;19,6;949,345833;30,1;24,091667;19,7;78,333333;2,775;
2023-01-15;0;950,525;32,3;25,525;21,1;74,375;,895833;
2023-01-16;0;949,241667;32;25,429167;21,5;77,583333;1,095833;
2023-01-17;35,4;950,029167;33,2;24,458333;19;74,416667;1,879167;
2023-01-18;8,8;950,820833;32,5;25,616667;20;71,583333;1,404167;
2023-01-19;1,4;950,645833;32,4;24,883333;19,7;72,666667;2,058333;
2023-01-20;31,2;949,125;30,3;22,783333;19,8;82,333333;2,079167;
2023-01-21;4,6;947,8125;26,1;21,9375;20,4;86,083333;2,254167;
2023-01-22;19;947,095833;30;23,483333;20;82,166667;1,558333;
2023-01-23;18,6;947,6625;28,6;23,595833;21;82,541667;1,495833;
2023-01-24;,4;947;30,2;23,754167;20,9;83,083333;1,691667;
2023-01-25;1;946,891667;32,3;25,383333;20,5;75,958333;1,195833;
2023-01-26;0;946,1125;33,6;26,041667;20,5;71,375;1,341667;
2023-01-27;0;947,716667;31,1;25,179167;20,4;74,041667;2,3125;
2023-01-28;5,6;950,325;29,2;24,45;20,9;76,416667;2,2875;
2023-01-29;,6;950,029167;31,4;24,804167;21,7;76,083333;1,283333;
2023-01-30;13,4;948,733333;31,4;23,445833;20,4;81,791667;1,3875;
2023-01-31;10,6;948,779167;31,4;23,8;20,4;80,333333;2,0125;
2023-02-01;9;949,925;31,7;24,245833;21,1;83,541667;1,066667;
2023-02-02;12,4;949,691667;32,7;25,8;22;77,208333;1,683333;
2023-02-03;0;949,820833;31,9;24,708333;21,8;80,125;1,154167;
2023-02-04;2;951,208333;31,4;24,466667;20,4;75,875;2,266667;
2023-02-05;0;951,15;29,5;23,733333;21;81,25;1,216667;
2023-02-06;0;950,2;31,6;24,970833;20,9;76,5;1,395833;
2023-02-07;10,4;950,1125;31;24,345833;20,7;78,666667;1,2125;
2023-02-08;0;948,879167;33;24,983333;20,6;76,125;1,2125;
2023-02-09;9,4;949,329167;33,1;25,766667;21,4;74,541667;1,570833;
2023-02-10;1;949,8875;31,1;24,291667;21;78,416667;1,6625;
2023-02-11;14,4;949,595833;30,3;24,4;20,3;78,25;2,066667;
2023-02-12;1,2;949,004167;29,5;24,320833;21,9;80,291667;1,625;
2023-02-13;9,4;949,345833;32,5;24,545833;19,8;76,916667;1,883333;
2023-02-14;30,6;949,041667;32,7;24,575;19,9;78;,958333;
2023-02-15;16,2;946,7125;34,2;26,358333;20,7;72,208333;1,791667;
2023-02-16;0;945,416667;32,6;25,358333;21,3;74,041667;2,079167;
2023-02-17;2;946,191667;31,4;24,3875;21,5;78;2,2625;
2023-02-18;16,8;948,795833;30,1;22,983333;21;86,041667;1,141667;
