Nome: SERRA DOS AIMORES
Codigo Estacao: A522
Latitude: -17.79888888
Longitude: -40.25
Altitude: 211.97
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;991,525;31,2;25,029167;20,8;72,333333;2,575;
2023-01-02;,4;990,5125;29,3;23,908333;20,5;75,458333;2,8875;
2023-01-03;0;989,204167;31,5;24,758333;20,1;69,375;3,291667;
2023-01-04;0;988,2;32,7;26,4625;22;66;3,55;
2023-01-05;0;987,866667;31,8;25,65;23;73,416667;3,0875;
2023-01-06;15;988,725;33;26,083333;22,9;73,041667;2,282609;
2023-01-07;29,6;990,920833;29,5;24,720833;21,9;80,125;2,15;
2023-01-08;0;990,808333;32,1;25,5375;21,8;76,416667;2,5875;
2023-01-09;0;990,454167;32,3;25,358333;22,3;75,416667;2,781818;
2023-01-10;5,6;990,679167;32,3;26,020833;21,4;68,541667;3,156522;
2023-01-11;0;990,291667;32,8;26,8125;22,1;67,083333;3,25;
2023-01-12;0;989,008333;33,1;26,5625;22,2;66,291667;3,786957;
2023-01-13;0;988,4875;32,9;26,45;22,1;66,583333;3,5875;
2023-01-14;0;989,8625;32,6;26,395833;22,5;67,958333;3,858333;
2023-01-15;2;991,154167;32,3;25,779167;21,6;69,25;2,945833;
2023-01-16;2,4;990,75;30,2;23,45;20,3;79,125;2,570833;
2023-01-17;4,2;991,066667;28,7;23,866667;21,3;81;2,158333;
2023-01-18;8,4;991,675;28;23,729167;21,5;83,208333;2,029167;
2023-01-19;15,2;991,045833;29,8;24,016667;21,6;82,083333;2,120833;
2023-01-20;8,4;989,975;31,3;24,641667;22,1;79,166667;2,241667;
2023-01-21;19;987,795833;32,3;24,120833;19,4;78;2,679167;
2023-01-22;13,6;985,983333;33;26,270833;21,6;68,708333;3,4125;
2023-01-23;0;986,545833;34,3;27,958333;23,1;63,291667;2,95;
2023-01-24;0;985,925;33,3;27,466667;23;64,5;3,825;
2023-01-25;3,6;986,116667;28,3;24,283333;20,7;81,708333;2,604167;
2023-01-26;7,4;987,183333;31,6;25,4875;22,3;74,583333;2,1375;
2023-01-27;1,4;989,3375;31,7;25,316667;22,3;74,166667;3,308333;
2023-01-28;0;990,733333;31,4;24,875;21;77,166667;2,545833;
2023-01-29;,6;989,966667;31,3;25,008333;20,9;73,916667;2,56087;
2023-01-30;,2;989,529167;30,9;24,758333;20,7;72,666667;2,752174;
2023-01-31;2;990,295833;30,4;24,5125;20,5;73,875;2,4875;
2023-02-01;,4;990,470833;32,3;25,1875;20,6;71,291667;2,658333;
2023-02-02;2,6;990,754167;32,8;26,154167;21,5;65,166667;3,220833;
2023-02-03;0;990,454167;33,1;26,433333;20,8;63,083333;2,770833;
2023-02-04;0;990,454167;34,7;27,3125;22,1;63,708333;3,066667;
2023-02-05;0;988,929167;35,9;28,254167;22,6;61,208333;3,008333;
2023-02-06;0;987,891667;34,9;27,766667;22,5;59,458333;3,2875;
2023-02-07;0;988,4375;34,5;27,320833;22,6;63,625;3,195833;
2023-02-08;0;988,854167;33,8;27,129167;22,9;60,166667;3,15;
2023-02-09;0;989,925;33,6;26,295833;21,5;61,125;3,2625;
2023-02-10;0;990,220833;33,8;25,9625;20,3;64,708333;2,841667;
2023-02-11;0;990,104167;33,6;26,670833;22,1;68,166667;2,820833;
2023-02-12;0;989,554167;33,3;26,679167;22,5;69,083333;2,9375;
2023-02-13;0;989,35;34,7;26,941667;21,6;63,375;2,7375;
2023-02-14;0;988,804167;34,4;26,466667;21,2;64,791667;3,358333;
2023-02-15;0;987,408333;34,5;26,7875;20,7;63,291667;3,183333;
2023-02-16;0;985,325;32,9;27,133333;22,9;65,375;3,117391;
2023-02-17;0;986,2875;34,7;27,208333;22,7;65,541667;3,416667;
2023-02-18;,2;988,4375;33,7;26,304167;22,5;70,833333;2,866667;
2023-02-19;12,6;990,470833;30,1;24,104167;22,3;82,041667;1,945833;
2023-02-20;3,8;991,154167;30,2;24,2;21,8;81,041667;2,166667;
2023-02-21;1,8;991,5375;30,6;24,795833;21,5;76;2,420833;
2023-02-22;0;992,379167;32,1;25,4875;21,5;72,708333;2,3375;
2023-02-23;,2;992,275;31,8;25,25;21,4;71,833333;2,058333;
2023-02-24;0;990,933333;32,6;25,595833;21,5;67,416667;1,925;
2023-02-25;0;990,445833;33,9;26,429167;22,4;67,583333;3,1;
2023-02-26;0;991,883333;33,7;26,425;21,3;66,416667;3,079167;
2023-02-27;,2;992,4125;33,6;25,941667;21,6;71,041667;2,6625;
2023-02-28;0;993,0625;32;25,604167;22;72,541667;2,770833;
2023-03-01;0;992,3875;32,6;26,0875;22,4;67,791667;2,229167;
2023-03-02;0;990,770833;33,5;25,95;21,5;67,541667;2,383333;
2023-03-03;0;990,808333;31,9;25,441667;20,3;69,625;2,904167;
2023-03-04;0;991,041667;33,5;26,05;21,9;67,291667;2,645833;
2023-03-05;,2;989,2625;31,6;25,508333;20,9;68,416667;2,579167;
2023-03-06;0;988,233333;34,3;26,466667;20,9;66,5;3,270833;
2023-03-07;2,8;989,883333;30,7;25,2875;22,2;78,666667;3,095833;
2023-03-08;2;990,754167;32,7;25,325;22,3;76,541667;2,733333;
2023-03-09;1;991,2375;32,5;25,4125;21,8;74,541667;2,516667;
2023-03-10;0;991,183333;33;25,816667;22;68,5;2,541667;
2023-03-11;,2;990,075;33,3;25,683333;21,5;68;2,404167;
2023-03-12;0;990,425;32,3;24,8125;20,2;72,041667;2,208333;
2023-03-13;,2;991,1;30,8;24,108333;20,7;76,416667;2,45;
2023-03-14;,8;990,929167;32,9;25,3;21,1;70,666667;2,179167;
2023-03-15;,2;990,075;32,9;24,795833;20,2;71,583333;2,266667;
2023-03-16;1;989,258333;33,3;25,733333;21,9;68,708333;2,708333;
2023-03-17;,2;989,404167;33;25,183333;21;69,666667;2,458333;
2023-03-18;0;990,008333;33,7;25,745833;21,3;70,958333;2,129167;
2023-03-19;,2;990,575;33,8;26,304167;22;68,958333;2,4125;
2023-03-20;0;990,583333;33,8;25,633333;20,6;71,5;2,1;
2023-03-21;,2;991,008333;33,8;25,975;21,3;69,958333;2,275;
2023-03-22;0;992,283333;34;25,783333;21,7;71,958333;2,6125;
2023-03-23;,2;992,704167;33,2;25,895833;21,7;67,25;2,55;
2023-03-24;,2;991,704167;33,4;24,8375;19,4;70,166667;2,395833;
2023-03-25;,8;990,658333;34,6;26,166667;20,9;69,041667;2,425;
2023-03-26;4,6;991,25;32,3;25,6375;21,5;74,958333;2,6375;
2023-03-27;,6;990,05;34,5;26,9125;22,2;64,416667;2,766667;
2023-03-28;0;990,779167;33,5;26,033333;20,8;63,791667;2,6125;
2023-03-29;,2;991,666667;33,3;25,141667;20,6;66,25;2,2125;
2023-03-30;,2;991,966667;34,2;25,595833;19,2;63,583333;2,783333;
2023-03-31;0;990,2875;34,4;26,208333;20,1;63,625;2,633333;
2023-04-01;0;987,3;36,4;27,7875;21,2;58,791667;2,808333;
2023-04-02;0;988,670833;31;24,891667;21,5;69,666667;2,8875;
