Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;912,508333;29,9;22,1125;18,5;77,791667;1,904167;
2023-01-02;null;910,966667;27,9;21,6375;18;79,708333;1,95;
2023-01-03;null;910,220833;26,4;20,7375;18,1;85,5;1,495833;
2023-01-04;null;909,9125;27,4;21,6625;18;81,708333;1,833333;
2023-01-05;null;909,775;27,2;21,370833;18,6;84,833333;1,920833;
2023-01-06;null;910,954167;25,8;20,733333;19,3;89,041667;1,35;
2023-01-07;null;912,708333;26,2;21,354167;18,9;83,208333;1,3375;
2023-01-08;null;912,6625;23,7;20,516667;18,9;88,958333;,883333;
2023-01-09;null;912,0625;27;21,541667;18,8;81,125;2,783333;
2023-01-10;null;912,979167;26,9;21,1375;18,7;83,5;1,054167;
2023-01-11;null;912,704167;29,1;22,658333;19,8;79,125;1,654167;
2023-01-12;null;911,216667;29,7;22,6;18;76;1,5875;
2023-01-13;null;910,745833;30,4;23,091667;20,5;77,833333;1,541667;
2023-01-14;null;912,108333;30,5;22,875;18,6;76,25;1,958333;
2023-01-15;null;913,070833;30,6;23,1;19,8;78,583333;1,2375;
2023-01-16;null;911,9625;30,7;23,591667;19,7;74,5;1,183333;
2023-01-17;null;912,441667;30,5;23,029167;18,8;71,041667;1,066667;
2023-01-18;null;913,35;30,7;23,495833;18,2;68,041667;1,479167;
2023-01-19;null;913,020833;30,3;23,125;18,4;72,166667;2,016667;
2023-01-20;null;911,675;29,5;21,579167;18,4;80,333333;1,979167;
2023-01-21;null;910,1875;23,2;20,204167;17,9;85;1,645833;
2023-01-22;null;909,395833;27,4;22,1625;19,2;78,583333;1,191667;
2023-01-23;null;909,870833;25,4;21,270833;19,6;86,25;,866667;
