Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.918066
Longitude: -46.382996
Altitude: 1077.34
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;14;896,254167;25,6;19,9;16,7;84,291667;,541667;
2023-01-02;2;894,504167;24,6;19,795833;17,5;83,041667;1,141667;
2023-01-03;8,8;893,045833;22,6;19,2625;18,2;91,875;,4875;
2023-01-04;37,2;892,283333;24,8;19,958333;17,6;85,333333;,991667;
2023-01-05;18,8;892,2875;24,4;19,675;18;88,5;1,2;
2023-01-06;4;894,6125;20,6;18,1;16,6;85,875;1,870833;
2023-01-07;6,2;896,545833;21,1;17,916667;15,4;83,125;1,545833;
2023-01-08;,8;896,433333;23,1;19,016667;16,1;82,458333;1,120833;
2023-01-09;3,4;895,441667;23,9;19,104167;18;90,791667;,75;
2023-01-10;72;895,825;24,4;19,908333;17,4;87,833333;,654167;
2023-01-11;15,2;895,933333;23,6;19,020833;17,6;91,625;,570833;
2023-01-12;45,2;894,0375;27,2;20,045833;17,6;86,375;1,066667;
2023-01-13;5,6;894,004167;25,5;19,7125;17,2;88,458333;,7625;
2023-01-14;9,2;895,229167;28,1;21,266667;17,3;83,166667;1,179167;
2023-01-15;1,6;896,3125;28,8;22,395833;17,4;78,166667;,975;
2023-01-16;,4;895,458333;29,1;23,1125;18,6;72,333333;1,4;
2023-01-17;,6;896,1;29;22,791667;16,6;70;,925;
2023-01-18;,6;897,108333;28,7;21,916667;18,3;75,25;1,116667;
2023-01-19;9,4;896,65;27,9;20,091667;16,1;83,166667;,879167;
2023-01-20;1,6;894,670833;23,3;18,454167;17,3;90,708333;,679167;
2023-01-21;26;891,7;25,6;20,483333;17,1;82,375;,925;
2023-01-22;,2;891,591667;27,4;21,225;16,8;77,208333;,925;
2023-01-23;1,6;892,4875;27;19,575;16;87,916667;,704167;
2023-01-24;29,6;891,854167;26,7;20,491667;17,5;84,083333;,704167;
2023-01-25;5,2;892,658333;29,4;21,55;15;74,791667;,695833;
2023-01-26;,2;893,341667;28,7;21,629167;15,1;69,5;1,008333;
2023-01-27;0;894,629167;27,3;21,208333;16,2;75,208333;1,225;
2023-01-28;,6;896,25;24,7;20,275;18,8;88,25;,908333;
2023-01-29;25,4;895,645833;24,8;19,366667;16,9;90,291667;,45;
2023-01-30;20,6;894,320833;25,9;19,595833;17,4;89,166667;,716667;
2023-01-31;17,8;895,108333;27,1;20,191667;16,2;86,583333;,820833;
2023-02-01;2;895,8;25,9;19,895833;18,4;90,208333;,445833;
2023-02-02;26,4;896,333333;25,4;19,925;17,4;88,5;,670833;
2023-02-03;16,8;895,575;26,7;20,3125;17,4;86,208333;,658333;
2023-02-04;9,4;895,983333;28,2;21,754167;16,7;76,666667;1,195833;
2023-02-05;,2;895,8125;29,7;21,891667;16,4;76,208333;,804167;
2023-02-06;0;895,1625;29,7;21,916667;16,9;77,375;,920833;
2023-02-07;2;895,345833;26,9;20,75;16,9;82,166667;,645833;
2023-02-08;,2;894,6875;28,9;21,341667;16,7;79,75;,729167;
2023-02-09;2,4;895,570833;27,1;20,3625;16,6;85,041667;,883333;
2023-02-10;14,6;895,770833;26,4;18,833333;16,1;90,25;1,016667;
2023-02-11;54,2;895,791667;26,2;19,508333;16,6;88,791667;,6125;
2023-02-12;23;895,220833;23,8;19,195833;17,4;91;,845833;
2023-02-13;1,2;895,2625;28,4;21,025;16,7;79,375;,8;
2023-02-14;,4;894,716667;27,6;20,904167;16,6;84,208333;,808333;
2023-02-15;2;893,041667;31,1;21,958333;18,8;83,458333;1,125;
2023-02-16;9,6;891,116667;28,1;21,404167;18;82,458333;1,204167;
2023-02-17;11;892,245833;27,5;21,008333;17,9;85,625;1,0125;
2023-02-18;9,4;894,7125;27,3;21,145833;17,7;83,583333;,8125;
2023-02-19;14,8;896,3875;27,4;21,095833;17,9;81,916667;1,270833;
2023-02-20;5,8;896,329167;27,7;21,216667;16,3;77,583333;1,4;
2023-02-21;,2;896,7375;27;19,775;16,3;88;,6375;
2023-02-22;1,4;898,2875;27,1;20,629167;16,8;82,916667;,754167;
2023-02-23;1;898,445833;27,2;19,908333;15,2;84,208333;,583333;
2023-02-24;,2;896,320833;27,6;20,375;16,3;86,5;,758333;
2023-02-25;11;895,416667;28,3;20,270833;16,4;88,833333;,808333;
2023-02-26;15,6;897,279167;29,7;20,720833;16,6;85,666667;,904167;
2023-02-27;3,8;898,479167;30,2;20,975;16,7;80,083333;,820833;
