Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,2;919,979167;27;21,983333;19,2;78,958333;1,95;
2023-01-02;15,4;918,733333;27,6;21,8;18,6;79,583333;1,866667;
2023-01-03;,2;917,55;29,5;21,5;18,8;81,958333;1,620833;
2023-01-04;15,2;917,120833;28,3;21,475;17,8;84,583333;1,175;
2023-01-05;5;916,95;29,7;22,1;19,8;85,291667;1,541667;
2023-01-06;4;917,920833;27,9;21,7375;19,5;86,791667;1,095833;
2023-01-07;60,2;919,704167;29,2;21,0375;18,6;88,666667;1,3;
2023-01-08;71,6;919,8;24,6;20,8875;18,3;90,333333;1,1375;
2023-01-09;9,6;919,35;28,3;22,0625;18,3;85,666667;1,091667;
2023-01-10;,8;919,825;28,2;21,25;19,8;90,25;,979167;
2023-01-11;22,2;919,5875;28,4;22,3;19,4;84,916667;1,033333;
2023-01-12;3;918,379167;23,9;20,091667;19,4;90,875;,975;
2023-01-13;20,4;917,695833;30,3;21,925;17,5;84,916667;1,058333;
2023-01-14;6;918,595833;28,4;22,966667;19;82,875;1,508333;
2023-01-15;3,6;919,766667;28,8;23,4875;20,2;75,208333;2,066667;
2023-01-16;0;919,079167;28,9;22,658333;18,6;72,375;2,129167;
2023-01-17;2,8;919,691667;29,3;22,191667;18,8;79;2,216667;
2023-01-18;,2;920,3;27,7;22,4375;19,1;78,208333;1,7125;
2023-01-19;,2;919,895833;29,7;21,770833;19,6;82,208333;2,1375;
2023-01-20;13,8;918,691667;28;21,433333;17,8;83,041667;1,3625;
2023-01-21;7,8;916,35;26,9;21,4;17,9;84,416667;1,233333;
2023-01-22;26;915,2875;28,2;22,233333;18,6;83,416667;1,658333;
2023-01-23;6,4;916,266667;27,5;22,2875;19,1;83,958333;1,045833;
2023-01-24;8;915,7125;29,3;21,783333;19,4;87,083333;1,054167;
2023-01-25;25;915,595833;27,8;21,25;18,6;87,583333;1,245833;
2023-01-26;13,6;916,8;22,6;19,579167;18,3;93,916667;1,095833;
2023-01-27;45,4;918,2375;27,5;21,608333;18,6;85,833333;1,604167;
2023-01-28;1,2;919,558333;29,9;23,041667;19;77,75;1,45;
