Nome: AIMORES
Codigo Estacao: A534
Latitude: -19.53277777
Longitude: -41.09083333
Altitude: 287.74
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;980,9125;30,2;24,870833;21,8;73,083333;2,891667;
2023-01-02;,2;979,708333;30,2;23,954167;21,4;77,5;3,020833;
2023-01-03;,4;978,145833;31,6;25,2375;20,6;69,291667;2,175;
2023-01-04;0;977,3875;32,4;24,791667;20,9;75,958333;2,0875;
2023-01-05;,8;977,045833;31,5;25,35;22,9;81,583333;1,758333;
2023-01-06;7;978,0125;31,1;25,079167;21,5;82,541667;1,166667;
2023-01-07;57,8;980,304167;30,1;24,375;21,5;84,416667;2,258333;
2023-01-08;1,2;980,4125;31,2;24,641667;21,5;80,583333;2,6375;
2023-01-09;0;979,695833;32,5;26,045833;22,1;75,25;2,533333;
2023-01-10;0;980,229167;31,8;25,241667;22,7;77,208333;2,4125;
2023-01-11;1,4;979,7875;31,6;25,775;21,9;76,958333;1,591667;
2023-01-12;0;978,458333;31,2;24,754167;23,2;84,208333;2,466667;
2023-01-13;4,2;977,7875;31,9;26,225;22,2;75,083333;2,066667;
2023-01-14;0;978,9625;32,7;26,575;22,7;70,791667;3,195833;
2023-01-15;0;980,370833;32,2;26,045833;22,1;69,625;3,041667;
2023-01-16;0;979,891667;32,4;25,633333;20,7;68,083333;2,579167;
2023-01-17;0;980,466667;32;25,65;21;70,916667;2,483333;
2023-01-18;0;981,029167;31,7;25,45;21,5;75,875;2,783333;
2023-01-19;,8;980,633333;30,3;24,641667;21,1;77,25;2,229167;
2023-01-20;0;979,445833;28,2;23,408333;20,8;81,791667;1,85;
2023-01-21;8,4;976,675;26,4;23,275;20,6;88,125;1,258333;
2023-01-22;9,2;974,675;32,9;25,233333;21,6;80,75;1,8625;
2023-01-23;32,4;975,8125;31,3;25,925;22,4;81,541667;1,508333;
2023-01-24;16,8;975,279167;31,7;24,570833;22;88,625;1,941667;
2023-01-25;36,4;975,7375;27,4;23,254167;21,6;88,5;1,7;
2023-01-26;6;977,3;28,3;23,229167;21;87,041667;1,425;
2023-01-27;1;978,820833;30,7;24,995833;22;80,166667;2,033333;
2023-01-28;,2;980,079167;32,3;26,566667;22,5;71,583333;2,120833;
2023-01-29;0;979,195833;31,4;26,204167;22,6;73,791667;2,679167;
2023-01-30;0;978,791667;31,5;25,645833;21,9;72,208333;2,65;
2023-01-31;0;979,65;31,2;25,375;21;71,541667;2,55;
2023-02-01;0;979,654167;32,5;26,2375;21,5;68,166667;2,741667;
2023-02-02;0;979,9875;33,1;26,65;22;65,375;2,404167;
2023-02-03;0;979,545833;33,9;26,7625;21,4;61,458333;2,279167;
2023-02-04;0;979,579167;34,4;27,25;21,7;65,666667;2,041667;
2023-02-05;0;977,908333;36,1;28,770833;23,2;67,25;2,083333;
2023-02-06;0;977,108333;35,7;27,879167;23,7;71,791667;2,1625;
2023-02-07;0;977,979167;33,5;27,3125;23;70,375;2,375;
2023-02-08;,2;978,291667;32,5;26,6625;22,1;70;2,225;
2023-02-09;1,8;979,608333;32;25,295833;21,2;71,708333;2,320833;
2023-02-10;,2;979,5625;33,7;26,433333;21,6;65,416667;2,833333;
2023-02-11;0;979,429167;34,8;27,0875;22,6;67,708333;2,854167;
2023-02-12;0;978,7;34,9;27,5125;23,5;65,166667;2,629167;
2023-02-13;0;978,4875;35,4;27,870833;22,7;62,875;2,516667;
2023-02-14;0;978,041667;34,5;27,075;22,2;66;2,625;
2023-02-15;0;976,5375;35,8;27,558333;22,7;59,833333;2,6;
2023-02-16;0;974,641667;31,9;27,033333;22,8;69,583333;2,441667;
2023-02-17;0;975,670833;33,8;27,2375;23,9;69,708333;3,316667;
2023-02-18;,2;977,966667;31,9;25,908333;22,8;75,5;3,008333;
