Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;868,145833;23,8;18,775;16,8;83,916667;2,958333;
2023-01-02;3,4;866,9375;23,8;18,933333;16,4;81,916667;2,725;
2023-01-03;6;866,079167;24,1;18,075;16,3;89,708333;2,670833;
2023-01-04;16,4;865,879167;24,2;18,929167;16,6;87,875;2,8125;
2023-01-05;4,8;865,804167;23,2;19,25;16,4;90,083333;2,208333;
2023-01-06;11;866,6125;24,8;19,029167;17,5;89,458333;3,529167;
2023-01-07;51,6;868,066667;24,4;18,9875;16,6;88,208333;2,0625;
2023-01-08;54,4;868,175;22,3;18,583333;16,4;90,208333;1,945833;
2023-01-09;29,6;867,9125;23,6;19,291667;16;86,041667;1,916667;
2023-01-10;2,4;868,216667;24,3;19,625;17,3;85,458333;1,433333;
2023-01-11;,2;868,154167;25,2;19,641667;16,8;84,791667;1,658333;
2023-01-12;39;866,9;23,4;19,15;15,6;85,875;1,95;
2023-01-13;,8;866,391667;26,1;20,108333;16,1;83,25;1,5375;
2023-01-14;11,2;867,354167;25,9;20,433333;16,4;80,541667;1,870833;
2023-01-15;10,6;868,208333;25,9;20,975;17,6;77,25;2,733333;
2023-01-16;0;867,329167;25,5;19,866667;15,6;71,166667;2,5625;
2023-01-17;0;867,8125;26,3;19,933333;16,5;74,791667;2,533333;
2023-01-18;0;868,55;25,4;19,270833;16,4;81,875;2,2875;
2023-01-19;2;868,1875;25,2;18,466667;17;85,75;2,329167;
2023-01-20;30;867,095833;24,6;18,129167;15,7;87,083333;2,179167;
2023-01-21;8,2;865,216667;23,4;18,870833;16,3;84,791667;4,275;
2023-01-22;9,2;864,3625;26,1;20,1875;16,8;81,083333;4,0125;
2023-01-23;8;865,266667;24,1;19,879167;17,4;84,625;3,629167;
2023-01-24;6,6;864,741667;25,1;19,916667;17,3;85,666667;3,5;
2023-01-25;7,2;864,270833;26;19,883333;16,5;82,833333;2,479167;
2023-01-26;11,8;865,0375;19,3;17,854167;17;94,166667;2,158333;
2023-01-27;4,4;866,604167;25,4;19,516667;17,2;86,25;1,7875;
2023-01-28;2,6;868,004167;25,5;20,391667;16,9;78,333333;1,8375;
2023-01-29;0;867,329167;26,9;20,6;17,2;76,583333;2,1625;
2023-01-30;0;866,454167;26,2;20,420833;17,5;78,791667;2,570833;
2023-01-31;,6;867,208333;25,5;19,825;16,5;75,166667;2,579167;
2023-02-01;0;867,6375;24,9;19,670833;16;71,958333;2,075;
2023-02-02;0;868,133333;26,5;20,429167;16,7;70,458333;1,866667;
2023-02-03;0;867,941667;27,7;21,541667;17,8;66,958333;1,941667;
2023-02-04;0;868,5;29;22,679167;17,5;65,083333;1,679167;
2023-02-05;0;867,9375;28;22,633333;19,7;65,791667;2,2;
2023-02-06;0;867,070833;26,8;21,9125;20;74,333333;2,783333;
2023-02-07;8,4;866,991667;27,9;21,904167;18,1;75,875;1,85;
2023-02-08;0;866,925;24,7;20,85;18,1;81,5;1,908333;
2023-02-09;1,6;867,6875;25,3;19,6625;17,3;84,5;1,904167;
2023-02-10;36;867,591667;24,6;19,345833;15,4;84,291667;1,4875;
2023-02-11;28,8;867,554167;26,5;20,454167;16,4;75,166667;2,395833;
2023-02-12;0;867,208333;26,3;21,020833;17,9;76,375;2,304167;
2023-02-13;0;867,191667;26,4;21,079167;17,2;76,333333;1,495833;
2023-02-14;,6;866,683333;27,9;21,708333;17,8;72,375;1,520833;
2023-02-15;0;865,620833;27,7;21,308333;17,5;73;1,529167;
2023-02-16;0;863,95;28,4;22,125;19;69,208333;1,566667;
2023-02-17;0;864,7625;28,1;21,266667;18,1;73,875;2,166667;
2023-02-18;4,6;866,270833;24,7;19,929167;18;84,416667;2,379167;
2023-02-19;10,8;867,404167;25,2;20,3625;17,8;77,875;3,833333;
2023-02-20;,6;867,895833;25,4;19,7375;16,6;76,25;4,395833;
2023-02-21;0;868,4625;25,6;19,604167;16;76;2,641667;
2023-02-22;0;869,65;25,8;19,958333;16,3;78,625;1,795833;
2023-02-23;0;869,591667;25,4;20,345833;17,1;76,666667;2,070833;
2023-02-24;0;868,2125;25,3;19,8125;15,9;75,958333;1,65;
